,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,322.45,342.11,348.3,535.05,561.42,597.39,411.89,600.87,635.88,554.99,450.7,689.38,687.58,561.8,348.78,589.68,496.58,383.75,124.66
1,Other Revenue,-6.85,6.85,-,33.69,-14.53,14.53,-,34.26,-17.64,17.64,-,31.14,-11.42,11.42,-,19.46,-4.75,4.75,-
2,Revenue,315.61,348.95,348.3,568.74,546.88,611.92,411.89,635.13,618.24,572.63,450.7,720.52,676.16,573.22,348.78,609.14,491.82,388.5,124.66
3,Revenue Growth (YoY),-42.29%,-42.97%,-15.44%,-10.45%,-11.54%,6.86%,-8.61%,-11.85%,-8.57%,-0.10%,29.22%,18.29%,37.48%,47.55%,179.79%,-,-,-,-
4,Cost of Revenue,191.21,186.11,189.32,306.02,276.32,321.47,218.81,349.79,339.8,312.5,251.53,411.32,375.66,279.52,183.5,285.05,234.57,197.44,65.55
5,Gross Profit,124.4,162.84,158.98,262.72,270.57,290.45,193.08,285.34,278.43,260.14,199.18,309.2,300.49,293.7,165.28,324.09,257.25,191.06,59.11
6,"Selling, General & Admin",129.78,140.4,107.26,164.89,156.55,163.92,126.01,158.73,166.83,149.14,128.08,175.86,137.15,170.06,109.93,172.67,117.84,102.51,72.75
7,Research & Development,27.14,28.37,24.19,23.48,32.03,35.27,23.91,26.17,28.61,28.1,23.76,20.2,20.59,17.89,15.32,18.86,14.77,14.52,9.6
8,Other Operating Expenses,3.8,1.78,0.7,6.1,-5.23,0.16,-5.11,14.07,-0.47,-4.17,-9.24,5.84,-6.61,1.14,-4.07,11,2.29,-0.32,-1.89
9,Operating Expenses,159.15,171.29,126.29,217.38,180.14,201.96,143.4,217.18,195.27,177.51,142.88,213.38,152.63,190.19,120.32,202.07,137.28,117.89,78.59
10,Operating Income,-34.75,-8.45,32.69,45.34,90.43,88.5,49.67,68.16,83.16,82.63,56.3,95.82,147.87,103.51,44.96,122.02,119.97,73.17,-19.48
11,Interest Expense,-0.52,-3.08,-2.94,-2.98,-2.62,-2.18,-2.92,-3.93,-2.34,-1.83,-1.12,-0.91,-0.16,-,-0.16,-0.91,-0.42,-0.51,-0.38
12,Interest & Investment Income,1.38,8.75,9.67,10.12,11.28,10.27,7.31,10.75,9.01,8.72,8.77,7.12,8.4,6.46,4.87,6.37,1.61,2.16,1.29
13,Other Non Operating Income (Expenses),-1.23,-1.72,0.96,-0.76,0.21,0.9,-0.78,-0.57,-0.07,-0.21,0.41,-2.32,1.02,-1.1,1.74,-2.09,3.25,-2.58,1.09
14,EBT Excluding Unusual Items,-35.12,-4.5,40.38,51.72,99.31,97.48,53.28,74.4,89.76,89.3,64.36,99.7,157.12,108.86,51.4,125.38,124.41,72.24,-17.48
15,Gain (Loss) on Sale of Investments,2.42,-1.15,0.66,-41.43,0.02,0.19,2.18,-0.7,-,-,-,-0,0,-,-,-,-,-,-
