,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,193.63,198.95,204.54,248.18,227.36
1,Revenue Growth (YoY),-5.33%,-19.84%,-10.04%,-,-
2,Operations & Maintenance,-,4.55,-,1.09,-
3,"Selling, General & Admin",10.24,11.73,9.25,20.79,11.4
4,Depreciation & Amortization,-,0.2,-,0.17,-
5,Amortization of Goodwill & Intangibles,-,0.53,-,0.56,-
6,Provision for Bad Debts,0.14,2.44,-0.06,0.5,0.01
7,Other Operating Expenses,163.05,164.05,171.85,188.11,182.53
8,Total Operating Expenses,173.43,183.5,181.05,211.22,193.94
9,Operating Income,20.2,15.45,23.49,36.96,33.42
10,Interest Expense,-1.47,-0.13,-0.48,-0.61,-0.97
11,Interest Income,1.32,1.39,1.05,0.42,0.33
12,Net Interest Expense,-0.15,1.26,0.57,-0.2,-0.64
13,Currency Exchange Gain (Loss),0.6,-1.37,3.28,-0.81,-
14,Other Non-Operating Income (Expenses),-,-0.38,-,2.96,0.01
15,EBT Excluding Unusual Items,20.65,14.96,27.34,38.91,32.79
16,Gain (Loss) on Sale of Investments,0.87,0.89,-0.54,-,-
17,Asset Writedown,-0.3,-0.73,-0.3,-0.6,0.78
18,Other Unusual Items,-,-5.49,-,-,-
19,Pretax Income,21.21,9.63,26.5,38.31,33.57
20,Income Tax Expense,5.64,3.65,7.26,10.31,9.6
21,Earnings From Continuing Ops.,15.57,5.98,19.24,28,23.98
22,Minority Interest in Earnings,-0.33,-0.16,-0.52,-0.33,-0.84
23,Net Income,15.25,5.82,18.72,27.67,23.13
24,Net Income to Common,15.25,5.82,18.72,27.67,23.13
25,Net Income Growth,-18.56%,-78.98%,-19.06%,-,-
26,Shares Outstanding (Basic),440,440,440,358,330
27,Shares Outstanding (Diluted),440,440,440,358,330
28,Shares Change (YoY),-,23.00%,33.33%,-,-
29,EPS (Basic),0.03,0.01,0.04,0.08,0.07
30,EPS (Diluted),0.03,0.01,0.04,0.08,0.07
31,EPS Growth,-18.56%,-82.91%,-39.29%,-,-
32,Free Cash Flow,0.12,17.65,11.62,16.11,9.58
33,Free Cash Flow Per Share,0.00,0.04,0.03,0.05,0.03
34,Profit Margin,7.87%,2.92%,9.15%,11.15%,10.17%
35,Free Cash Flow Margin,0.06%,8.87%,5.68%,6.49%,4.22%
36,EBITDA,26.06,20.76,28.95,41.75,38
37,D&A For EBITDA,5.86,5.31,5.46,4.79,4.58
38,EBIT,20.2,15.45,23.49,36.96,33.42
