,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,225.94,127.55,157.26,173.02,-
1,Trading Asset Securities,10.33,9.45,8.73,-,-
2,Accounts Receivable,54.41,56.96,37.37,36.86,-
3,Other Receivables,5.87,71.81,7.21,4.23,-
4,Inventory,16.86,36.49,21.61,33.6,-
5,Other Current Assets,1.68,0.19,1.46,0.27,-
6,Total Current Assets,315.07,302.45,233.65,247.98,-
7,"Property, Plant & Equipment",226.05,220.31,214.39,216.15,-
8,Goodwill,-,4.22,-,4.22,-
9,Other Intangible Assets,9.73,5.7,9.94,5.47,-
10,Long-Term Accounts Receivable,18.76,15.28,26.51,26.19,-
11,Other Long-Term Assets,1.57,1.34,3.48,1.38,-
12,Total Assets,571.18,549.29,487.96,501.37,-
13,Accounts Payable,49,41.46,35.18,39.1,-
14,Accrued Expenses,11.36,14.12,11.9,12.6,-
15,Short-Term Debt,70.08,40.05,-,18,-
16,Current Unearned Revenue,103.35,132.81,105.11,112.91,-
17,Current Portion of Leases,0.19,0.19,0.36,0.52,-
18,Current Income Taxes Payable,3.81,2.1,2.81,3.22,-
19,Other Current Liabilities,17.36,5.53,21.9,7.15,-
20,Total Current Liabilities,255.15,236.26,177.27,193.49,-
21,Long-Term Leases,1.86,1.89,1.92,1.96,-
22,Long-Term Deferred Tax Liabilities,8.03,7.79,8.4,7.27,-
23,Other Long-Term Liabilities,7.02,6.58,9.58,9.46,-
24,Total Liabilities,272.06,252.52,197.17,212.17,-
25,Common Stock,0.31,0.31,0.31,0.31,-
26,Additional Paid-In Capital,256.6,256.6,256.6,256.6,-
27,Retained Earnings,130.61,128.97,102.82,122.74,-
28,Comprehensive Income & Other,-104.49,-104.87,-84.53,-105.53,-
29,Total Common Equity,283.03,281.01,275.2,274.12,-
30,Minority Interest,16.08,15.76,15.6,15.08,-
31,Shareholders' Equity,299.12,296.77,290.8,289.2,-
32,Total Liabilities & Equity,571.18,549.29,487.96,501.37,-
33,Total Debt,72.13,42.13,2.28,20.48,-
34,Net Cash (Debt),164.14,94.86,163.71,152.54,-
35,Net Cash Growth,0.26%,-37.81%,-,-,-
36,Net Cash Per Share,0.37,0.22,0.37,0.43,-
37,Filing Date Shares Outstanding,440,440,440,440,330
38,Total Common Shares Outstanding,440,440,440,440,330
39,Working Capital,59.92,66.18,56.38,54.49,-
40,Book Value Per Share,0.64,0.64,0.63,0.62,-
41,Tangible Book Value,273.3,271.1,265.26,264.44,-
42,Tangible Book Value Per Share,0.62,0.62,0.60,0.60,-
43,Buildings,18.1,18.1,-,18.1,-
44,Machinery,34.97,34.15,-,31.77,-
45,Construction In Progress,8.35,6.07,-,0.06,-
