,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,174,178,246,304,458,-
1,Market Cap Growth,-41.30%,-41.30%,-46.15%,-,-,-
2,Enterprise Value,15,91,86,148,482,-
3,PE Ratio,7.68,7.87,9.11,6.06,7.97,-
4,PS Ratio,0.41,0.42,0.55,0.62,0.85,-
5,PB Ratio,0.57,0.55,0.75,0.97,1.40,-
6,P/FCF Ratio,9.10,9.33,7.64,10.13,15.75,-
7,P/OCF Ratio,3.57,3.57,4.60,4.97,7.29,-
8,EV/Sales Ratio,0.03,0.22,0.19,0.30,0.90,-
9,EV/EBITDA Ratio,0.29,1.81,1.58,1.94,5.35,-
10,EV/EBIT Ratio,0.38,2.38,2.01,2.27,6.06,-
11,EV/FCF Ratio,0.77,4.77,2.68,4.94,16.60,-
12,Debt / Equity Ratio,0.24,0.24,0.14,0.01,0.07,-
13,Debt / FCF Ratio,4.06,4.06,1.44,0.08,0.80,-
14,Return on Capital Employed (ROCE),11.28%,11.28%,12.44%,19.46%,22.86%,-
15,Earnings Yield,13.02%,12.70%,10.97%,16.51%,12.55%,-
16,Earnings Yield,13.02%,12.70%,10.97%,16.51%,12.55%,-
17,FCF Yield,10.99%,10.72%,13.09%,9.87%,6.35%,-
18,Buyback Yield / Dilution,-10.31%,-,-23.00%,-33.33%,-,-
19,Total Shareholder Return,-1.96%,-,-23.00%,-33.33%,-,-
