,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,38837,46324,51524,37546,45808,46582,52446,66226,-,-,-,-,-
1,Market Cap Growth,-0.55%,-0.55%,-1.76%,-43.31%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,40858,48345,51792,34795,39913,40688,45625,62810,-,-,-,-,-
3,Last Close Price,10.53,12.56,13.97,10.05,12.26,12.47,14.04,18.13,-,-,-,-,-
4,PE Ratio,16.71,20.22,25.52,16.91,17.86,16.04,14.00,18.28,-,-,-,-,-
5,Forward PE,9.32,13.45,15.98,10.13,12.03,9.39,10.07,13.27,-,-,-,-,-
6,PS Ratio,0.83,1.00,1.11,0.80,0.93,0.91,0.99,1.23,-,-,-,-,-
7,PB Ratio,1.71,2.04,2.26,1.73,2.08,2.17,2.48,3.40,-,-,-,-,-
8,P/TBV Ratio,2.12,2.12,2.35,1.80,2.17,2.26,2.59,3.51,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,1526.08,42.49,-,-,-,-,-,-
10,P/OCF Ratio,-,-,10.09,4.10,-,5.66,5.88,12.15,-,-,-,-,-
11,PEG Ratio,1.99,1.99,1.99,1.69,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,0.89,1.05,1.12,0.74,0.81,0.79,0.86,1.17,-,-,-,-,-
13,EV/EBITDA Ratio,8.93,10.03,10.54,7.46,8.11,7.78,7.30,11.18,-,-,-,-,-
14,EV/EBIT Ratio,16.06,-,19.64,14.53,13.77,-,10.32,16.19,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-,-,1332.97,36.97,-,-,-,-,-,-
16,Debt / Equity Ratio,0.79,0.79,0.79,0.65,0.73,0.64,0.61,0.70,0.71,0.75,-,-,0.83
17,Debt / EBITDA Ratio,3.92,55.19,2.06,2.70,2.96,12.02,1.68,2.28,1.36,1.76,-,-,3.67
18,Debt / FCF Ratio,-,-,-,-,-,453.81,10.48,-,-,6.09,-,-,-
19,Asset Turnover,-,0.75,0.75,0.58,0.75,0.81,0.98,0.94,-,-,-,-,
20,Inventory Turnover,-,-,4.59,4.93,3.59,5.49,4.58,5.14,4.14,-,-,-,-
21,Quick Ratio,-,-,0.79,0.76,0.76,0.77,0.79,0.84,0.60,0.64,-,-,-
22,Current Ratio,-,-,1.12,1.10,1.11,1.05,1.12,1.19,1.00,1.02,-,-,-
23,Return on Equity (ROE),6.34%,12.86%,12.11%,10.21%,0.90%,18.03%,24.99%,30.13%,-,-,-,-,
24,Return on Assets (ROA),-,6.39%,1.73%,3.16%,-1.28%,5.54%,4.14%,6.04%,-,-,-,-,
25,Return on Capital (ROIC),-2.62%,10.91%,3.09%,5.75%,-2.40%,10.61%,8.73%,14.37%,-,-,-,-,
26,Return on Capital Employed (ROCE),-,-,8.06%,7.61%,9.25%,-,16.02%,15.14%,21.19%,15.50%,-,-,-
27,Earnings Yield,5.90%,4.95%,3.92%,5.92%,5.60%,6.24%,7.14%,5.47%,-,-,-,-,-
28,FCF Yield,-,-6.64%,-0.33%,-0.64%,0.07%,2.35%,-1.23%,-,-,-,-,-,
29,Dividend Yield,1.12%,-,-,-,-,0.96%,-,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,74.91%,15.46%,16.64%,183.67%,12.49%,9.98%,11.76%,12.35%,10.36%,19.45%,125.94%
31,Buyback Yield / Dilution,-6.46%,10.15%,-2.34%,-20.68%,-18.17%,-21.91%,-20.22%,-21.91%,14.56%,-,-,-,-
32,Total Shareholder Return,-5.34%,10.15%,-2.34%,-20.68%,-18.17%,-20.95%,-20.22%,-21.91%,14.56%,-,-,-,-
