,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,11983,12604,11977,9597,11297,13447,13841,11831,13271,13967,11890,7564
1,Other Revenue,-,-384,384,-,893.98,-432.71,432.71,-,844.26,-365.25,218.04,147.21
2,Revenue,11983,12220,12361,9597,12191,13014,14274,11831,14116,13601,12108,7711
3,Revenue Growth (YoY),-1.71%,-6.10%,-13.40%,-18.88%,-13.64%,-4.32%,17.88%,53.43%,-,-,-,-
4,Cost of Revenue,-29066,9919,11254,7894,11620,10819,12750,9949,12223,12045,10868,7041
5,Gross Profit,41049,2302,1107,1703,571.01,2195,1524,1882,1893,1556,1241,670.2
6,"Selling, General & Admin",-1876,656.44,562.85,656.82,640.4,638.76,561.88,564.68,659.41,557.67,581.89,458.92
7,Research & Development,-639.04,231.39,166.81,240.84,193.16,215.37,152.61,117.56,134.52,125.2,114.26,81.69
8,Other Operating Expenses,44070,-299.29,-98.08,-55.51,59.15,-97.36,-172.24,-31.75,285.93,-33.84,-165.18,18.48
9,Operating Expenses,41476,630.85,651.09,859.26,904.84,766.64,564.85,669.37,1075,667.05,540.45,565.91
10,Operating Income,-427,1671,455.83,844.13,-333.83,1429,959.47,1213,818.17,889.45,700.26,104.29
11,Interest Expense,-232.45,-184.13,-124.12,-114.08,-119,-116.54,-120.26,-98.52,-101.67,-102.24,-83.04,-77.35
12,Interest & Investment Income,359.9,-,204.39,90.49,96.78,98.57,-,100.41,41.81,25.68,25.95,18.42
13,Currency Exchange Gain (Loss),-,-90.48,90.48,-,324.22,-323.91,323.91,-,567.16,-263.48,92.33,171.15
14,Other Non Operating Income (Expenses),-69.42,178.94,-138.55,126.71,-285.6,248.81,112.57,-139.17,-467.25,590.76,-37.54,-12.49
15,EBT Excluding Unusual Items,-368.96,1575,488.03,947.24,-317.43,1336,1276,1076,858.23,1140,697.97,204.03
16,Gain (Loss) on Sale of Investments,-38.1,56.81,41.58,-60.3,-55.65,-0.35,-82.88,59.52,-117.36,56.65,6.5,-177.32
17,Gain (Loss) on Sale of Assets,-0.68,21.49,-28.47,7.67,0.79,12.19,15.87,8.25,28.06,15.95,-5.88,2.51
18,Asset Writedown,794.55,-790.55,223.89,-227.89,484.01,-506.55,-5.1,-35.87,-79.1,-247.79,-99.42,-0.7
19,Other Unusual Items,-,-76.24,76.24,-,-76.93,-,-,-,330,-,-117.91,117.91
20,Pretax Income,386.81,786.02,801.96,666.72,40.84,836.39,1208,1107,1026,959.59,484.17,148.9
21,Income Tax Expense,26.35,71.51,140.91,111.82,-7.14,-79.57,203.67,188.71,126.63,160.49,101.94,80.03
22,Earnings From Continuing Operations,360.46,714.51,661.05,554.89,47.97,915.96,1004,918.72,899.45,799.09,382.24,68.87
23,Minority Interest in Earnings,-24.44,1.1,-0.52,23.86,16.37,1.32,0.2,-0.41,7.2,-4.82,2.04,2.78
