,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,15091,12961,18714,18950,18795,20489,12384,11940,-,-,-
1,Trading Asset Securities,-,881.89,983.1,90.03,107.58,111.97,139.25,150.41,127.71,-,-,-
2,Cash & Short-Term Investments,15973,15973,13944,18804,19058,18907,20628,12535,12068,-,-,7386
3,Cash Growth,-16.19%,-15.52%,-32.40%,50.02%,57.92%,-,-,69.72%,-,-,-,-
4,Accounts Receivable,-,10233,10469,8395,8908,9739,10821,8153,8084,-,-,-
5,Other Receivables,-,574.01,258.23,344.53,612.14,777.75,674.33,124.28,543.11,-,-,-
6,Receivables,-,10807,10727,8739,9520,10516,11495,8277,8627,-,-,-
7,Inventory,-,8805,8474,9782,7799,9135,9759,10093,9137,-,-,-
8,Prepaid Expenses,-,-,-,-,252.1,-,-,-,123.3,-,-,-
9,Other Current Assets,-,2518,2564,2786,2354,3126,3711,4101,2732,-,-,-
10,Total Current Assets,-,38102,35709,40112,38983,41684,45593,35006,32688,-,-,-
11,"Property, Plant & Equipment",-,22566,22269,21952,22191,18790,14658,13925,12718,-,-,-
12,Long-Term Investments,-,1062,1005,953.39,916.62,894.24,545.17,512.32,462.64,-,-,-
13,Other Intangible Assets,-,820.93,830.75,848.35,829.02,828.12,580.9,588.1,573.76,-,-,-
14,Long-Term Deferred Tax Assets,-,2143,1937,1933,1564,1455,1226,1181,1147,-,-,-
15,Long-Term Deferred Charges,-,1354,348.72,-,311.75,312.47,296.39,185.3,187.67,-,-,-
16,Other Long-Term Assets,-,778.56,1726,1785,980.57,930.37,1037,636.16,523.56,-,-,-
17,Total Assets,-,66826,63826,67584,65775,64894,63936,52034,48300,-,-,-
18,Accounts Payable,-,10465,11022,12273,12138,16722,18186,16786,16391,-,-,-
19,Accrued Expenses,-,383.19,2437,432.46,1900,415.18,1453,402.41,1375,-,-,-
20,Short-Term Debt,-,8305,4835,7099,6887,6225,7498,6439,5273,-,-,-
21,Current Portion of Long-Term Debt,-,2681,1986,2317,1859,2447,1622,-,709.75,-,-,-
22,Current Portion of Leases,-,-,498.58,-,476.17,-,430.56,-,146.78,-,-,-
23,Current Income Taxes Payable,-,1024,529.86,775.02,352.15,446.92,344.64,491.64,269.32,-,-,-
24,Current Unearned Revenue,-,4010,4514,4482,5605,4902,3871,3129,3095,-,-,-
25,Other Current Liabilities,-,7233,6539,8872,7872,6158,4904,7703,4834,-,-,-
26,Total Current Liabilities,-,34101,32361,36251,37090,37317,38309,34951,32095,-,-,-
27,Long-Term Debt,-,6002,5866,5537,3423,3102,3440,1924,2396,-,-,-
28,Long-Term Leases,-,968.76,987.58,1062,1208,1163,739.81,680,241.11,-,-,-
29,Long-Term Unearned Revenue,-,1209,1545,1270,1511,1130,1139,1120,1156,-,-,-
30,Long-Term Deferred Tax Liabilities,-,219.58,220.9,198.04,122.27,244.11,166.24,102.73,91.1,-,-,-
31,Other Long-Term Liabilities,-,1567,1163,1274,942.33,790.37,643.38,597.83,584.46,-,-,-
32,Total Liabilities,-,44067,42143,45591,44296,43746,44438,39376,36563,-,-,-
33,Common Stock,-,3688,3688,3688,3688,3688,3607,3066,3066,-,-,-
34,Additional Paid-In Capital,-,7830,7828,-,7622,7544,6714,1519,1513,-,-,-
35,Retained Earnings,-,11840,11124,10899,10320,10263,9345,8341,7422,-,-,-
36,Treasury Stock,-,-552.79,-502.53,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,-83.03,-493.39,7367,-212,-421.78,-244.84,-343.14,-338.52,-,-,-
38,Total Common Equity,22722,22722,21644,21955,21418,21073,19422,12582,11663,-,-,9395
39,Minority Interest,-,37.05,38.16,37.64,61.5,74.75,76.07,76.27,73.89,-,-,-
40,Shareholders' Equity,22759,22759,21682,21992,21480,21148,19498,12658,11737,-,-,9468
41,Total Liabilities & Equity,-,66826,63826,67584,65775,64894,63936,52034,48300,-,-,-
42,Total Debt,17956,17956,14173,16015,13852,12938,13731,9043,8767,-,-,7819
