,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,15477073,15537337,16655788,14112411,15618711,15636988,15194825,13918392,15068655,16079491,14930275,13877826,15819037,16194052,15715806,13190270,14424795,15563158,15495234,14153100,Upgrade
1,Revenue Growth (YoY),-0.91%,-0.64%,9.61%,1.39%,3.65%,-2.75%,1.77%,0.29%,-4.74%,-0.71%,-5.00%,5.21%,9.67%,4.05%,1.42%,-6.80%,1.31%,8.90%,6.14%,7.31%,Upgrade
2,Cost of Revenue,9267382,9135892,9588269,8200890,9177098,9082087,9044633,8520366,9223066,9729312,8853615,8253022,9093720,9250305,8861449,7435390,7766621,8296415,8357339,7547288,Upgrade
3,Gross Profit,6209691,6401445,7067519,5911521,6441613,6554901,6150192,5398026,5845588,6350180,6076660,5624804,6725317,6943747,6854357,5754880,6658174,7266743,7137895,6605812,Upgrade
4,"Selling, General & Admin",3905692,3758152,4030590,3491189,3997836,3814689,3630253,3330935,3783931,3661764,3693140,3005223,4287670,3701944,3575143,2953226,4511505,3743283,3757374,3393486,Upgrade
5,Operating Expenses,3905692,3758152,4030590,3491189,3997836,3814689,3630253,3330935,3783931,3661764,3693140,3005223,4287670,3701944,3575143,2953226,4511505,3743283,3757374,3393486,Upgrade
6,Operating Income,2303998,2643293,3036929,2420332,2443777,2740212,2519939,2067091,2061657,2688416,2383520,2619580,2437647,3241803,3279214,2801655,2146669,3523460,3380521,3212325,Upgrade
7,Interest Expense,-66152,-62625,-87721,-63085,-96200,-79601,-116214,-62806,-53237,-49942,-37454,-26247,-23509,-24375,-28139,-12997,-25881,-38257,-37712,-42180,Upgrade
8,Interest & Investment Income,348635,430476,317820,302094,398098,483830,340261,323858,314347,338615,303266,254461,288023,314242,268777,232438,279428,358591,313002,215537,Upgrade
9,Earnings From Equity Investments,23396,-5059,3340,10326,-28037,-27633,-11201,-13760,-4557,4691,10626,-35236,-31165,14549,-19582,-8845,15046,-5702,6327,-11790,Upgrade
10,Currency Exchange Gain (Loss),16092,-,-4962,19991,3397,-,6148,465,-78666,-,-27511,-56196,5856,-,13861,-2118,-1871,-,-1306,14717,Upgrade
11,Other Non Operating Income (Expenses),55389,-64284,532939,-432072,156076,-41019,3218,23754,82384,-121897,-36508,54246,50027,40384,-72658,163535,-33613,-61073,58465,-10774,Upgrade
12,EBT Excluding Unusual Items,2681359,2941802,3798346,2257586,2877111,3075790,2742151,2338602,2321930,2859883,2595939,2810608,2726879,3586603,3441474,3173668,2379778,3777020,3719297,3377836,Upgrade
13,Gain (Loss) on Sale of Investments,-15927,-,15868,-,-111.06,-,-,-,-4500,-,-,-,-5492,-,291.22,1646,307338,-,1973,-1583,Upgrade
14,Gain (Loss) on Sale of Assets,-22063,-,-505570,448254,-24935,-,-14152,-26555,-22187,-,-19881,-46256,-33190,-,-18987,-21403,-15239,-,-9890,-17994,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-159.85,-,70907,-,-,-,-,-,Upgrade
16,Pretax Income,2643369,2941802,3308643,2705840,2852065,3075790,2727999,2312046,2295242,2859883,2576058,2764352,2688037,3586603,3493685,3153910,2671877,3777020,3711381,3358259,Upgrade
