,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,11412,7576,7827,11178,13690,13884,20077,16831,16112,19202,21332,15213,23272,31093,37197,19613,17881,-,-,-,-
1,Market Cap Growth,-45.43%,-45.43%,-61.02%,-33.59%,-15.03%,-27.70%,-5.88%,10.64%,-30.77%,-38.24%,-42.65%,-22.43%,30.15%,-,-,-,-,-,-,-,-
2,Enterprise Value,9922,6080,6261,9632,12144,12399,18535,15251,14573,17539,19535,13390,21501,29267,35320,19347,17615,-,-,-,-
3,Last Close Price,93.36,61.84,63.88,90.51,110.85,112.41,162.79,135.73,129.94,154.85,172.03,121.88,186.45,249.11,298.01,156.72,142.88,-,-,-,-
4,PE Ratio,94.43,62.69,58.67,60.29,-,55.55,66.25,51.43,49.60,52.66,60.08,50.10,76.84,110.77,120.92,67.90,73.23,-,-,-,-
5,Forward PE,50.10,31.62,28.13,34.71,39.39,31.75,43.11,35.86,33.35,40.87,50.65,37.55,59.37,77.65,95.25,51.81,-,-,-,-,-
6,PS Ratio,13.73,9.11,9.24,12.15,14.50,12.89,17.32,14.35,14.12,16.82,19.68,16.62,26.60,37.78,46.84,26.41,27.83,-,-,-,-
7,PB Ratio,3.89,2.58,2.67,3.81,4.76,4.78,7.00,5.90,5.80,7.04,8.10,5.88,9.25,12.81,15.81,8.33,7.80,-,-,-,-
8,P/TBV Ratio,2.64,2.64,2.73,3.89,4.86,4.89,7.16,6.04,5.93,7.21,8.31,6.03,9.50,13.17,16.27,8.57,8.04,-,-,-,-
9,P/FCF Ratio,-,-,-,-,175.64,171.52,-181.07,-,-90.81,-,-,-,594.69,-,324.54,243.06,295.29,-,-,-,-
10,P/OCF Ratio,89.66,89.66,50.32,-,67.91,54.35,201.54,-,358.55,-,361.83,-,134.51,-,211.25,148.69,186.68,-,-,-,-
11,PEG Ratio,1.70,1.04,0.83,3.20,3.12,1.92,2.20,1.26,-,-,-,-,-,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,11.94,7.32,7.39,10.47,12.87,11.52,15.99,13.00,12.77,15.36,18.02,14.63,24.57,35.57,44.48,26.06,27.42,-,-,-,-
13,EV/EBITDA Ratio,104.48,70.73,74.91,63.25,-,52.00,61.51,47.46,45.53,51.69,58.29,48.12,78.39,106.17,112.20,62.66,65.10,-,-,-,-
14,EV/EBIT Ratio,138.76,85.04,88.03,68.61,-,53.78,63.13,48.33,46.34,52.54,59.23,49.04,79.86,108.04,113.91,63.60,66.17,-,-,-,-
15,EV/FCF Ratio,-450.70,-,-,-,155.80,153.18,-167.16,-,-82.14,-,-,-,549.43,-,308.16,239.77,290.90,-,-,-,-
16,Debt / Equity Ratio,-,-,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,-,0.00,0.00,0.00
17,Debt / EBITDA Ratio,-,-,-,0.00,-,0.03,0.01,0.02,0.03,0.02,0.01,0.03,0.04,0.05,0.05,0.02,0.02,-,0.01,0.03,0.02
18,Debt / FCF Ratio,-,-,-,-,0.03,0.04,-0.04,-,-0.03,-,-,-,0.24,-,0.13,0.05,0.07,-,-0.38,-0.30,-
19,Asset Turnover,0.26,0.37,0.29,0.13,0.29,0.48,0.33,0.31,0.43,0.54,0.32,0.35,0.39,0.34,0.29,0.44,1.19,-,-,-,
20,Inventory Turnover,2.56,2.13,3.18,2.40,2.18,2.37,3.36,2.21,2.40,2.15,2.67,1.84,2.21,2.37,2.40,2.64,2.84,2.82,-,-,-
21,Quick Ratio,9.94,9.94,9.20,11.23,14.72,12.63,9.98,12.40,13.65,12.91,9.65,13.43,13.05,16.10,11.94,13.45,16.86,5.84,5.76,-,6.46
22,Current Ratio,10.56,10.56,9.78,11.90,15.54,13.26,10.56,13.27,14.51,13.93,10.47,14.47,13.95,17.16,12.73,14.10,17.45,6.50,6.46,-,7.14
23,Return on Equity (ROE),2.54%,7.65%,7.88%,-1.53%,4.32%,15.11%,9.32%,6.56%,12.58%,20.27%,9.91%,13.74%,12.50%,13.73%,10.75%,16.81%,63.13%,42.88%,12.61%,-,
24,Return on Assets (ROA),1.71%,3.22%,4.02%,-3.36%,1.73%,8.93%,5.19%,3.09%,7.28%,11.69%,5.61%,5.28%,7.84%,7.43%,5.80%,8.86%,40.00%,-,-,-,
25,Return on Capital (ROIC),1.87%,3.50%,4.29%,-3.57%,1.86%,9.62%,5.53%,3.29%,7.87%,12.63%,5.99%,5.61%,8.36%,7.99%,6.18%,9.59%,46.35%,29.97%,8.62%,-,
26,Return on Capital Employed (ROCE),2.43%,2.43%,2.42%,4.77%,-,7.92%,10.22%,11.05%,11.29%,12.21%,12.49%,10.52%,10.67%,11.11%,13.12%,12.91%,11.60%,34.39%,20.12%,-,5.42%
27,Earnings Yield,1.06%,1.60%,1.70%,1.66%,1.41%,1.80%,1.51%,1.94%,2.02%,1.90%,1.66%,2.00%,1.30%,0.90%,0.83%,1.47%,1.37%,-,-,-,-
28,FCF Yield,-0.19%,-0.29%,0.54%,0.76%,0.57%,0.58%,-0.55%,-1.13%,-1.10%,-0.96%,-0.51%,-0.15%,0.17%,0.27%,0.31%,0.41%,0.34%,-,-,-,-
29,Dividend Yield,0.25%,-,1.03%,-,0.48%,-,-,-,0.65%,-,-,-,0.42%,-,-,-,0.47%,-,-,-,-
30,Payout Ratio,53.61%,-,115.58%,-,-,-,96.03%,-,-,-,71.71%,-,0.02%,0.05%,102.15%,-,0.03%,0.01%,80.66%,0.15%,-
31,Buyback Yield / Dilution,-0.10%,-0.02%,-0.12%,-0.13%,-0.15%,-0.09%,-0.04%,-0.00%,-0.01%,-0.00%,0.02%,-0.02%,-33.32%,-33.32%,-33.38%,-33.31%,-0.01%,-,-,-,-
32,Total Shareholder Return,0.15%,-0.02%,0.91%,-0.13%,0.33%,-0.09%,-0.04%,-0.00%,0.65%,-0.00%,0.02%,-0.02%,-32.90%,-33.32%,-33.38%,-33.31%,0.46%,-,-,-,-
