,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,212.46,294.08,226.72,96.07,227.24,368.12,250.59,230.57,309.32,382.48,218.43,231.39,251.56,213.71,178.27,179.3,222.73,162.15,78.16,101.66
1,Other Revenue,-1.5,1.5,-,1.85,-0.51,0.51,-,0.14,-0.05,0.05,-,0.13,-0.06,0.06,-,0.09,-0.04,0.04,-,0.03
2,Revenue,210.96,295.58,226.72,97.92,226.73,368.62,250.59,230.72,309.28,382.53,218.43,231.52,251.5,213.77,178.27,179.39,222.69,162.19,78.16,101.69
3,Revenue Growth (YoY),-6.96%,-19.82%,-9.53%,-57.56%,-26.69%,-3.64%,14.73%,-0.35%,22.97%,78.95%,22.53%,29.06%,12.94%,31.80%,128.07%,76.40%,-,-,-,-
4,Cost of Revenue,75.79,111.25,75.22,63.01,74.91,125.43,84.53,96.7,100.19,123.88,75.71,81.25,84.08,74.17,57.86,49.14,45.04,50.62,28.17,29.9
5,Gross Profit,135.17,184.33,151.49,34.91,151.82,243.2,166.06,134.02,209.09,258.65,142.72,150.27,167.42,139.6,120.41,130.25,177.65,111.57,49.99,71.8
6,"Selling, General & Admin",75.87,71.43,50.38,39.92,69.71,71.4,54.16,54.97,65.56,69.65,40.94,48.18,49.58,44.02,27.98,36.9,39.64,26.09,13.86,25.77
7,Research & Development,46.45,61.37,48.58,41.84,55.92,58.59,45.84,52.02,49.14,50.31,39.34,40.62,35.85,30.07,30.56,30.94,13.23,16.93,15.34,15.56
8,Other Operating Expenses,-7.12,-0.3,-1.04,3.17,-2.46,-4,-1.15,1.69,-2.32,-2.4,-0.69,1.43,-0.68,-6.03,1.02,5.51,-0.87,-3.44,0.61,-0.76
9,Operating Expenses,113.3,143.32,101.55,76.24,130.33,132.91,103.61,97.69,124.56,126.39,81.38,94.56,86.93,64.07,62.88,72.89,58,41.89,30.46,41.21
10,Operating Income,21.88,41.01,49.94,-41.33,21.5,110.28,62.45,36.33,84.53,132.26,61.34,55.71,80.49,75.53,57.52,57.36,119.65,69.68,19.53,30.59
11,Interest Expense,-,-,-0.02,-0.03,-,-0.38,-0.06,-0.44,-,-0.1,-0.25,-2.61,-0.04,-0.04,-0.03,-,-0.15,-,-0.03,-
12,Interest & Investment Income,3.4,6.9,9.61,10.45,8.93,9.17,9.34,12.5,9.07,10,17.52,-,14.74,13.09,13.2,1.9,1.08,3.37,0.26,1.46
13,Currency Exchange Gain (Loss),0.32,-0.32,-,2.81,-4.78,4.78,-,5.26,-2.09,2.09,-,-2.92,0.92,-0.92,-,0.55,-0.65,0.65,-,-2.31
14,Other Non Operating Income (Expenses),-0.41,0.09,-0.49,-3.79,7.71,-5.57,-0.75,-12.33,4.67,-0.42,-0.81,1.01,-1.62,0.32,-0.25,-0.99,0.16,-0.3,0.78,0.23
15,EBT Excluding Unusual Items,25.18,47.67,59.05,-31.88,33.35,118.28,70.99,41.3,96.19,143.83,77.8,51.19,94.49,87.99,70.44,58.82,120.09,73.4,20.54,29.96
16,Gain (Loss) on Sale of Investments,2.04,4.84,4.04,1.04,1.05,0.82,1.45,-7.18,3.39,2.83,-5.87,15.64,-,-,-,-,-,-,-,-0.4
17,Gain (Loss) on Sale of Assets,-0.02,-,-0,-0.01,0.01,0.13,0.01,-0.01,-0.27,-0,-,-0.17,-0,-0.01,0.03,-0.01,0,-0,-,-
18,Asset Writedown,-9.59,2.65,-2.65,6.44,-6.44,2.06,-2.06,8.72,-8.72,2.3,-2.3,8.56,-8.55,1.3,-1.31,4.82,-4.82,-0.07,0.07,-
19,Other Unusual Items,-2.51,2.02,0.06,5.04,-,-,-,5.01,2.22,-2.22,-,17.56,-1.29,1.29,-,8.56,-,-,-,3.46
20,Pretax Income,15.11,57.18,60.49,-19.38,27.97,121.28,70.4,47.84,92.82,146.74,69.63,92.77,84.65,90.57,69.17,72.19,115.27,73.33,20.61,33.02
21,Income Tax Expense,-3.47,1.13,3.19,-8.29,-3.17,13.24,4.78,2.7,8.56,14.47,6.42,7.87,9.93,9.76,6.73,9.44,13.64,11.31,2.85,4.36
22,Net Income,18.58,56.05,57.3,-11.09,31.14,108.05,65.61,45.14,84.25,132.26,63.21,84.9,74.72,80.8,62.44,62.74,101.64,62.02,17.76,28.66
