,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,465.05,720.08,801.2,653.86,523.9,511.25,688.43,554.73,658.16,534.76,669.49,595.46,1099,807.66,1004,1626,65.37,104.82,-,94.39
1,Trading Asset Securities,1025,775.7,765.28,943.23,1026,977.6,858.58,1032,888.32,1136,1136,1237,687.5,1034,876.74,232.5,200.5,162.5,-,220.13
2,Cash & Short-Term Investments,1490,1496,1566,1597,1550,1489,1547,1587,1546,1671,1806,1832,1786,1841,1881,1858,265.87,267.32,314.52,314.52
3,Cash Growth,-3.82%,0.47%,1.26%,0.66%,0.20%,-10.89%,-14.33%,-13.40%,-13.41%,-9.25%,-4.00%,-1.40%,571.78%,588.75%,498.05%,490.80%,-,-,-,-
4,Accounts Receivable,942.59,962.82,879.04,787.97,913.69,991.23,861.27,781.15,820.75,702.61,526.48,479.26,434.03,396.91,412.62,391.73,375.93,266.04,-,209.77
5,Other Receivables,19.46,20.41,19.28,7.03,16.38,13.43,10.33,10.97,11.28,12.26,9.33,9.38,22.27,17.46,15.49,5.43,4.44,4.38,-,2.69
6,Receivables,962.05,983.22,898.32,794.99,930.07,1005,871.59,792.12,832.03,714.87,535.81,488.64,456.29,414.37,428.11,397.16,380.37,270.42,-,212.46
7,Inventory,139.24,145.23,134.84,115.81,115.04,137.69,160.99,145.24,176.46,195.48,175.14,154.35,139.48,143.95,103.61,71.77,66.53,61.3,-,53.81
8,Other Current Assets,14.52,10.12,13.59,17.05,7.43,5.37,8.52,4.9,11.01,8.03,5.89,5.81,8.66,5.04,7.68,7.35,6.09,4.34,-,2.02
9,Total Current Assets,2606,2634,2613,2525,2602,2637,2588,2529,2566,2589,2523,2481,2390,2405,2420,2334,718.85,603.38,-,582.8
10,"Property, Plant & Equipment",503.34,490.66,471.56,443.47,423.77,402.97,380.14,348.35,273.18,218.38,172.11,146.65,114.69,74.36,35.01,20.16,11.76,12.11,-,13.15
