,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,92,288,432,1001,3494,4106,2773,2740,2807,1374,279,Upgrade
1,Market Cap Growth,-71.22%,-71.22%,-87.63%,-75.61%,25.98%,49.88%,-1.20%,99.40%,904.39%,111.81%,-83.17%,Upgrade
2,Enterprise Value,981,1569,1611,2244,4623,5679,4213,4188,4840,3811,2845,Upgrade
3,Last Close Price,0.26,0.80,1.20,2.78,9.70,11.40,8.20,8.10,8.30,4.60,1.06,Upgrade
4,PE Ratio,-,-,-,-,-,10.85,-,20.84,-4.59,-,-,Upgrade
5,PS Ratio,0.41,1.29,3.44,9.09,7.76,9.76,20.03,18.80,15.43,12.15,-,Upgrade
6,PB Ratio,-0.71,-0.71,1.74,2.74,7.69,8.41,50.40,42.62,67.42,-6.21,0.57,Upgrade
7,P/TBV Ratio,-,-,1.74,2.74,7.69,8.41,-,-,-,-,-,Upgrade
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-15.48,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-,-,-,-,-,-15.49,-,-,Upgrade
10,EV/Sales Ratio,4.40,7.04,12.80,20.38,10.27,13.50,30.42,28.74,26.60,33.71,-,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,7.37,511.45,-,20.85,-11.71,-,-,Upgrade
12,EV/EBIT Ratio,-,-,-,-,7.38,505.22,-,20.99,-11.63,-,-,Upgrade
13,EV/FCF Ratio,-8.51,-,-,-,-,-,-,-,-26.69,-,-,Upgrade
14,Debt / Equity Ratio,-2.23,-2.23,5.40,3.46,2.91,2.48,23.95,18.51,28.23,-5.87,2.38,Upgrade
15,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-6.48,-,-,Upgrade
16,Return on Capital Employed (ROCE),-,-,-,-,69.76%,1.06%,-,36.78%,-73.27%,-,-,Upgrade
17,Earnings Yield,-861.72%,-274.67%,-48.48%,-13.98%,11.97%,9.21%,-2.54%,4.80%,-21.78%,-50.44%,-,Upgrade
18,FCF Yield,-125.42%,-39.98%,-20.56%,-5.52%,-2.21%,-3.00%,-4.32%,2.06%,-6.46%,-17.12%,-,Upgrade
19,Buyback Yield / Dilution,-0.00%,-,-0.01%,3.54%,-6.49%,-3.67%,-11.55%,-32.01%,-,-3.48%,-,Upgrade
20,Total Shareholder Return,-0.00%,-,-0.01%,3.54%,-6.49%,-3.67%,-11.55%,-32.01%,-,-3.48%,-,Upgrade
