,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,1503,1894,1897,1900,1861,1864,1882,1870,1644,1389,1443
1,Market Cap Growth,-0.32%,-0.32%,1.94%,1.94%,-1.12%,-0.32%,14.44%,34.63%,13.96%,0.65%,18.52%
2,Enterprise Value,2229,2534,2465,2593,2478,2575,2452,2287,1941,1701,1766
3,Last Close Price,5.00,6.22,6.15,6.08,5.88,5.82,5.80,5.54,4.87,3.99,3.94
4,PE Ratio,411.82,-,76.82,99.54,72.13,54.47,35.14,21.52,17.66,15.57,16.93
5,Forward PE,-,14.88,14.88,14.88,14.88,14.88,14.88,14.88,13.94,13.61,9.56
6,PS Ratio,0.68,0.86,0.86,0.85,0.76,0.68,0.64,0.68,0.68,0.64,0.62
7,PB Ratio,2.55,3.21,2.94,3.02,2.73,2.59,2.43,2.47,2.14,1.98,2.04
8,P/TBV Ratio,3.21,3.21,2.94,3.02,2.73,2.59,2.43,2.47,2.14,1.98,2.04
9,P/FCF Ratio,118.27,-,13.15,11.53,9.98,11.40,-33.24,-,-,12.58,14.11
10,P/OCF Ratio,20.14,20.14,10.27,9.15,6.92,7.84,31.28,104.35,12.35,7.97,9.49
11,EV/Sales Ratio,1.01,1.15,1.12,1.16,1.01,0.94,0.83,0.84,0.80,0.79,0.76
12,EV/EBITDA Ratio,14.73,21.45,16.61,18.14,16.51,16.53,13.72,10.54,8.41,7.64,7.96
13,EV/EBIT Ratio,60.57,-,39.28,43.03,36.19,33.55,24.34,15.92,12.16,10.84,11.36
14,EV/FCF Ratio,175.39,-,17.09,15.74,13.28,15.76,-43.31,-,-,15.41,17.26
15,Debt / Equity Ratio,1.37,1.37,1.28,1.18,1.22,1.08,1.05,0.87,0.72,0.81,0.91
16,Debt / FCF Ratio,63.32,-,5.71,4.50,4.44,4.78,-14.29,-,-,5.16,6.26
17,Return on Capital Employed (ROCE),3.70%,-,6.29%,6.55%,6.82%,7.72%,9.55%,14.42%,16.66%,17.28%,16.63%
18,Earnings Yield,0.24%,0.19%,1.30%,1.00%,1.39%,1.84%,2.85%,4.65%,5.66%,6.42%,5.91%
19,FCF Yield,0.85%,0.67%,7.60%,8.67%,10.02%,8.77%,-3.01%,-5.63%,3.48%,7.95%,7.09%
20,Dividend Yield,3.20%,-,1.30%,-,1.36%,-,2.76%,4.37%,3.29%,-,-
21,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-30.71%,
22,Total Shareholder Return,3.20%,-,1.30%,-,1.36%,-,2.76%,4.37%,3.29%,-,-30.71%
