,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,38.71,38.94,19.14,12.58,8.31,13.93,12.53,10.6,9.13,11.65
1,Short-Term Investments,0.12,0.12,22.11,11.05,14.34,7.16,9.69,12.38,12.18,11.87
2,Cash & Short-Term Investments,38.83,39.06,41.24,23.63,22.65,21.09,22.23,22.99,21.31,23.52
3,Cash Growth,-5.85%,65.28%,82.12%,12.03%,1.89%,-8.23%,4.32%,-2.25%,-13.18%,-6.30%
4,Accounts Receivable,1.95,2.56,2.61,4,4.27,3.63,2.63,2,1.21,1.92
5,Other Receivables,0.32,0.11,0.09,0.11,0.11,0.01,0.05,0.05,0.04,0.01
6,Receivables,2.27,2.67,2.7,4.11,4.37,3.64,2.68,2.05,1.25,1.93
7,Inventory,1.11,1.76,2.51,3.25,2.73,1.56,1.03,0.84,3.13,2.99
8,Prepaid Expenses,0.26,0.3,0.12,0.15,0.12,0.15,0.12,0.14,0.09,0.07
9,Other Current Assets,-,-,0.05,0.05,0.05,0.05,-,0.71,3.55,0.71
10,Total Current Assets,42.47,43.78,46.63,31.19,29.92,26.49,26.06,26.74,29.32,29.22
11,"Property, Plant & Equipment",11.09,11.31,12.18,12.64,12.53,13.58,14.53,14.92,15.57,16.43
12,Other Intangible Assets,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.04,0.05
13,Other Long-Term Assets,0.01,0.07,0.07,-,-,0.08,-,-,-,-
14,Total Assets,53.58,55.19,58.9,43.86,42.48,40.2,40.63,41.71,44.93,45.69
15,Accounts Payable,0.48,0.58,0.89,1.78,2.56,1.57,1.67,1.04,0.97,1.02
16,Accrued Expenses,2.6,3.65,2.36,3.46,2.03,2.53,1.82,1.53,0.56,0.97
17,Short-Term Debt,-,-,-,-,-,0.22,0.54,0.69,0.15,0.22
18,Current Portion of Long-Term Debt,0.15,0.15,0.14,0.09,-,-,-,-,-,-
19,Current Portion of Leases,0.47,0.37,0.35,0.23,0.41,0.48,0.46,0.2,0.66,0.68
20,Current Income Taxes Payable,0.83,0.82,1.04,1.16,1.08,0.56,0.36,0.08,0.2,0.09
21,Current Unearned Revenue,0.04,0.3,-,-,-,-,-,-,-,-
22,Other Current Liabilities,0.07,0.23,0.15,0.69,0.23,0.23,0.14,0.1,0.09,0.21
23,Total Current Liabilities,4.62,6.1,4.92,7.41,6.31,5.58,4.99,3.65,2.63,3.19
24,Long-Term Debt,14.28,13.55,13.56,0.27,-,-,-,-,-,-
25,Long-Term Leases,0.48,0.4,0.58,0.45,0.49,0.66,0.92,1.02,1.25,1.57
26,Long-Term Deferred Tax Liabilities,0.88,0.93,1.1,1.11,1.19,1.19,1.31,1.26,1.42,1.41
27,Other Long-Term Liabilities,0.1,0.1,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07
28,Total Liabilities,20.37,21.07,20.26,9.33,8.07,7.52,7.31,6.02,5.37,6.24
29,Common Stock,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
30,Additional Paid-In Capital,-,18.61,-,18.61,-,18.61,-,18.61,-,18.61
31,Retained Earnings,6.63,7.05,11.92,11.97,11.71,9.91,10.73,13.05,16.69,16.57
32,Comprehensive Income & Other,24.89,6.76,25.03,2.25,21.01,2.47,20.89,2.34,21.18,2.59
33,Shareholders' Equity,33.21,34.11,38.64,34.52,34.41,32.68,33.32,35.69,39.56,39.45
34,Total Liabilities & Equity,53.58,55.19,58.9,43.86,42.48,40.2,40.63,41.71,44.93,45.69
35,Total Debt,15.38,14.46,14.63,1.04,0.9,1.36,1.92,1.92,2.05,2.47
36,Net Cash (Debt),23.45,24.59,26.61,22.59,21.75,19.74,20.31,21.07,19.25,21.05
37,Net Cash Growth,-11.88%,8.86%,22.37%,14.46%,7.10%,-6.32%,5.47%,0.10%,-13.00%,-13.53%
38,Net Cash Per Share,0.02,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02
39,Filing Date Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
40,Total Common Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
41,Working Capital,37.85,37.68,41.7,23.78,23.61,20.91,21.06,23.09,26.69,26.03
42,Book Value Per Share,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04
43,Tangible Book Value,33.2,34.1,38.62,34.5,34.38,32.64,33.28,35.65,39.52,39.41
44,Tangible Book Value Per Share,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.04,0.04,0.04
45,Land,-,0.83,-,0.88,-,0.94,-,-,-,-
46,Buildings,-,12.15,-,12.23,-,12.35,-,13.17,-,13.14
47,Machinery,-,17.71,-,17.75,-,18.61,-,18.46,-,18.93
