,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,445,395,460,365,290,600,385,370,345,325,460
1,Market Cap Growth,8.22%,8.22%,58.62%,-39.17%,-24.68%,62.16%,11.59%,13.85%,-25.00%,-29.35%,-30.30%
2,Enterprise Value,310,249,306,234,167,486,268,263,238,203,332
3,Last Close Price,0.45,0.40,0.46,0.36,0.29,0.60,0.39,0.37,0.34,0.33,0.46
4,PE Ratio,-,-,-,-,24.20,108.87,-,-,-,200.89,1346.29
5,PS Ratio,5.30,4.71,4.84,3.10,2.14,5.00,4.14,5.21,5.69,6.51,8.27
6,PB Ratio,2.33,2.06,2.28,1.63,1.44,3.09,2.04,1.92,1.65,1.48,2.01
7,P/TBV Ratio,2.07,2.07,2.28,1.63,1.45,3.09,2.04,1.93,1.65,1.48,2.02
8,P/FCF Ratio,-,-,-,27.16,16.34,98.49,-,-,-,212.58,-
9,P/OCF Ratio,-,-,-,19.12,12.91,79.14,-,-,-,-46.95,-
10,EV/Sales Ratio,3.69,2.97,3.22,1.98,1.23,4.05,2.88,3.70,3.92,4.07,5.97
11,EV/EBITDA Ratio,-,-,-,15.01,6.03,25.56,-48.73,-,-,21.68,25.27
12,EV/EBIT Ratio,-,-,-,28.96,8.86,55.00,-,-,-,-,179.29
13,EV/FCF Ratio,-19.22,-,-,17.38,9.43,79.75,-,-,-,132.84,-
14,Debt / Equity Ratio,0.46,0.46,0.42,0.38,0.03,0.03,0.04,0.06,0.05,0.05,0.06
15,Debt / FCF Ratio,-,-,-,6.30,0.34,0.83,-,-,-,7.47,-
16,Return on Capital Employed (ROCE),-,-,-,2.58%,8.91%,4.33%,-,-,-,-,0.75%
17,Earnings Yield,-6.83%,-7.69%,-6.27%,0.39%,4.13%,0.92%,-4.72%,-8.04%,-4.42%,0.50%,0.07%
18,FCF Yield,-3.62%,-4.08%,-1.94%,3.68%,6.12%,1.02%,-2.35%,-2.85%,0.42%,0.47%,-1.33%
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-1.88%,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-1.88%,
