,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Operating Revenue,6140,6055,6487,-,7033,6543,6950,6921,6707,7402,6712,6443,5443,5533,5308,4528,4021,4080,3975,3685,Upgrade
1,Other Revenue,-101.59,101.59,-,-,-95.08,95.08,-,194.79,-104.98,104.98,-,333.88,-185.43,185.43,-,445.89,-82.3,82.3,-,65.65,Upgrade
2,Revenue,6038,6156,6487,-,6938,6638,6950,7116,6602,7507,6712,6776,5258,5718,5308,4974,3939,4163,3975,3751,Upgrade
3,Revenue Growth (YoY),-12.97%,-7.26%,-6.67%,-,5.10%,-11.58%,3.54%,5.01%,25.55%,31.29%,26.45%,36.25%,33.49%,37.37%,33.56%,32.59%,3.04%,14.30%,19.06%,12.05%,Upgrade
4,Cost of Revenue,4970,4947,5233,-,5654,5514,5571,5373,5163,5433,4951,5076,4471,4610,4434,5094,3209,3184,3070,3009,Upgrade
5,Gross Profit,1068,1210,1254,-,1284,1124,1379,1743,1439,2074,1761,1700,786.61,1108,874.13,-120.85,730.14,978.94,905.01,741.86,Upgrade
6,"Selling, General & Admin",351.23,346.78,412.18,-,336.63,284.32,314.87,559.78,308.05,294.66,289.52,464.04,254.18,211.44,237.85,-396.09,413.11,383.14,451.59,471.1,Upgrade
7,Research & Development,104.98,89.63,90.84,-,84.88,78.46,70.83,80.85,74.3,65.49,59.04,63.65,64.17,68.88,58.18,2.77,38.34,71.43,60.59,40.59,Upgrade
8,Other Operating Expenses,-130.2,190.91,-95.52,-,-68.46,43.96,30.69,72.61,64.05,39.76,43,134.09,35.04,27.69,38.59,143.67,29.71,-6.34,27.4,118.59,Upgrade
