,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Cash & Equivalents,3635,3690,4618,-,-,3313,3451,4334,3373,4644,3069,3396,2758,2107,933.34,1572,1904,1755,1930,2218,Upgrade
1,Short-Term Investments,-,22.05,-,-,-,10.76,-,-,-,-,-,-,-,9,-,-,-,7.23,-,-,Upgrade
2,Trading Asset Securities,2019,963.94,169.74,-,-,747.55,752.84,191.06,1579,1246,752.85,2.28,233.31,135.33,310.21,5.74,-,-,-,25.16,Upgrade
3,Cash & Short-Term Investments,5654,4676,4788,-,-,4072,4204,4525,4952,5890,3822,3398,2992,2252,1244,1578,1904,1762,1930,2243,Upgrade
4,Cash Growth,-,14.85%,13.90%,-,-,-30.87%,9.99%,33.14%,65.52%,161.58%,207.34%,115.43%,57.11%,27.79%,-35.56%,-29.67%,-10.46%,2.90%,20.83%,15.22%,Upgrade
5,Accounts Receivable,799.57,640.32,917.23,-,-,922.66,800.34,600.08,434.21,446.1,829.61,387.66,646.57,694.36,751.45,448.34,566.81,500.89,644.82,490.52,Upgrade
6,Other Receivables,21.44,137.08,127.12,-,-,354.75,86.12,370.37,155.13,540.57,140.45,534.16,62.04,67.59,89.79,494.68,134.7,128.78,99.69,117.02,Upgrade
7,Receivables,821,777.4,1044,-,-,1277,886.46,970.45,589.34,986.67,970.05,921.82,708.61,761.95,841.24,943.02,701.51,629.67,744.5,607.54,Upgrade
8,Inventory,1870,2504,3170,-,-,3264,4245,4069,2688,3436,3553,2992,1937,2871,2851,2223,1497,1649,1907,2133,Upgrade
9,Prepaid Expenses,-,7.67,-,-,-,6.4,-,1.61,-,2.36,-,0,-,3.57,-,3.11,-,0.21,-,0.2,Upgrade
10,Other Current Assets,304.49,168.24,606.31,-,-,220.68,697.87,347.33,569.19,349.16,870.66,258.53,697.05,669.43,1203,805.56,1153,595.08,476.22,438.42,Upgrade
11,Total Current Assets,8650,8134,9609,-,-,8840,10033,9913,8799,10664,9216,7571,6335,6558,6139,5552,5255,4636,5058,5422,Upgrade
12,"Property, Plant & Equipment",11854,11621,11387,-,-,11725,11659,11670,10897,10627,10849,11131,11348,11037,11004,11298,11468,11460,11393,11484,Upgrade
13,Long-Term Investments,579.83,1050,554.36,-,-,2424,1285,1385,827.42,828.37,830.18,829.93,579.23,569.13,571.85,569.94,579.31,579.63,578.41,578.38,Upgrade
14,Goodwill,11.79,11.79,11.79,-,-,11.79,11.79,11.79,11.79,11.79,11.79,11.79,117.21,117.21,117.21,117.21,117.21,117.21,117.21,117.21,Upgrade
15,Other Intangible Assets,1353,1365,1171,-,-,1094,1101,1109,1118,1127,1136,1140,1155,1164,1173,1183,1192,1202,1212,1221,Upgrade
16,Long-Term Accounts Receivable,0.6,0.37,0.37,-,-,0.26,0.26,0.25,0.25,0.25,0.13,0.13,-,-,-,-,1.48,1.4,1.33,1.33,Upgrade
17,Long-Term Deferred Tax Assets,82.31,85.79,92.49,-,-,127.16,131.75,136.58,95.27,94.63,103.62,111.41,138.7,140.95,165.59,179.09,155.32,147.3,158.11,164.24,Upgrade
18,Long-Term Deferred Charges,126.75,117.87,113.09,-,-,94.89,96.9,93.61,81.83,61.59,77.73,60.92,59.78,52.14,43.18,42.21,42.21,34.47,31.21,30.97,Upgrade
19,Other Long-Term Assets,877.16,151.36,495.43,-,-,75.06,209.03,172.28,386.57,302.93,149.08,123.58,48.11,242.62,64.01,52.61,90.77,153.02,215.07,297.74,Upgrade
20,Total Assets,23535,22536,23434,-,-,24393,24527,24491,22217,23717,22373,20979,19780,19881,19279,18993,18901,18331,18764,19318,Upgrade
21,Accounts Payable,2742,2064,2380,-,-,1792,2701,2209,2262,2012,2037,1198,1387,843.31,1276,1043,1293,869.42,1321,1001,Upgrade
22,Accrued Expenses,306.15,415.52,247.23,-,-,551.19,421.63,739.4,237.97,587.49,146.59,564.01,115.72,383.94,92.52,368.82,156,336.18,134.41,342.49,Upgrade
23,Short-Term Debt,2151,2267,2138,-,-,1463,1324,1070,664.41,652.56,605.72,704.08,1109,1345,1334,1240,1623,1604,1855,2112,Upgrade
24,Current Portion of Long-Term Debt,590.05,332.45,514.4,-,-,206.13,454.79,261.5,76.12,516.91,850.08,909.25,922.38,709.21,677.8,804.51,946.86,871.19,361.81,231.45,Upgrade
25,Current Portion of Leases,-,3.17,-,-,-,3.84,-,3.93,-,3.52,-,1.56,-,-,-,-,-,-,-,-,Upgrade
26,Current Income Taxes Payable,148.67,99.85,175.82,-,-,92.52,254.71,246.32,202.81,213.02,371.72,203.9,154.57,80.36,153.33,49.66,102.1,54.87,91.12,49.64,Upgrade
27,Current Unearned Revenue,1043,649.2,633.19,-,-,811.7,829.46,1093,1199,1037,945.88,1071,1290,803.17,643.48,858.27,982.46,430.84,515.91,889.07,Upgrade
28,Other Current Liabilities,287.83,746.02,353.9,-,-,1364,1698,1049,873.78,1947,769.86,941.5,732.35,1782,604.32,864.71,333.85,767.33,405.07,831.41,Upgrade
29,Total Current Liabilities,7269,6577,6442,-,-,6285,7683,6672,5516,6969,5727,5593,5711,5947,4782,5229,5437,4934,4685,5457,Upgrade
30,Long-Term Debt,1077,1379,1656,-,-,3140,3301,3676,3651,4224,4296,4194,3917,4003,4236,3921,3703,3833,4121,4089,Upgrade
31,Long-Term Leases,2,2.94,3.05,-,-,4.51,4.75,5.02,5.31,5.65,4.35,4.35,3.41,0.38,0.39,0.49,-,0.99,-,1.61,Upgrade
32,Long-Term Unearned Revenue,371.88,362.85,373.82,-,-,407.41,418.65,429.9,441.15,452.41,463.6,474.94,487.26,498.71,510.3,522.14,532.8,540.38,542.46,549.49,Upgrade
33,Long-Term Deferred Tax Liabilities,27.53,19.11,25.49,-,-,260.15,181.02,181.29,68.21,66.57,40.74,40.63,2.91,3.03,3.62,3.96,8.85,8.85,4.24,4.24,Upgrade
34,Other Long-Term Liabilities,69.16,68.68,68.2,-,-,41.39,10.5,10.5,-,-,-,-,-,-,-,-,0.64,0.34,-,-,Upgrade
35,Total Liabilities,8817,8410,8569,-,-,10139,11600,10975,9682,11718,10531,10307,10121,10452,9532,9677,9682,9317,9352,10101,Upgrade
36,Common Stock,2853,2853,2943,-,-,2943,3042,3042,3042,3099,3099,3099,3099,3100,3100,3100,3100,3100,3104,3104,Upgrade
37,Additional Paid-In Capital,263.15,263.15,1033,-,-,1033,1933,1929,1917,2226,2204,2194,2158,2124,2088,2164,2162,2160,2166,2162,Upgrade
38,Retained Earnings,11551,11030,11506,-,-,8949,8370,8748,7785,6917,6718,5559,4484,4161,4491,4083,3920,3736,4140,3895,Upgrade
