,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,null null,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019",+20 Quarters
0,Market Capitalization,28100,31095,28585,29600,27916,28120,26285,29098,30972,30820,34388,27681,23346,20455,17053,17684,14232,15973,13866,13589,13712,Upgrade
1,Market Cap Growth,10.58%,10.58%,8.75%,1.73%,-9.87%,-8.76%,-23.57%,5.12%,32.66%,50.68%,101.65%,56.54%,64.04%,28.06%,22.99%,30.13%,3.80%,20.30%,-5.82%,-14.98%,5.71%,Upgrade
2,Enterprise Value,26267,30404,28108,28440,26632,28866,27166,29590,30417,30333,36322,30096,26523,24506,22295,22306,18854,20768,18514,18505,18628,Upgrade
3,Last Close Price,9.85,10.72,9.86,9.75,9.04,9.10,8.45,8.86,9.22,9.17,9.85,7.93,6.70,5.87,4.66,4.82,3.88,4.36,3.78,3.47,3.51,Upgrade
4,PE Ratio,9.64,15.58,12.63,14.02,-,9.00,8.21,7.19,7.03,6.82,8.65,8.78,9.72,13.73,12.63,15.45,14.49,16.76,14.44,15.23,13.87,Upgrade
5,Forward PE,9.21,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,13.23,Upgrade
6,PS Ratio,1.12,1.66,1.46,1.48,-,1.02,0.96,1.03,1.11,1.12,1.31,1.13,1.01,0.96,0.86,0.96,0.83,1.01,0.88,0.89,0.94,Upgrade
7,PB Ratio,1.91,2.11,2.02,1.99,-,-,1.84,2.25,2.29,2.46,2.87,2.34,2.19,2.12,1.81,1.81,1.53,1.73,1.54,1.44,1.49,Upgrade
8,P/TBV Ratio,2.33,2.33,2.24,2.16,-,-,2.00,2.46,2.50,2.70,3.17,2.59,2.45,2.50,2.16,2.15,1.83,2.09,1.86,1.73,1.79,Upgrade
9,P/FCF Ratio,10.49,11.69,7.97,-,-,7.91,9.75,-,-,6.46,6.71,7.10,8.43,8.37,21.00,-,-,10.43,6.52,-,8.28,Upgrade
10,P/OCF Ratio,7.02,7.61,5.89,-,-,5.53,5.90,5.53,5.48,5.21,5.66,5.75,6.25,6.09,9.56,-,8.57,6.57,4.59,5.11,4.90,Upgrade
11,PEG Ratio,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,8.82,Upgrade
12,EV/Sales Ratio,1.01,1.63,1.44,1.42,-,1.04,0.99,1.05,1.09,1.10,1.38,1.23,1.15,1.15,1.12,1.21,1.11,1.31,1.18,1.22,1.28,Upgrade
13,EV/EBITDA Ratio,5.89,9.55,8.31,8.11,-,5.76,5.35,4.90,4.71,4.71,6.19,5.99,6.32,7.42,7.14,7.88,7.14,7.89,7.03,7.32,7.17,Upgrade
14,EV/EBIT Ratio,8.39,13.97,11.87,11.44,-,7.93,7.36,6.35,6.01,6.03,8.16,8.42,9.67,13.24,13.23,15.69,15.12,16.57,14.36,15.40,14.29,Upgrade
15,EV/FCF Ratio,9.81,11.43,7.83,-,-,8.12,10.07,-,-,6.36,7.08,7.72,9.58,10.03,27.45,-,-,13.56,8.71,-,11.25,Upgrade
16,Debt / Equity Ratio,0.26,0.26,0.28,0.29,-,-,0.34,0.39,0.37,0.35,0.45,0.49,0.54,0.62,0.64,0.64,0.64,0.68,0.70,0.67,0.70,Upgrade
17,Debt / EBITDA Ratio,0.86,0.88,1.08,0.91,-,-,1.15,0.97,0.91,0.82,0.67,0.83,1.07,1.93,1.29,1.74,3.22,2.65,1.79,2.24,3.54,Upgrade
18,Debt / FCF Ratio,1.43,1.44,1.11,-,-,-,1.79,-,-,0.92,1.05,1.48,2.10,2.44,7.46,-,-,4.10,2.97,-,3.89,Upgrade
19,Asset Turnover,1.05,1.07,-,-,-,1.09,1.13,1.22,1.15,1.30,1.24,1.33,1.06,1.17,1.11,1.05,0.85,0.90,0.83,0.79,Upgrade,
20,Inventory Turnover,-,9.09,6.97,-,-,-,5.88,5.36,6.36,6.74,6.22,6.05,8.24,7.44,6.44,6.99,10.96,8.16,7.16,6.08,6.91,Upgrade
21,Quick Ratio,0.89,0.89,0.83,0.91,-,-,0.85,0.66,0.82,1.00,0.99,0.84,0.77,0.65,0.51,0.44,0.48,0.48,0.48,0.57,0.52,Upgrade
22,Current Ratio,1.19,1.19,1.24,1.49,-,-,1.41,1.31,1.49,1.60,1.53,1.61,1.35,1.11,1.10,1.28,1.06,0.97,0.94,1.08,0.99,Upgrade
23,Return on Equity (ROE),14.46%,19.93%,-,-,-,16.78%,24.23%,29.56%,28.31%,47.53%,41.17%,42.51%,13.76%,25.19%,17.41%,7.35%,8.28%,17.28%,10.67%,5.92%,Upgrade,
24,Return on Assets (ROA),8.06%,6.39%,-,-,-,7.21%,9.83%,11.07%,10.75%,18.13%,15.80%,12.25%,5.23%,10.09%,7.05%,1.40%,3.35%,7.10%,4.80%,1.47%,Upgrade,
25,Return on Capital (ROIC),10.13%,7.88%,-,-,-,9.51%,13.19%,14.58%,14.38%,23.87%,20.09%,15.55%,6.67%,12.55%,8.63%,1.72%,4.05%,8.47%,5.82%,1.78%,Upgrade,
26,Return on Capital Employed (ROCE),19.25%,13.38%,14.84%,14.63%,-,-,20.39%,27.65%,28.41%,30.10%,26.59%,21.47%,17.83%,13.16%,12.09%,9.81%,9.06%,9.31%,9.62%,8.54%,9.41%,Upgrade
27,Earnings Yield,10.73%,6.42%,7.92%,7.13%,-,11.11%,12.18%,13.91%,14.23%,14.66%,11.55%,11.39%,10.29%,7.28%,7.92%,6.47%,6.90%,5.97%,6.93%,6.57%,7.21%,Upgrade
28,FCF Yield,9.53%,8.55%,12.55%,11.92%,-,12.64%,10.26%,12.43%,13.55%,15.48%,14.91%,14.08%,11.86%,11.95%,4.76%,1.45%,5.95%,9.59%,15.33%,12.46%,12.07%,Upgrade
29,Dividend Yield,3.58%,-,1.79%,-,-,-,-,-,4.34%,-,-,-,5.97%,-,-,-,7.73%,-,-,-,7.42%,Upgrade
30,Payout Ratio,42.95%,18.57%,158.94%,3.20%,-,29.55%,180.07%,4.87%,29.22%,119.19%,3.36%,3.36%,8.92%,299.69%,8.83%,14.03%,25.94%,65.01%,213.88%,30.28%,77.87%,Upgrade
31,Buyback Yield / Dilution,1.80%,0.07%,0.28%,6.13%,-,6.19%,1.98%,1.66%,1.39%,-4.00%,1.94%,0.32%,-8.36%,3.61%,4.67%,-2.36%,11.68%,2.75%,-2.19%,1.20%,-6.36%,Upgrade
32,Total Shareholder Return,5.38%,0.07%,2.07%,6.13%,-,6.19%,1.98%,1.66%,5.73%,-4.00%,1.94%,0.32%,-2.40%,3.61%,4.67%,-2.36%,19.41%,2.75%,-2.19%,1.20%,1.05%,Upgrade
