,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,10485,5784,4590,4655,6764,6893,7863,-,-,-,-,-
1,Market Cap Growth,-16.09%,-16.09%,-41.62%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9628,4883,3676,3632,5742,5675,7644,-,-,-,-,-
3,Last Close Price,22.92,12.60,9.96,10.09,14.66,14.94,17.04,-,-,-,-,-
4,PE Ratio,-,-4892.64,-430.36,-,-,-,122.25,-,-,-,-,-
5,PS Ratio,21.31,12.24,9.32,9.63,14.08,15.04,18.40,-,-,-,-,-
6,PB Ratio,6.70,3.68,2.91,2.94,4.22,4.29,4.89,-,-,-,-,-
7,P/TBV Ratio,3.73,3.73,2.92,2.95,4.24,4.31,4.90,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-70.10,-,458.78,-,-,-,-,-
9,P/OCF Ratio,-,-,-,-,70.71,-,338.96,-,-,-,-,-
10,EV/Sales Ratio,20.37,10.33,7.47,7.52,11.95,12.38,17.89,-,-,-,-,-
11,EV/EBITDA Ratio,-,-145.38,-,-,-,302.63,295.41,-,-,-,-,-
12,EV/EBIT Ratio,-,-135.00,-,-,-,317.17,305.56,-,-,-,-,-
13,EV/FCF Ratio,-91.91,-,-,-,-59.50,-,446.05,-,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.05,0.01,0.04,0.02,0.01,0.03,0.03,-,-,0.01
15,Debt / EBITDA Ratio,-,7.65,-,-,-,3.27,0.44,0.40,-,-,-,0.03
16,Debt / FCF Ratio,-,-,-,-,-0.73,-,1.33,-0.65,-,-,-,-
17,Asset Turnover,0.25,0.30,0.23,0.29,0.30,-,-,-,-,-,-,
18,Inventory Turnover,2.07,2.04,3.14,2.51,3.06,2.45,-,-,-,-,-,-
19,Quick Ratio,4.32,4.32,5.02,7.87,6.18,6.70,9.13,-,3.78,-,-,-
20,Current Ratio,5.71,5.71,6.19,9.70,7.50,7.79,10.48,-,6.61,-,-,-
21,Return on Equity (ROE),1.66%,2.01%,-2.93%,-1.18%,-0.73%,5.18%,12.18%,-,-,-,-,
22,Return on Assets (ROA),0.12%,-0.94%,-0.97%,-3.28%,0.31%,-,-,-,-,-,-,
23,Return on Capital (ROIC),0.13%,-1.02%,-1.04%,-3.55%,0.34%,2.37%,5.13%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-2.30%,-,-,-,1.11%,1.55%,-,-,-,-,-
25,Earnings Yield,-0.01%,-0.02%,-0.23%,-0.09%,0.41%,0.62%,0.82%,-,-,-,-,-
26,FCF Yield,-1.00%,-1.81%,-5.03%,-3.74%,-1.43%,-1.63%,0.22%,-,-,-,-,-
27,Dividend Yield,0.17%,-,-,-,0.27%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,265.40%,1.33%,-,-,-,1.04%,0.80%,1.45%,-,17.78%,17.78%
29,Buyback Yield / Dilution,-10.86%,29.32%,-25.63%,-25.66%,-29.94%,-24.02%,-8.84%,0.89%,-,-,-,-
30,Total Shareholder Return,-10.69%,29.32%,-25.63%,-25.66%,-29.67%,-24.02%,-8.84%,0.89%,-,-,-,-
