,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,829.67,919.8,879.49,1003,883.53,1156,-,213.25,-,-,-
1,Trading Asset Securities,72.59,65.44,62.27,77.16,176.68,90.81,-,33.72,-,-,-
2,Cash & Short-Term Investments,902.26,985.24,941.76,1080,1060,1247,246.97,246.97,-,-,309.99
3,Cash Growth,-14.90%,-21.00%,281.33%,337.47%,-,-,-20.33%,-,-,-,-
4,Accounts Receivable,155.6,163.55,149.65,112.98,161.85,122.73,-,71.11,-,-,-
5,Other Receivables,2.41,0.87,0.9,0.91,0.92,0.84,-,0.73,-,-,-
6,Receivables,158.01,164.48,150.55,113.9,162.78,123.58,-,71.85,-,-,-
7,Inventory,221.7,143.53,135.21,141.12,174.8,168.43,-,189.07,-,-,-
8,Other Current Assets,117.43,122.63,119.17,115.79,24.65,34.24,-,50.21,-,-,-
9,Total Current Assets,1399,1416,1347,1451,1422,1573,-,558.1,-,-,-
10,"Property, Plant & Equipment",191.47,186.94,181.63,185.55,5.51,5.83,-,5.38,-,-,-
11,Long-Term Investments,63,53,53,33,-,-,-,-,-,-,-
12,Other Intangible Assets,15.12,1.52,1.55,-,-,-,-,-,-,-,-
13,Long-Term Deferred Tax Assets,15.14,13.78,12.69,9.67,7.11,5.88,-,5.16,-,-,-
14,Long-Term Deferred Charges,5.21,5.55,5.96,1.05,1.4,1.76,-,2.27,-,-,-
15,Other Long-Term Assets,128.41,129.23,123.9,117.61,355.64,177.04,-,170.04,-,-,-
16,Total Assets,1818,1807,1727,1798,1792,1764,-,740.95,-,-,-
17,Accounts Payable,194.11,118.1,105.87,106.69,139.69,116.01,-,47.72,-,-,-
18,Accrued Expenses,4.24,5.03,4.1,13.02,3.77,6.76,-,11.46,-,-,-
19,Short-Term Debt,36.77,77.28,20,68.04,29,20.02,-,20.02,-,-,-
20,Current Portion of Long-Term Debt,1.46,-,-,-,-,-,-,-,-,-,-
21,Current Portion of Leases,-,0.51,0.5,0.55,1.1,0.97,-,2.47,-,-,-
22,Current Income Taxes Payable,1.09,-,0.7,-,2.62,-,-,0.01,-,-,-
23,Current Unearned Revenue,5.95,5.43,5.9,0.91,5.28,4.94,-,1.19,-,-,-
24,Other Current Liabilities,1.63,22.46,1.71,4.17,1.05,1.4,-,1.58,-,-,-
25,Total Current Liabilities,245.24,228.81,138.78,193.39,182.5,150.09,-,84.45,-,-,-
26,Long-Term Leases,1.7,1.35,1.47,1.59,1.68,1.76,-,0.12,-,-,-
27,Long-Term Deferred Tax Liabilities,0.66,0.26,0.42,1.27,1.01,2.48,-,1.12,-,-,-
28,Total Liabilities,247.6,230.42,140.67,196.24,185.19,154.34,-,85.69,-,-,-
29,Common Stock,459.53,459.53,459.53,459.53,459.53,459.53,-,367.62,-,-,-
30,Additional Paid-In Capital,935.31,933.92,933.45,932.97,932.25,931.64,-,105.76,-,-,-
31,Retained Earnings,186.93,180.14,189.95,201.41,206.02,208.71,-,173.87,-,-,-
32,Treasury Stock,-18.68,-5,-5,-,-,-,-,-,-,-,-
33,Comprehensive Income & Other,2.03,2.81,2.61,2.54,3.35,3.63,-,1.79,-,-,-
34,Total Common Equity,1565,1571,1581,1596,1601,1604,649.04,649.04,-,-,548
35,Minority Interest,5.03,5.28,5.41,5.63,5.76,6.01,-,6.22,-,-,-
36,Shareholders' Equity,1570,1577,1586,1602,1607,1610,655.26,655.26,-,-,554.31
37,Total Liabilities & Equity,1818,1807,1727,1798,1792,1764,-,740.95,-,-,-
38,Total Debt,39.93,79.13,21.97,70.18,31.77,22.75,22.61,22.61,-,-,5.63
39,Net Cash (Debt),862.32,906.11,919.79,1010,1028,1224,224.36,224.36,-,-,304.36
40,Net Cash Growth,-16.15%,-25.99%,309.96%,350.27%,-,-,-26.28%,-,-,-,-
41,Net Cash Per Share,2.68,1.80,2.01,2.13,2.26,3.06,0.61,0.61,-,-,0.83
42,Filing Date Shares Outstanding,457.48,459.05,459.05,459.53,459.53,459.53,364.94,367.62,366.87,368.21,368.21
43,Total Common Shares Outstanding,457.48,459.05,459.05,459.53,459.53,459.53,364.94,367.62,366.87,368.21,368.21
44,Working Capital,1154,1187,1208,1258,1240,1423,-,473.65,-,-,-
45,Book Value Per Share,3.42,3.42,3.44,3.47,3.48,3.49,1.77,1.77,-,-,1.49
46,Tangible Book Value,1550,1570,1579,1596,1601,1604,649.04,649.04,-,-,547.99
47,Tangible Book Value Per Share,3.39,3.42,3.44,3.47,3.48,3.49,1.77,1.77,-,-,1.49
48,Buildings,-,173.71,-,173.71,-,-,-,-,-,-,-
49,Machinery,-,15.89,-,8.48,-,5.49,-,5.06,-,-,-
50,Construction In Progress,-,2.29,-,5.11,-,-,-,-,-,-,-
