,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,111.91,130.96,100.25,129.53,131.63,121.86,97.43,107.51,100.4,109.55,109.55
1,Revenue Growth (YoY),-14.98%,7.46%,2.89%,20.47%,31.11%,11.24%,-11.06%,-,-,-,-
2,Cost of Revenue,93.29,109.42,86.79,120.75,105.17,90.45,66.36,78.3,72.18,50.52,50.52
3,Gross Profit,18.61,21.54,13.46,8.78,26.45,31.41,31.07,29.22,28.21,59.02,59.02
4,"Selling, General & Admin",9.69,9.9,8.86,12.25,11.31,8.85,7.87,9.48,8.04,8.89,8.89
5,Research & Development,14.18,17,11.14,18.37,16.65,13.83,8.16,16.29,13.24,10.87,10.87
6,Other Operating Expenses,-4.14,0.69,0.21,0.44,-4.37,-1.58,0.01,8.27,0.87,-3.56,-3.56
7,Operating Expenses,17.74,28.19,20.31,32.32,24.23,20.44,17.15,38.43,18.87,15.68,15.68
8,Operating Income,0.87,-6.66,-6.85,-23.54,2.22,10.97,13.92,-9.21,9.35,43.34,43.34
9,Interest Expense,-0.62,-0.37,-0.02,-0.93,-0.1,-0.19,-0.21,-0.2,-0.04,-0.05,-0.05
10,Interest & Investment Income,6.33,7.03,6.25,8.46,7.26,2.96,0.79,1.12,1.64,1.82,1.82
11,Currency Exchange Gain (Loss),0.59,-0.59,-,-3.1,-2.09,2.09,-,6.08,-1.23,0.62,0.62
12,Other Non Operating Income (Expenses),-2.27,-0.35,0.23,3.4,1.44,1.69,-1.78,-2.4,7.71,-0.07,-0.07
13,EBT Excluding Unusual Items,4.9,-0.94,-0.39,-15.71,8.73,17.51,12.72,-4.62,17.42,45.66,45.66
14,Gain (Loss) on Sale of Investments,7.15,3.17,-14.88,0.47,-14.13,-2.62,9.71,-0.4,4.27,-,-
15,Gain (Loss) on Sale of Assets,-,-,-0.02,0,-,-,0.03,-,-,-,-
16,Asset Writedown,-1.67,0.19,-0.24,0.5,-0.5,0.25,-0.25,0.67,-0.67,-,-
17,Other Unusual Items,-4.46,4.46,-,5.9,0.02,-0.02,-,13.97,0.12,-0.06,-0.06
18,Pretax Income,5.93,6.87,-15.54,-8.84,-5.87,15.11,22.22,9.62,21.14,45.6,45.6
19,Income Tax Expense,-0.61,-1.09,-3.86,-4.1,-2.93,0.43,2.27,-0.71,2.11,6.18,6.18
20,Earnings From Continuing Operations,6.54,7.96,-11.68,-4.74,-2.94,14.68,19.95,10.33,19.03,39.41,39.41
21,Minority Interest in Earnings,0.25,0.14,0.21,0.13,0.25,0.09,0.12,0.12,-0,-0.02,-0.02
22,Net Income,6.79,8.1,-11.46,-4.61,-2.69,14.77,20.07,10.45,19.03,39.4,39.4
23,Net Income to Common,6.79,8.1,-11.46,-4.61,-2.69,14.77,20.07,10.45,19.03,39.4,39.4
24,Net Income Growth,-,-45.17%,-,-,-,-62.52%,-49.05%,-,-,-,-
25,Shares Outstanding (Basic),322,503,459,474,455,401,365,365,367,368,368
26,Shares Outstanding (Diluted),322,503,459,474,455,401,365,365,367,368,368
27,Shares Change (YoY),-29.32%,25.63%,25.66%,29.94%,24.02%,8.84%,-0.89%,-,-,-,-
28,EPS (Basic),0.02,0.02,-0.03,-0.01,-0.01,0.04,0.06,0.03,0.05,0.11,0.11
29,EPS (Diluted),0.02,0.02,-0.03,-0.01,-0.01,0.04,0.06,0.03,0.05,0.11,0.11
30,EPS Growth,-,-56.35%,-,-,-,-65.56%,-48.60%,-,-,-,-
31,Free Cash Flow,-52.45,-14.51,-51.13,13.33,-178.79,42.69,26.28,-2.25,-49.57,-9.19,-9.19
32,Free Cash Flow Per Share,-0.16,-0.03,-0.11,0.03,-0.39,0.11,0.07,-0.01,-0.14,-0.02,-0.02
33,Dividend Per Share,-,-,-,0.039,-,-,-,-,-,-,-
34,Gross Margin,16.63%,16.44%,13.43%,6.78%,20.10%,25.78%,31.89%,27.18%,28.10%,53.88%,53.88%
35,Operating Margin,0.78%,-5.08%,-6.83%,-18.17%,1.69%,9.00%,14.28%,-8.57%,9.31%,39.57%,39.57%
36,Profit Margin,6.07%,6.18%,-11.44%,-3.56%,-2.05%,12.12%,20.60%,9.72%,18.95%,35.96%,35.96%
37,Free Cash Flow Margin,-46.87%,-11.08%,-51.00%,10.29%,-135.83%,35.03%,26.97%,-2.10%,-49.37%,-8.39%,-8.39%
38,EBITDA,1.3,-5.37,-6.41,-23.11,2.43,11.19,14.13,-9,9.56,43.56,43.56
39,EBITDA Margin,1.17%,-4.10%,-6.40%,-17.84%,1.85%,9.19%,14.50%,-8.37%,9.52%,39.76%,39.76%
40,D&A For EBITDA,0.43,1.28,0.43,0.43,0.21,0.23,0.21,0.21,0.21,0.21,0.21
41,EBIT,0.87,-6.66,-6.85,-23.54,2.22,10.97,13.92,-9.21,9.35,43.34,43.34
42,EBIT Margin,0.78%,-5.08%,-6.83%,-18.17%,1.69%,9.00%,14.28%,-8.57%,9.31%,39.57%,39.57%
43,Effective Tax Rate,-,-,-,-,-,2.85%,10.22%,-,10.00%,13.56%,13.56%
44,Revenue as Reported,111.91,130.96,100.25,129.53,131.63,121.86,97.43,107.51,100.4,109.55,109.55
