,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,2414,2429,2167,2219,2726,3162,-,-,-,-,-,-
1,Market Cap Growth,-23.20%,-23.20%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1484,1444,1054,1028,1535,1938,-,-,-,-,-,-
3,Last Close Price,11.90,11.97,10.68,10.37,12.74,14.77,-,-,-,-,-,-
4,PE Ratio,38.86,38.91,38.80,46.32,48.86,58.44,-,-,-,-,-,-
5,PS Ratio,1.18,1.18,1.07,1.14,1.38,1.47,-,-,-,-,-,-
6,PB Ratio,1.56,1.57,1.41,1.33,1.64,1.94,-,-,-,-,-,-
7,P/TBV Ratio,1.62,1.62,1.45,1.37,1.69,2.00,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-20.01,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,260.67,-,-,57.47,-,-,-,-,-,-
10,EV/Sales Ratio,0.72,0.70,0.52,0.53,0.78,0.90,-,-,-,-,-,-
11,EV/EBITDA Ratio,20.51,20.48,16.45,18.18,22.05,24.76,-,-,-,-,-,-
12,EV/EBIT Ratio,32.72,31.15,26.12,30.37,32.42,34.31,-,-,-,-,-,-
13,EV/FCF Ratio,-11.07,-,-9.74,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-,-,0.01
15,Debt / EBITDA Ratio,0.01,0.01,0.02,0.05,0.02,0.10,0.08,0.05,0.03,-,-,0.05
16,Debt / FCF Ratio,-,-,-0.01,-,-,-,-0.30,-,0.03,-,-,-
17,Asset Turnover,1.15,1.23,0.91,1.00,1.04,1.38,1.80,-,-,-,-,
18,Inventory Turnover,22.69,20.69,23.63,17.86,22.36,25.65,22.53,21.42,-,-,-,-
19,Quick Ratio,3.39,3.39,3.54,3.88,4.14,4.17,4.08,1.17,1.30,-,-,-
20,Current Ratio,4.25,4.25,4.22,4.80,4.98,4.83,4.68,1.89,1.91,-,-,-
21,Return on Equity (ROE),2.53%,3.92%,1.82%,7.16%,0.79%,2.63%,8.57%,-,-,-,-,
22,Return on Assets (ROA),1.14%,1.63%,0.42%,2.85%,0.31%,1.00%,4.01%,-,-,-,-,
23,Return on Capital (ROIC),1.37%,1.95%,0.49%,3.37%,0.37%,1.27%,5.78%,-,-,-,-,
24,Return on Capital Employed (ROCE),2.93%,3.00%,2.63%,2.03%,2.86%,3.47%,4.78%,12.10%,14.54%,-,-,-
25,Earnings Yield,2.59%,2.57%,2.58%,2.16%,2.05%,1.71%,-,-,-,-,-,-
26,FCF Yield,-5.55%,-5.52%,-5.00%,-4.76%,-4.40%,-1.98%,-,-,-,-,-,-
27,Dividend Yield,6.00%,-,-,-,5.61%,-,-,-,-,-,-,-
28,Payout Ratio,232.17%,107.26%,857.24%,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,-24.98%,-1.90%,-33.11%,-33.57%,-38.79%,-29.19%,-1.86%,0.63%,-,-,-,-
30,Total Shareholder Return,-18.98%,-1.90%,-33.11%,-33.57%,-33.19%,-29.19%,-1.86%,0.63%,-,-,-,-
