,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Revenue,533.08,587.49,446.69,485.42,503.61,517.68,471.91,663.8,590.71,623.12,563.7
1,Revenue Growth (YoY),5.85%,13.49%,-5.35%,-26.87%,-14.74%,-16.92%,-16.28%,-,-,-,-
2,Cost of Revenue,522.36,569.98,439.96,465.98,494.98,505.45,452.43,625,560.94,601.15,526.06
3,Gross Profit,10.73,17.52,6.73,19.44,8.63,12.22,19.48,38.8,29.77,21.98,37.65
4,"Selling, General & Admin",4.51,5.1,4.21,5.29,6.53,3.36,3.11,5.19,3.5,3.28,3.5
5,Research & Development,1.23,1.48,0.89,1.52,1.3,0.89,1.03,1.74,0.89,0.89,0.86
6,Other Operating Expenses,-2.53,-2.84,-2.02,-11.47,0.64,-0.5,0.46,1.07,1.1,1.16,0.93
7,Operating Expenses,2.3,5.02,3.45,-2.72,6.21,6.23,2.7,7.5,6.09,5.25,5.29
8,Operating Income,8.43,12.5,3.27,22.16,2.43,5.99,16.78,31.3,23.68,16.72,32.36
9,Interest Expense,-0.01,-0.05,-,-0.04,-0.04,-0.11,-,-0.06,-0.07,-0.08,-0.08
10,Interest & Investment Income,3.34,6.19,5.86,6.24,3.57,1.51,1.62,3,1.54,1.86,1.34
11,Other Non Operating Income (Expenses),-0.06,-0.05,-0.11,1.91,-2.06,1.98,-0.1,-1.24,-0.06,-0.15,-0.07
12,EBT Excluding Unusual Items,11.71,18.59,9.02,30.27,3.89,9.37,18.3,33,25.09,18.36,33.54
13,Gain (Loss) on Sale of Investments,-,-,-,0.51,-,-,-,-0.71,0.71,-,-
14,Gain (Loss) on Sale of Assets,-0.03,-,-,0,-,-,-,-,-,-,-
15,Asset Writedown,-0,-0.03,-,-0,0,-0,-,-0.02,-,-,-
16,Other Unusual Items,-0.02,0,-,3.7,0.04,-0.04,-,0.07,-,0.05,-0.05
17,Pretax Income,11.65,18.56,9.02,34.49,3.93,9.33,18.3,32.33,25.8,18.41,33.49
18,Income Tax Expense,1.89,2.88,1.48,5.06,0.74,1.6,2.86,4.59,3.78,2.56,5.05
19,Net Income,9.76,15.68,7.54,29.43,3.19,7.73,15.44,27.74,22.02,15.85,28.45
20,Net Income to Common,9.76,15.68,7.54,29.43,3.19,7.73,15.44,27.74,22.02,15.85,28.45
21,Net Income Growth,205.66%,102.78%,-51.13%,6.07%,-85.50%,-51.19%,-45.74%,-,-,-,-
22,Shares Outstanding (Basic),203,202,203,207,199,152,152,149,154,149,153
23,Shares Outstanding (Diluted),203,202,203,207,199,152,152,149,154,149,153
24,Shares Change (YoY),1.90%,33.11%,33.57%,38.79%,29.19%,1.86%,-0.63%,-,-,-,-
25,EPS (Basic),0.05,0.08,0.04,0.14,0.02,0.05,0.10,0.19,0.14,0.11,0.19
26,EPS (Diluted),0.05,0.08,0.04,0.14,0.02,0.05,0.10,0.19,0.14,0.11,0.19
27,EPS Growth,199.97%,52.34%,-63.41%,-23.58%,-88.77%,-52.09%,-45.40%,-,-,-,-
28,Free Cash Flow,-45.36,0.98,-62.39,-27.29,-19.57,3.64,-76.78,30.08,30.09,105.48,-0.18
29,Free Cash Flow Per Share,-0.22,0.00,-0.31,-0.13,-0.10,0.02,-0.50,0.20,0.20,0.71,-0.00
30,Dividend Per Share,-,-,-,0.714,-,-,-,-,-,-,-
31,Gross Margin,2.01%,2.98%,1.51%,4.00%,1.71%,2.36%,4.13%,5.84%,5.04%,3.53%,6.68%
32,Operating Margin,1.58%,2.13%,0.73%,4.57%,0.48%,1.16%,3.56%,4.71%,4.01%,2.68%,5.74%
33,Profit Margin,1.83%,2.67%,1.69%,6.06%,0.63%,1.49%,3.27%,4.18%,3.73%,2.54%,5.05%
34,Free Cash Flow Margin,-8.51%,0.17%,-13.97%,-5.62%,-3.89%,0.70%,-16.27%,4.53%,5.09%,16.93%,-0.03%
35,EBITDA,14.3,19.04,9.14,28.03,7.9,11.46,22.23,36.66,26.39,22.66,35.07
36,EBITDA Margin,2.68%,3.24%,2.05%,5.77%,1.57%,2.21%,4.71%,5.52%,4.47%,3.64%,6.22%
37,D&A For EBITDA,5.87,6.54,5.87,5.87,5.47,5.47,5.45,5.37,2.71,5.93,2.71
38,EBIT,8.43,12.5,3.27,22.16,2.43,5.99,16.78,31.3,23.68,16.72,32.36
39,EBIT Margin,1.58%,2.13%,0.73%,4.57%,0.48%,1.16%,3.56%,4.71%,4.01%,2.68%,5.74%
40,Effective Tax Rate,16.21%,15.52%,16.37%,14.67%,18.74%,17.10%,15.65%,14.20%,14.63%,13.90%,15.07%
41,Revenue as Reported,533.08,587.49,446.69,485.42,503.61,517.68,471.91,663.8,590.71,623.12,563.7
