,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,372.56,985.47,619.14,224.44,292.68,1194,320.62,396.59,-,-,-
1,Trading Asset Securities,558.79,-,495.2,948.11,901.3,34.2,-,-,-,-,-
2,Cash & Short-Term Investments,931.35,985.47,1114,1173,1194,1228,320.62,396.59,-,-,227.52
3,Cash Growth,-22.00%,-19.76%,247.56%,195.66%,-,-,40.92%,-,-,-,-
4,Accounts Receivable,103.2,123.55,71.29,67.15,73.12,78.05,45.29,27.9,-,-,-
5,Other Receivables,0.15,0.03,0.05,0.02,0.04,0.11,2.75,2.06,-,-,-
6,Receivables,103.36,123.58,71.35,67.18,73.16,78.15,48.03,29.96,-,-,-
7,Inventory,107.8,94.19,98.79,98.34,68.38,86.02,93.42,75.52,-,-,-
8,Other Current Assets,154.4,120.27,183.1,152.76,133.47,108.09,135.19,125.68,-,-,-
9,Total Current Assets,1297,1324,1468,1491,1469,1500,597.27,627.74,-,-,-
10,"Property, Plant & Equipment",501.83,463.5,450.35,398.2,402.48,397.82,399.95,386.51,-,-,-
11,Other Intangible Assets,44.66,44.89,45.22,45.54,45.88,46.22,46.47,26.12,-,-,-
12,Long-Term Deferred Tax Assets,0.38,0.63,0.51,0.54,0.2,0.25,0.79,1.17,-,-,-
13,Long-Term Deferred Charges,0.24,0.37,0.49,0.62,0.75,0.88,1.01,1.13,-,-,-
14,Other Long-Term Assets,9.01,18.05,7.83,22.06,15.75,1.16,1.8,1.77,-,-,-
15,Total Assets,1853,1851,1972,1958,1934,1947,1047,1044,-,-,-
16,Accounts Payable,288.76,288.33,291.35,281.09,282.49,281.77,295.28,307.1,-,-,-
17,Accrued Expenses,1.76,4.07,1.56,4.73,1.67,14.79,2.73,4.77,-,-,-
18,Current Portion of Leases,0.71,1.35,1.98,2.54,2.5,2.46,2.43,2.39,-,-,-
19,Current Income Taxes Payable,4.19,3.34,2.24,5.17,2.75,1.48,2.03,4.45,-,-,-
20,Current Unearned Revenue,7.34,4.87,6.61,4.02,12.47,15.33,9.53,5.06,-,-,-
21,Other Current Liabilities,2.12,11.44,1.96,2.07,2.36,4.6,4.04,4.87,-,-,-
22,Total Current Liabilities,304.88,313.41,305.71,299.62,304.24,320.43,316.05,328.65,-,-,-
23,Long-Term Leases,-,-,-,0.07,0.74,1.38,2,2.62,-,-,-
24,Long-Term Deferred Tax Liabilities,0.1,0.19,0.27,0.44,-,-,0.62,0.71,-,-,-
25,Total Liabilities,304.98,313.6,305.98,300.12,304.98,321.81,318.68,331.98,-,-,-
26,Common Stock,202.89,202.89,144.92,144.92,144.92,144.92,108.69,108.69,-,-,-
27,Additional Paid-In Capital,909.65,909.65,967.62,967.62,967.62,967.62,116.56,116.56,-,-,-
28,Retained Earnings,429.01,419.25,548.49,540.94,511.51,508.32,500.59,485.15,-,-,-
29,Comprehensive Income & Other,6.48,5.58,4.96,4.19,5.03,4.03,2.77,2.07,-,-,-
30,Shareholders' Equity,1548,1537,1666,1658,1629,1625,728.61,712.47,-,-,622.5
31,Total Liabilities & Equity,1853,1851,1972,1958,1934,1947,1047,1044,-,-,-
32,Total Debt,0.71,1.35,1.98,2.6,3.24,3.84,4.43,5.01,-,-,7.27
33,Net Cash (Debt),930.64,984.12,1112,1170,1191,1224,316.19,391.58,-,-,220.25
34,Net Cash Growth,-21.84%,-19.62%,251.80%,198.78%,-,-,43.56%,-,-,-,-
35,Net Cash Per Share,4.59,4.86,5.47,5.66,5.98,8.05,2.08,2.63,-,-,1.44
36,Filing Date Shares Outstanding,202.89,202.89,202.89,202.89,202.89,202.89,152.17,152.17,154.18,149.26,153.19
37,Total Common Shares Outstanding,202.89,202.89,202.89,202.89,202.89,202.89,152.17,152.17,154.18,149.26,153.19
38,Working Capital,992.02,1010,1162,1191,1165,1180,281.22,299.1,-,-,-
39,Book Value Per Share,7.63,7.58,8.21,8.17,8.03,8.01,4.79,4.68,-,-,4.08
40,Tangible Book Value,1503,1492,1621,1612,1583,1579,682.14,686.35,-,-,595.44
41,Tangible Book Value Per Share,7.41,7.36,7.99,7.95,7.80,7.78,4.48,4.51,-,-,3.90
42,Buildings,-,226.71,-,214.68,-,124.02,-,124.02,-,-,-
43,Machinery,-,280.78,-,279.5,-,266.34,0.55,262.42,-,-,-
44,Construction In Progress,-,75.96,-,10.42,-,100.71,97.29,81.7,-,-,-
