,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 3, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,71,92,95,78,104,156,161,224,238,158,504
1,Market Cap Growth,17.65%,17.65%,-8.77%,-50.00%,-35.23%,-30.61%,-32.31%,41.62%,-52.77%,-76.43%,0%
2,Enterprise Value,76,43,12,-27,8,73,61,126,151,66,393
3,Last Close Price,0.08,0.10,0.10,0.09,0.11,0.17,0.18,0.24,0.26,0.17,0.60
4,PE Ratio,21.49,-,-2681.56,-,-,-,-,-,-,-,-
5,PS Ratio,0.66,0.85,0.86,1.07,1.31,1.85,1.90,3.47,5.66,3.25,4.37
6,PB Ratio,0.25,0.32,0.33,0.29,0.37,0.57,0.57,0.75,0.78,0.54,1.84
7,P/TBV Ratio,0.33,0.33,0.33,0.29,0.37,0.58,0.57,0.75,0.78,0.65,1.84
8,P/FCF Ratio,-,-,-,-,-,-,-,23.83,100.95,-,-
9,P/OCF Ratio,6.63,-,5.35,-,-81.22,-,-,12.08,20.04,-,-
10,EV/Sales Ratio,0.70,0.40,0.11,-,0.10,0.87,0.72,1.95,3.59,1.35,3.41
11,EV/FCF Ratio,-1.75,-,-,-,-,-,-,13.43,63.97,-,-
12,Debt / Equity Ratio,0.11,0.11,0.12,0.13,0.13,0.01,-,-,-,-,-
13,Earnings Yield,4.65%,3.63%,-0.04%,-10.86%,-5.08%,-15.35%,-14.36%,-3.18%,-7.71%,-31.21%,-8.69%
14,FCF Yield,-60.51%,-47.19%,-42.85%,-86.78%,-56.20%,-13.41%,-8.08%,4.20%,0.99%,-13.35%,-1.44%
15,Buyback Yield / Dilution,-,-,-,-,-,-0.91%,-,-8.02%,-9.00%,19.07%,
16,Total Shareholder Return,-,-,-,-,-,-0.91%,-,-8.02%,-9.00%,19.07%,
