,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,3226,3114,3400,4282,4536
1,Revenue Growth (YoY),-5.13%,-27.26%,-25.04%,-,-
2,Cost of Revenue,861.61,835.25,1106,1263,1144
3,Gross Profit,2364,2279,2294,3018,3391
4,"Selling, General & Admin",2401,2065,2081,2734,3064
5,Research & Development,74.46,84.55,86.69,87.12,70.62
6,Other Operating Expenses,372.83,189.72,5.75,2.51,2.56
7,Operating Expenses,2849,2339,2173,2824,3137
8,Operating Income,-484.45,-59.76,120.8,194.56,254.22
9,Interest Expense,-28.25,-,-53.37,-,-52.94
10,Interest & Investment Income,3.94,226.07,250.23,250.43,3.45
11,Earnings From Equity Investments,17.64,4.24,-11.09,-21.33,-5.11
12,Currency Exchange Gain (Loss),-,-,-,1.22,-
13,Other Non Operating Income (Expenses),74.76,-189.28,136.08,-232.41,199.18
14,EBT Excluding Unusual Items,-416.35,-18.73,442.65,192.47,398.79
15,Impairment of Goodwill,-,-14.58,-,-,-
16,Gain (Loss) on Sale of Investments,-,-,-,12.47,-
17,Gain (Loss) on Sale of Assets,-,-,-,0.62,-
18,Asset Writedown,-,-,-,-5.48,-
19,Other Unusual Items,-,4.05,-,2.71,-
20,Pretax Income,-416.35,-29.26,442.65,202.78,398.79
21,Income Tax Expense,-31.4,-2.29,142.39,48.93,61.12
22,Earnings From Continuing Operations,-384.95,-26.97,300.26,153.85,337.67
23,Minority Interest in Earnings,2.03,-13.2,-24.61,22.02,0.53
24,Net Income,-382.92,-40.17,275.65,175.87,338.2
25,Net Income to Common,-382.92,-40.17,275.65,175.87,338.2
26,Net Income Growth,-,-,-18.49%,-,-
27,Shares Outstanding (Basic),519,508,498,-,-
28,Shares Outstanding (Diluted),519,524,502,-,-
29,Shares Change (YoY),3.52%,-,-,-,-
30,EPS (Basic),-0.74,-0.08,0.55,-,-
31,EPS (Diluted),-0.74,-0.08,0.55,-,-
32,Free Cash Flow,-886.59,-1951,-414.93,746.14,1412
33,Free Cash Flow Per Share,-1.71,-3.72,-0.83,-,-
34,Operating Margin,-15.02%,-1.92%,3.55%,4.54%,5.60%
35,Profit Margin,-11.87%,-1.29%,8.11%,4.11%,7.46%
36,Free Cash Flow Margin,-27.48%,-62.63%,-12.20%,17.43%,31.14%
37,EBITDA,-466.19,-38.46,147.22,200.41,292.74
38,D&A For EBITDA,18.26,21.3,26.42,5.85,38.51
39,EBIT,-484.45,-59.76,120.8,194.56,254.22
40,Advertising Expenses,2191,-,1851,-,2922
