,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,5933,1017,1418,1082,2090,2960,5671,7227,8109,-,-
1,Market Cap Growth,-6.07%,-6.07%,-32.16%,-63.44%,-63.14%,-59.04%,-30.06%,-,-,-,-
2,Enterprise Value,5018,430,661,444,980,1418,3528,4468,9833,-,-
3,Last Close Price,8.15,1.38,1.94,1.47,2.81,4.07,7.75,9.90,10.56,-,-
4,PE Ratio,37.28,6.11,7.96,-2.25,-,-,-,-,-,-,-
5,Forward PE,-,19.64,19.64,-,-,-,-,-,-,-,-
6,PS Ratio,10.63,1.80,2.03,2.56,6.59,12.69,168.82,90.81,74.14,-,-
7,PB Ratio,6.24,1.06,1.52,1.38,2.90,2.41,3.26,3.06,2.90,-,-
8,P/TBV Ratio,1.13,1.13,1.62,1.49,3.17,2.54,3.39,3.14,2.96,-,-
9,P/FCF Ratio,37.73,6.46,-,-2.16,-,-,-,-,-,-,-
10,P/OCF Ratio,6.18,6.18,-,-2.45,-,-,-,-,-,-,-
11,EV/Sales Ratio,8.90,0.76,0.94,1.05,3.09,6.08,105.03,56.14,89.90,-,-
12,EV/EBITDA Ratio,31.35,2.85,3.51,-1.30,-,-,-,-,-,-,-
13,EV/EBIT Ratio,37.58,-,3.97,-1.22,-,-,-,-,-,-,-
14,EV/FCF Ratio,31.91,2.73,-,-0.88,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.54,0.54,0.55,0.83,0.98,0.39,0.09,0.02,0.00,-1.55,-1.33
16,Debt / FCF Ratio,3.29,3.29,-,-1.30,-,-,-,-,-,-,-
17,Return on Capital Employed (ROCE),10.62%,-,12.97%,-29.25%,-,-,-,-,-,-,-
18,Earnings Yield,2.80%,16.36%,12.56%,-44.35%,-51.19%,-39.57%,-18.94%,-33.27%,-28.34%,-,-
19,FCF Yield,2.65%,15.47%,-11.86%,-46.33%,-43.98%,-32.21%,-19.12%,-9.44%,-3.43%,-,-
20,Buyback Yield / Dilution,-1.77%,0.11%,-1.31%,-0.95%,1.17%,-0.37%,-221.96%,-491.45%,-90.29%,-6.41%,-
21,Total Shareholder Return,-1.77%,0.11%,-1.31%,-0.95%,1.17%,-0.37%,-221.96%,-491.45%,-90.29%,-6.41%,-
