,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,33130,6761,24637,16798,15805,123752,185798,7147,12148,18143,33299,80279,30190,63650,74988,76554,67501,262324,109485,143858,Upgrade
1,Short-Term Investments,9000,7465,7465,6965,103965,6965,6965,6965,6965,6960,6965,8315,8315,-,-,-,8315,-,-,-,Upgrade
2,Cash & Short-Term Investments,42130,14226,32102,23763,119770,130717,192763,14112,19113,25103,40264,88594,38505,63650,74988,76554,75816,262324,109485,143858,Upgrade
3,Cash Growth,-64.82%,-89.12%,-83.35%,68.39%,526.63%,420.72%,378.75%,-84.07%,-50.36%,-60.56%,-46.31%,15.73%,-49.21%,-75.74%,-31.51%,-46.79%,-45.64%,78.42%,-29.62%,-47.39%,Upgrade
4,Accounts Receivable,309660,317332,320832,334854,356369,349520,357440,305109,352221,370135,346695,289723,301784,619181,540986,407499,530775,575134,448270,343205,Upgrade
5,Other Receivables,280071,47985,54176,66829,43890,25458,359560,584451,50868,46428,84948,16828,5283,93502,58790,67861,31559,47340,57556,275630,Upgrade
6,Receivables,592030,367617,377308,403983,402560,384178,726200,891860,405389,418863,434743,308851,309367,712683,611576,484860,571834,631974,515326,628335,Upgrade
7,Inventory,1948588,1873695,1794525,1661848,1578460,1586775,1551857,1417726,1355530,1272210,1193210,1006617,931328,2379693,2356800,2484806,930436,3333063,4242194,4145293,Upgrade
8,Prepaid Expenses,226.98,281.41,724.72,24.74,16.67,45.75,72.11,29.12,29.58,43.84,37.33,38.38,22.36,81.38,107.26,66.09,250.03,1629,594.16,704.29,Upgrade
