,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,2163452,2263611,2203515,2413851,2584123,2158444,1928076,1462333,1312093,1287053,1943100,1602557,3079914,4463024,2723097,2120573,2190998,1897560,1829097,1819764,1819764,Upgrade
1,Market Cap Growth,4.87%,4.87%,14.29%,65.07%,96.95%,67.70%,-0.77%,-8.75%,-57.40%,-71.16%,-28.64%,-24.43%,40.57%,135.20%,48.88%,16.53%,20.40%,1.67%,-3.92%,-7.36%,-6.38%,Upgrade
2,Enterprise Value,6552467,5733945,5690347,5477765,6110474,5580108,5610140,4159532,4429664,4389860,4969459,3887724,4235372,5550386,3648901,2673954,2650366,2123317,2060898,2120575,1965079,Upgrade
3,Last Close Price,21600.00,22600.00,22000.00,24100.00,25800.00,21550.00,19250.00,14600.00,13100.00,12850.00,19400.00,16000.00,30750.00,44700.00,34800.00,27100.00,26646.53,23077.79,18652.57,18557.40,16178.25,Upgrade
4,PE Ratio,1856.37,1996.60,1482.11,1683.97,1552.01,1190.96,401.86,309.78,292.46,223.32,-90.19,10.61,11.18,-,5.99,5.92,6.96,6.52,17.25,12.29,6.31,Upgrade
5,Forward PE,-,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,26.68,Upgrade
6,PS Ratio,34.34,33.96,16.17,17.03,8.43,7.37,4.98,2.98,3.24,2.76,6.54,8.81,6.43,7.90,1.17,0.59,0.62,0.54,1.02,2.86,3.94,Upgrade
7,PB Ratio,1.48,1.24,1.21,1.33,1.42,1.19,1.06,0.80,0.72,0.71,1.07,0.88,1.69,2.44,1.41,1.20,1.24,1.07,0.90,0.93,0.84,Upgrade
8,P/TBV Ratio,1.30,1.30,1.26,1.38,1.48,1.24,1.11,0.84,0.74,0.72,1.09,0.90,1.73,2.49,1.44,1.23,1.27,1.10,0.91,0.94,0.85,Upgrade
9,P/FCF Ratio,-,-3.08,-,-,-,-,-13.14,-,-1.63,-,-5.55,-,24.60,-39.48,-,-,-,6.35,97.48,43.74,-,Upgrade
10,P/OCF Ratio,-,-3.12,-,-,-,-,-13.34,-,-1.63,-,-5.70,-,23.06,-43.26,-,-,-,6.19,11.63,11.80,-,Upgrade
11,EV/Sales Ratio,98.32,86.04,41.76,38.65,19.92,19.04,14.50,8.47,10.95,9.41,16.71,21.37,8.85,9.82,1.57,0.74,0.75,0.61,1.14,3.33,4.26,Upgrade
12,EV/EBITDA Ratio,420.06,420.06,-,-266.02,85.01,-,-,19.46,27.74,22.94,27.05,40.83,24.03,28.53,-,4.38,4.29,3.42,6.98,10.22,19.46,Upgrade
13,EV/EBIT Ratio,1031.09,1031.09,-,-,98.91,-,-,20.32,-,24.22,28.57,45.30,25.26,29.90,-,4.44,4.35,3.47,7.20,10.64,21.19,Upgrade
14,EV/FCF Ratio,-8.91,-7.80,-,-,-,-,-38.22,-,-5.49,-,-14.20,-,33.82,-49.10,-,-,-,7.10,109.83,50.97,-,Upgrade
15,Debt / Equity Ratio,2.43,2.43,1.91,1.93,1.69,2.00,1.95,2.13,1.49,1.72,1.72,1.68,1.30,0.65,0.59,0.56,0.35,0.29,0.24,0.17,0.20,Upgrade
16,Debt / EBITDA Ratio,324.23,441.49,-,236.60,95.66,-,-,10.06,1515.87,15.33,11.80,18.19,18.40,6.84,-,2.02,3.08,0.40,1.10,0.64,2.04,Upgrade
17,Debt / FCF Ratio,-,-6.02,-,-,-,-,-24.16,-,-3.35,-,-8.92,-,18.90,-10.50,-,-,-,1.73,25.68,8.02,-,Upgrade
18,Asset Turnover,0.01,0.01,0.01,0.02,0.05,0.01,0.10,0.01,0.11,0.08,0.06,0.06,0.01,0.00,0.37,0.16,1.50,0.92,0.19,0.10,Upgrade,
19,Inventory Turnover,0.03,0.02,0.02,0.02,0.04,0.22,0.04,0.20,0.03,0.31,0.17,0.17,0.16,-,0.01,0.41,0.24,2.61,1.16,0.14,0.08,Upgrade
20,Quick Ratio,0.25,0.25,0.14,0.15,0.18,0.23,0.25,0.43,0.35,0.22,0.24,0.25,0.18,0.16,0.34,0.30,0.27,0.30,0.33,0.18,0.22,Upgrade
21,Current Ratio,1.17,1.17,1.02,1.01,1.16,1.19,1.39,1.46,1.29,1.49,1.48,1.44,0.86,0.81,1.60,1.57,1.77,1.01,1.79,1.60,1.55,Upgrade
22,Return on Equity (ROE),0.09%,0.04%,0.04%,0.01%,0.10%,0.03%,0.07%,0.03%,1.12%,0.07%,0.05%,0.34%,-4.65%,37.21%,29.56%,7.34%,31.82%,15.39%,18.23%,0.97%,Upgrade,
23,Return on Assets (ROA),0.01%,-0.02%,-0.01%,0.21%,-1.26%,-0.14%,3.38%,-0.06%,1.89%,2.50%,1.64%,1.52%,2.25%,-1.33%,7.20%,2.98%,17.31%,4.71%,5.39%,2.20%,Upgrade,
24,Return on Capital (ROIC),0.02%,-0.03%,-0.01%,0.29%,-1.60%,-0.18%,4.61%,-0.08%,2.44%,3.24%,2.15%,2.10%,3.37%,-2.09%,11.74%,5.16%,33.90%,11.10%,13.17%,5.15%,Upgrade,
25,Return on Capital Employed (ROCE),0.11%,0.11%,-,-,1.25%,-,-,4.04%,-,4.03%,3.85%,1.92%,5.04%,8.47%,-,28.55%,31.11%,30.68%,10.86%,7.87%,3.82%,Upgrade
26,Earnings Yield,0.05%,0.05%,0.07%,0.06%,0.07%,0.09%,0.26%,0.34%,0.36%,0.47%,-0.96%,9.60%,9.21%,7.04%,17.87%,18.42%,16.18%,17.25%,7.00%,9.34%,16.68%,Upgrade
27,FCF Yield,-33.99%,-32.48%,-63.21%,-34.16%,-46.28%,-23.18%,-7.61%,-22.02%,-61.52%,-89.20%,-18.00%,-52.26%,4.07%,-2.53%,-17.53%,-1.40%,16.45%,15.76%,1.03%,2.29%,-7.47%,Upgrade
28,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.83%,21.98%,-,-,Upgrade
29,Payout Ratio,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.80%,-,250.15%,-,Upgrade
30,Buyback Yield / Dilution,-5.78%,-19.50%,8.97%,-11.53%,3.01%,0.37%,6.26%,18.13%,-39.80%,-35.42%,-53.57%,-32.87%,1.41%,23.51%,34.27%,2.89%,9.10%,-2.54%,-3.14%,0.27%,10.09%,Upgrade
31,Total Shareholder Return,-5.78%,-19.50%,8.97%,-11.53%,3.01%,0.37%,6.26%,18.13%,-39.80%,-35.42%,-53.57%,-32.87%,1.41%,23.51%,34.27%,2.89%,9.10%,8.29%,18.84%,0.27%,10.09%,Upgrade
