,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,106447,103516,104826,89893,106976,112918,85787,113742,127118,145859,149667,-,-,-,-,-
1,Market Cap Growth,-8.33%,-8.33%,22.19%,-20.97%,-15.85%,-22.58%,-42.68%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,97497,94565,94161,78858,95110,101052,72937,100257,114747,133488,147800,-,-,-,-,-
3,Last Close Price,129.98,126.40,127.88,109.34,129.37,136.56,103.75,137.36,153.51,176.14,180.74,-,-,-,-,-
4,PE Ratio,84.40,82.03,-,45.25,53.28,57.19,47.09,62.49,75.68,88.07,96.86,-,-,-,-,-
5,Forward PE,54.87,50.26,39.51,35.39,46.90,60.36,43.37,50.37,55.82,68.86,73.97,-,-,-,-,-
6,PS Ratio,10.34,10.05,9.59,7.84,9.26,9.90,7.93,11.00,12.98,15.79,17.72,-,-,-,-,-
7,PB Ratio,5.52,5.38,5.45,4.58,5.55,5.98,4.77,6.22,7.14,8.35,8.97,-,-,-,-,-
8,P/TBV Ratio,5.69,5.69,5.76,4.81,5.83,6.27,5.00,6.52,7.50,8.79,9.41,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-119.70,-,-,-,-2492.39,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,4638.82,-,852.14,-,-,-,213.62,-,-,-,-,-,-
11,PEG Ratio,7.37,7.14,2.21,1.78,2.10,2.77,1.97,2.03,-,-,-,-,-,-,-,-
12,EV/Sales Ratio,9.47,9.18,8.61,6.87,8.24,8.86,6.75,9.70,11.72,14.45,17.50,-,-,-,-,-
13,EV/EBITDA Ratio,58.18,55.91,-,41.78,48.46,52.08,42.20,57.37,68.82,78.41,87.31,-,-,-,-,-
14,EV/EBIT Ratio,71.36,69.21,-,50.11,57.14,61.10,50.18,67.77,81.16,91.88,101.93,-,-,-,-,-
15,EV/FCF Ratio,-,-,-,-,-,-107.12,-,-,-,-2281.00,-,-,-,-,-,-
16,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,0.03,0.03,-,0.17
17,Debt / EBITDA Ratio,0.08,0.04,-,0.06,0.07,0.05,0.30,0.06,0.08,0.06,0.23,-,0.09,0.07,-,0.43
18,Debt / FCF Ratio,-,-,-,-,-,-0.17,-,-,-,-2.30,-,-,-,0.16,-,-
19,Asset Turnover,-,0.25,0.46,0.37,0.64,0.35,0.50,0.37,0.58,-,-,0.63,-,-,-,
20,Inventory Turnover,-,-,0.73,1.30,1.17,2.03,1.05,1.62,1.21,1.98,-,-,1.39,-,-,-
21,Quick Ratio,-,-,2.20,2.45,2.80,2.77,2.66,2.84,2.77,2.72,3.06,-,0.91,1.02,-,-
22,Current Ratio,-,-,3.16,3.20,3.63,3.49,3.55,3.63,3.52,3.35,3.88,-,1.58,1.56,-,-
23,Return on Equity (ROE),12.55%,-5.89%,11.98%,7.59%,19.79%,2.78%,13.61%,7.38%,18.05%,-,-,23.27%,-,-,-,
24,Return on Assets (ROA),-,-2.61%,4.54%,3.30%,7.02%,0.72%,5.77%,3.34%,5.34%,-,-,8.65%,-,-,-,
25,Return on Capital (ROIC),10.76%,-3.51%,6.04%,4.35%,9.36%,0.97%,7.74%,4.56%,7.20%,-,-,17.00%,-,-,-,
26,Return on Capital Employed (ROCE),-,-,-,7.78%,8.36%,8.46%,7.78%,7.79%,7.64%,7.99%,8.32%,-,21.53%,16.34%,-,-
27,Earnings Yield,1.19%,1.22%,1.51%,2.21%,1.88%,1.75%,2.12%,1.60%,1.32%,1.14%,1.03%,-,-,-,-,-
28,FCF Yield,-,-2.39%,-1.78%,-1.63%,-0.84%,-0.12%,0.11%,0.18%,-0.04%,-0.21%,-,-,-,-,-,
29,Dividend Yield,0.18%,-,-,0.34%,-,0.18%,-,-,-,0.11%,-,-,-,-,-,-
30,Payout Ratio,0.00%,-,-,0.01%,0.02%,0.01%,37.30%,19.51%,0.02%,-,0.31%,0.19%,0.10%,0.25%,1.32%,0.99%
31,Buyback Yield / Dilution,0.39%,-0.82%,1.53%,1.03%,-0.19%,-0.09%,-8.66%,-14.44%,-13.07%,-14.60%,-4.19%,0.92%,-,-,-,-
32,Total Shareholder Return,0.58%,-0.82%,1.53%,1.37%,-0.19%,0.09%,-8.66%,-14.44%,-13.07%,-14.48%,-4.19%,0.92%,-,-,-,-
