,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,3346,1762,2842,2350,3739,2253,2967,2213,3165,1722,2478,1659,2481,1603,1375
1,Other Revenue,-,-141.45,141.45,-,239.52,-91.55,91.55,-,214.11,-35.34,35.34,-,106.39,-21.41,7.04
2,Revenue,3346,1621,2983,2350,3978,2161,3058,2213,3380,1687,2513,1659,2587,1581,1382
3,Revenue Growth (YoY),-15.90%,-25.00%,-2.47%,6.22%,17.72%,28.14%,21.69%,33.42%,30.62%,6.66%,81.91%,-,-,-,-
4,Cost of Revenue,-3518,910.23,1422,1185,2106,1113,1602,1101,1669,915.6,1423,837.04,1394,795.61,681.98
5,Gross Profit,6864,710.57,1561,1165,1872,1048,1457,1112,1710,770.95,1091,821.57,1193,785.58,699.7
6,"Selling, General & Admin",-1797,664.75,653.39,478.89,700.53,559.85,622.84,450.42,615.24,450.06,366.19,329.07,371.16,407.41,276.74
7,Research & Development,-1318,493.74,404.18,419.68,355.55,486.96,470.16,412.46,436.03,362.91,279.75,225.31,232.91,279.19,207.14
8,Other Operating Expenses,9252,-210.12,-15.1,-93.39,60.58,-102.99,-150.7,-88.24,130.98,-134.32,-92.09,-123.03,109.39,-84.88,-87.68
9,Operating Expenses,6030,985.36,1088,830.76,1176,977.51,893.49,788.31,1215,674.39,592.79,458.68,700.26,611.78,411.47
10,Operating Income,834.03,-274.79,472.78,334.33,696.03,70.68,563.41,323.77,495.56,96.56,497.91,362.89,492.69,173.81,288.23
11,Interest Expense,-164.03,-5.01,-,-0.7,-1.79,-5.09,-,-1.31,-1.76,-3.49,-,-1.57,-,-0.42,-4.27
12,Interest & Investment Income,5.15,48.03,61.86,54.71,59.81,75.06,95.99,55.33,51.08,38.31,10.2,8.93,26.25,34.68,20.22
13,Currency Exchange Gain (Loss),-,0.79,-0.79,-,-14.69,-22.2,22.2,-,15.46,-8.43,8.43,-,4.85,-2.51,1.58
14,Other Non Operating Income (Expenses),11.09,-18.94,-8.98,2.19,-1.14,3.73,10.96,-15.96,-27.41,31.19,-6.72,-2.97,0.13,-4.31,4.02
15,EBT Excluding Unusual Items,686.23,-249.92,524.87,390.53,738.22,122.17,692.56,361.82,532.93,154.14,509.83,367.28,523.92,201.25,309.78
16,Gain (Loss) on Sale of Investments,-0.63,-6.78,-0.39,7.8,-0.52,1.51,-20.13,13.08,29.87,-1.43,2.05,-1.99,-7.31,-5.22,0.99
17,Gain (Loss) on Sale of Assets,-0.62,0.19,0.44,-,-0.4,0.07,-0.07,0.02,-0.14,-,-0.73,0.73,-0.34,0.09,-
18,Asset Writedown,-50.46,50.46,-2.08,2.08,4.59,-4.59,15.39,-15.39,17.18,-17.18,10.93,-10.93,18.5,-19.9,-0.25
19,Other Unusual Items,5.33,-121.89,117.23,-0.67,233.94,-,-,-,327.25,-,-,-,233.77,-5.05,41.11
20,Pretax Income,639.85,-327.94,640.06,399.74,975.82,119.15,687.74,359.54,907.09,135.53,522.08,355.1,768.54,171.16,351.63
21,Income Tax Expense,36.37,-41.76,57.43,37.8,63.63,-6.71,73.57,34.01,136.42,14.33,65.54,53.42,122.33,53.43,56.44
22,Earnings From Continuing Operations,603.48,-286.18,582.62,361.94,912.19,125.87,614.17,325.53,770.67,121.2,456.53,301.68,646.21,117.73,295.19
23,Minority Interest in Earnings,-12.77,7.13,4.29,1.36,-2.19,0.64,-6.05,4.13,-13.39,3.77,11.16,4.46,0.23,5.58,5.28
24,Net Income,590.71,-279.05,586.91,363.3,910.01,126.51,608.12,329.66,757.28,124.97,467.69,306.14,646.44,123.31,300.47
25,Net Income to Common,590.71,-279.05,586.91,363.3,910.01,126.51,608.12,329.66,757.28,124.97,467.69,306.14,646.44,123.31,300.47
26,Net Income Growth,-35.09%,-,-3.49%,10.20%,20.17%,1.23%,30.03%,7.68%,17.15%,1.35%,55.65%,-,-,-,-
27,Shares Outstanding (Basic),822,817,813,826,815,830,821,824,815,764,718,729,711,733,724
28,Shares Outstanding (Diluted),822,817,813,826,815,830,821,824,815,764,718,729,711,733,724
29,Shares Change (YoY),0.82%,-1.53%,-1.03%,0.19%,0.09%,8.66%,14.44%,13.07%,14.60%,4.19%,-0.92%,-,-,-,-
30,EPS (Basic),0.72,-0.34,0.72,0.44,1.12,0.15,0.74,0.40,0.93,0.16,0.65,0.42,0.91,0.17,0.41
31,EPS (Diluted),0.72,-0.34,0.72,0.44,1.12,0.15,0.74,0.40,0.93,0.16,0.65,0.42,0.91,0.17,0.41
32,EPS Growth,-35.62%,-,-2.48%,10.00%,20.06%,-6.83%,13.62%,-4.76%,2.22%,-2.73%,58.98%,-,-,-,-
33,Free Cash Flow,-,-1409,-309.33,-1293,509.91,-507.39,-450.35,-495.48,1346,-276.64,-348.59,-779.44,1092,-73.07,-73.09
34,Free Cash Flow Per Share,-,-1.72,-0.38,-1.57,0.63,-0.61,-0.55,-0.60,1.65,-0.36,-0.49,-1.07,1.54,-0.10,-0.10
35,Dividend Per Share,-,-,0.120,-,0.250,-,-,-,0.201,-,-,-,-,-,-
36,Dividend Growth,-,-,-,-,24.38%,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,205.15%,43.84%,52.32%,49.57%,47.05%,48.50%,47.63%,50.26%,50.61%,45.71%,43.40%,49.53%,46.11%,49.68%,50.64%
38,Operating Margin,24.93%,-16.95%,15.85%,14.22%,17.50%,3.27%,18.42%,14.63%,14.66%,5.73%,19.81%,21.88%,19.04%,10.99%,20.86%
39,Profit Margin,17.66%,-17.22%,19.68%,15.46%,22.87%,5.85%,19.88%,14.90%,22.41%,7.41%,18.61%,18.46%,24.98%,7.80%,21.75%
40,Free Cash Flow Margin,-,-86.93%,-10.37%,-54.99%,12.82%,-23.48%,-14.72%,-22.39%,39.83%,-16.40%,-13.87%,-46.99%,42.19%,-4.62%,-5.29%
41,EBITDA,911.38,-197.43,565.82,411.69,773.39,136.5,640.94,389.6,561.38,155.7,560.69,424.66,551.82,221.06,345.52
42,EBITDA Margin,27.24%,-12.18%,18.97%,17.52%,19.44%,6.32%,20.96%,17.61%,16.61%,9.23%,22.31%,25.60%,21.33%,13.98%,25.01%
43,D&A For EBITDA,77.36,77.36,93.04,77.36,77.36,65.83,77.53,65.83,65.83,59.13,62.78,61.77,59.13,47.25,57.29
44,EBIT,834.03,-274.79,472.78,334.33,696.03,70.68,563.41,323.77,495.56,96.56,497.91,362.89,492.69,173.81,288.23
45,EBIT Margin,24.93%,-16.95%,15.85%,14.22%,17.50%,3.27%,18.42%,14.63%,14.66%,5.73%,19.81%,21.88%,19.04%,10.99%,20.86%
46,Effective Tax Rate,5.68%,-,8.97%,9.46%,6.52%,-,10.70%,9.46%,15.04%,10.57%,12.55%,15.04%,15.92%,31.22%,16.05%
47,Revenue as Reported,-,1621,2983,2350,3978,2161,3058,2213,3380,1687,2513,1659,2587,4666,-
