,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,6271,7593,6070,7584,8103,8736,8258,10075,11219,-,968.37,2924,-,-
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,333.2,330.07,-,-
2,Trading Asset Securities,-,2824,3249,5125,4919,3922,4270,5338,4022,1272,-,1150,-,-,-
3,Cash & Short-Term Investments,9095,9095,10843,11195,12504,12025,13006,13596,14097,12491,-,2452,3254,-,3204
4,Cash Growth,-27.26%,-24.37%,-16.64%,-17.66%,-11.31%,-3.73%,-,454.57%,333.27%,-,-,-,-,-,-
5,Accounts Receivable,-,4440,4897,3978,3492,2711,2731,2181,2199,1960,-,1613,1232,-,-
6,Other Receivables,-,114.87,121.69,98.71,79.91,93.46,92.97,66.97,82.69,98.37,-,4.35,115.63,-,-
7,Receivables,-,4555,5019,4077,3572,2805,2824,2248,2281,2058,-,1617,1348,-,-
8,Inventory,-,5482,4513,4229,3893,4421,4074,3847,3460,3283,-,2629,2205,-,-
9,Other Current Assets,-,457.04,368.91,269.84,258.61,523.28,321.16,477.17,305.72,603.04,-,395.89,219.05,-,-
10,Total Current Assets,-,19589,20743,19771,20228,19774,20226,20168,20145,18436,-,7094,7026,-,-
11,"Property, Plant & Equipment",-,4263,3904,3580,3165,2749,2625,2435,2422,2227,-,2148,2150,-,-
12,Long-Term Investments,-,223.86,108.52,97.72,102.07,49.15,43.68,53.64,56.77,47.75,-,55.8,60.49,-,-
13,Goodwill,-,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,-,22.1,22.1,-,-
14,Other Intangible Assets,-,998.97,885.11,855.03,828.05,821.13,814.75,842.62,860.24,776.18,-,741.76,607.79,-,-
