,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,195.59,195.59,-,-
1,Cash & Short-Term Investments,195.59,195.59,-,211.02
2,Accounts Receivable,260.63,260.63,-,-
3,Other Receivables,74.0,74.0,-,-
4,Receivables,334.62,334.62,-,-
5,Inventory,0.42,0.42,-,-
6,Other Current Assets,7.59,7.59,-,-
7,Total Current Assets,538.22,538.22,-,-
8,"Property, Plant & Equipment",97.9,97.9,-,-
9,Goodwill,1.77,1.77,-,-
10,Other Intangible Assets,7.09,7.09,-,-
11,Long-Term Deferred Tax Assets,12.62,12.62,-,-
12,Total Assets,657.59,657.59,-,-
13,Accounts Payable,126.15,126.15,-,-
14,Accrued Expenses,5.08,5.08,-,-
15,Current Portion of Leases,1.36,1.36,-,-
16,Current Income Taxes Payable,3.22,3.22,-,-
17,Current Unearned Revenue,41.16,41.16,-,-
18,Other Current Liabilities,310.29,310.29,-,-
19,Total Current Liabilities,487.25,487.25,-,-
20,Long-Term Leases,0.26,0.26,-,-
21,Long-Term Unearned Revenue,1.05,1.05,-,-
22,Other Long-Term Liabilities,16.06,16.06,-,-
23,Total Liabilities,504.63,504.63,-,-
24,Common Stock,50.0,50.0,-,-
25,Comprehensive Income & Other,96.66,96.66,-,-
26,Total Common Equity,146.66,146.66,-,67.18
27,Minority Interest,6.31,6.31,-,-
28,Shareholders' Equity,152.97,152.97,-,69.42
29,Total Liabilities & Equity,657.59,657.59,-,-
30,Total Debt,1.62,1.62,-,87.69
31,Net Cash (Debt),193.98,193.98,-,123.33
32,Net Cash Per Share,3.88,3.88,-,2.47
33,Filing Date Shares Outstanding,66.67,66.67,50,50
34,Total Common Shares Outstanding,66.67,66.67,50,50
35,Working Capital,50.97,50.97,-,-
36,Book Value Per Share,2.2,2.2,-,1.42
37,Tangible Book Value,137.8,137.8,-,59.6
38,Tangible Book Value Per Share,2.07,2.07,-,1.26
