,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,338.28,369.94,212.99,325.49,273.33,477.89,481.07,458.91,235.45,233.24
1,Revenue Growth (YoY),58.83%,13.66%,-22.08%,-31.89%,-43.18%,4.14%,104.31%,96.75%,296.48%,117.33%
2,Cost of Revenue,333.76,368.26,204.34,303.6,271.47,493.4,456.36,434.27,218.11,205.95
3,Gross Profit,4.52,1.68,8.65,21.89,1.86,-15.51,24.71,24.63,17.34,27.29
4,"Selling, General & Admin",16.2,16.63,13.17,17.31,13.27,14.62,12.8,10.53,10.16,9.51
5,Other Operating Expenses,-1.09,-1.39,-1.1,-0.88,-1,-0.15,-0.17,-1.07,-,-
6,Operating Expenses,14.23,20.87,12.21,16.83,12.77,13.23,15.33,12.26,13.34,13.01
7,Operating Income,-9.71,-19.19,-3.57,5.06,-10.91,-28.74,9.38,12.37,4.01,14.28
8,Interest Expense,-1.81,-3.21,-2.97,-3.12,-2.04,-1.81,-0.72,-0.73,-0.55,-0.19
9,Interest & Investment Income,0.31,0.53,0.4,0.01,0.24,-,0.7,0.06,0.64,0.18
10,Earnings From Equity Investments,-,-0.03,-,-0.03,-,-,-,-,-,-
11,Other Non Operating Income (Expenses),-,-0.88,-,-,-,-,-,-0.48,0.48,0
12,EBT Excluding Unusual Items,-11.2,-22.78,-6.14,1.92,-12.71,-30.55,9.36,11.22,4.57,14.27
13,Gain (Loss) on Sale of Assets,-0.07,-0.04,-,-0.12,-,-,-,-,-,-0.1
14,Other Unusual Items,-,-4.47,-,1.06,0.25,-,-,0.43,-,0.03
15,Pretax Income,-11.27,-27.29,-6.14,2.86,-12.46,-30.55,9.36,11.65,4.57,14.21
16,Income Tax Expense,-0.02,0.06,0.63,1.93,0.12,-2.53,2.12,1.99,1.34,2.56
17,Net Income,-11.25,-27.35,-6.77,0.94,-12.58,-28.02,7.24,9.66,3.23,11.65
18,Net Income to Common,-11.25,-27.35,-6.77,0.94,-12.58,-28.02,7.24,9.66,3.23,11.65
19,Net Income Growth,-,-,-,-,-,-,124.43%,-17.09%,24.56%,138.38%
20,Shares Outstanding (Basic),1100,1101,1083,1000,1000,1000,1000,1000,1000,1000
21,Shares Outstanding (Diluted),1100,1101,1083,1000,1000,1000,1000,1000,1000,1000
22,Shares Change (YoY),1.59%,10.12%,8.28%,-,-,-,-,-,-,-
23,EPS (Basic),-0.01,-0.02,-0.01,0.00,-0.01,-0.03,0.01,0.01,0.00,0.01
24,EPS (Diluted),-0.01,-0.02,-0.01,0.00,-0.01,-0.03,0.01,0.01,0.00,0.01
25,EPS Growth,-,-,-,-,-,-,124.43%,-17.09%,24.56%,138.38%
26,Free Cash Flow,-18.6,46.62,-12.82,55.62,-21.91,-73.82,-37.06,2.2,3.77,-22.87
27,Free Cash Flow Per Share,-0.02,0.04,-0.01,0.06,-0.02,-0.07,-0.04,0.00,0.00,-0.02
28,Operating Margin,-2.87%,-5.19%,-1.68%,1.55%,-3.99%,-6.01%,1.95%,2.70%,1.70%,6.12%
29,Profit Margin,-3.33%,-7.39%,-3.18%,0.29%,-4.60%,-5.86%,1.50%,2.11%,1.37%,5.00%
30,Free Cash Flow Margin,-5.50%,12.60%,-6.02%,17.09%,-8.02%,-15.45%,-7.70%,0.48%,1.60%,-9.80%
31,EBITDA,0.98,-9.2,5.13,12.57,-3.36,-22.83,14.11,16.6,7.45,15.83
32,D&A For EBITDA,10.68,9.99,8.7,7.51,7.54,5.91,4.74,4.23,3.45,1.56
33,EBIT,-9.71,-19.19,-3.57,5.06,-10.91,-28.74,9.38,12.37,4.01,14.28
