,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,58.88,58.24,79.05,58.71,59.28,43.29,53.61,52.92,54.78,80.58,Upgrade
1,Cash & Short-Term Investments,58.88,58.24,79.05,58.71,59.28,43.29,53.61,52.92,54.78,80.58,Upgrade
2,Cash Growth,-25.51%,-0.80%,33.35%,35.60%,10.57%,-18.19%,-2.14%,-34.33%,-49.77%,-23.70%,Upgrade
3,Accounts Receivable,660.64,704.74,608.93,650.8,466.16,459.63,430.28,459.66,430.19,480.32,Upgrade
4,Other Receivables,28.18,45.62,1.24,31.41,21.35,17.97,20.33,27.18,19.13,17.68,Upgrade
5,Receivables,688.82,750.35,610.17,682.2,487.5,477.6,450.61,486.84,449.32,498,Upgrade
6,Inventory,446.75,458.37,473.43,534.36,409.54,447.8,335.63,342.48,269.11,311.27,Upgrade
7,Other Current Assets,155.68,111.8,104.58,84.64,49,92.9,43.49,43.08,45.71,45.2,Upgrade
8,Total Current Assets,1350,1379,1267,1360,1005,1062,883.33,925.31,818.92,935.05,Upgrade
9,"Property, Plant & Equipment",1208,1123,953.11,885.39,727.56,694.87,631.38,621.54,495.41,505.56,Upgrade
10,Long-Term Investments,50.83,50.58,47.2,46.2,39.29,39.09,36.15,35.99,37.83,37.76,Upgrade
11,Goodwill,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,5.39,Upgrade
12,Other Intangible Assets,9.89,11.86,11.8,13.58,12.53,14.14,11.87,13.23,11.11,11.4,Upgrade
13,Long-Term Deferred Tax Assets,6.12,6.12,4.13,4.13,2.13,2.13,1.69,1.69,2.36,2.36,Upgrade
14,Other Long-Term Assets,8.43,8.43,7.4,7.4,-,-,-,-,-,-,Upgrade
15,Total Assets,2639,2584,2296,2322,1792,1817,1570,1603,1371,1498,Upgrade
16,Accounts Payable,578.87,675.09,417.67,585.62,317.92,407.91,334.76,378.67,260.92,311.14,Upgrade
17,Accrued Expenses,79.22,94.6,70.73,91.33,54.56,88.9,80.4,94.26,69.23,84.16,Upgrade
18,Current Portion of Long-Term Debt,709.44,484.99,598.1,500.23,424.51,368.17,306.96,290.56,245.31,282.21,Upgrade
19,Current Portion of Leases,-,-,-,-,-,-,4.43,4.55,2.03,2.03,Upgrade
20,Current Income Taxes Payable,12.21,15.77,8.74,8.61,11.59,5.45,4.14,9.54,8.84,17.91,Upgrade
