,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,107.29,52.42,98.88,48.11,97.62,140.35,96.83
1,Revenue Growth (YoY),8.51%,8.96%,1.29%,-65.72%,0.81%,-,-
2,Cost of Revenue,37.67,29.42,33.58,30.8,33.2,38.09,32.42
3,Gross Profit,69.62,23,65.3,17.31,64.42,102.26,64.41
4,"Selling, General & Admin",31.12,34.53,40.68,47.26,30.53,28.73,17.22
5,Other Operating Expenses,0.64,0.56,0.22,1.35,1.14,3.14,2.73
6,Operating Expenses,29.08,31.53,30.48,74.25,31.88,37.05,20.93
7,Operating Income,40.54,-8.53,34.82,-56.95,32.54,65.21,43.48
8,Interest Expense,-0.94,-0.86,-0.27,-0.31,-0.41,-0.33,-6.58
9,Interest & Investment Income,2.52,3.2,2.87,2.32,1.69,1.58,1.39
10,Currency Exchange Gain (Loss),-,0.1,1.34,11.48,0.27,-,-
11,Other Non Operating Income (Expenses),0.92,-0.03,3.54,1.26,-13.32,-12.74,3.8
12,EBT Excluding Unusual Items,43.04,-6.12,42.3,-42.2,20.78,53.73,42.09
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-0.34,0.4
14,Pretax Income,43.04,-6.12,42.3,-42.2,20.78,53.39,42.49
15,Income Tax Expense,6.07,-1.04,7.19,-6.78,2.98,9.69,7.18
16,Net Income,36.97,-5.08,35.12,-35.42,17.8,43.7,35.31
17,Net Income to Common,36.97,-5.08,35.12,-35.42,17.8,43.7,35.31
18,Net Income Growth,5.27%,-,97.29%,-,-49.60%,-,-
19,Shares Outstanding (Basic),210,202,221,212,201,201,53
20,Shares Outstanding (Diluted),210,202,222,212,201,201,53
21,Shares Change (YoY),-5.75%,-4.49%,10.88%,5.36%,276.13%,-,-
22,EPS (Basic),0.18,-0.03,0.16,-0.17,0.09,0.22,0.66
23,EPS (Diluted),0.18,-0.03,0.16,-0.17,0.09,0.22,0.66
24,EPS Growth,11.01%,-,79.03%,-,-86.60%,-,-
25,Free Cash Flow,14.35,73.18,54.65,16.22,-28.14,34.97,-8.5
26,Free Cash Flow Per Share,0.07,0.36,0.25,0.08,-0.14,0.17,-0.16
27,Operating Margin,37.79%,-16.28%,35.21%,-118.36%,33.34%,46.46%,44.91%
28,Profit Margin,34.46%,-9.69%,35.52%,-73.62%,18.23%,31.14%,36.47%
29,Free Cash Flow Margin,13.38%,139.60%,55.27%,33.72%,-28.83%,24.92%,-8.78%
30,EBITDA,44.35,-4.35,38.89,-52.9,36.83,69.39,47.66
31,D&A For EBITDA,3.81,4.18,4.07,4.04,4.29,4.18,4.18
32,EBIT,40.54,-8.53,34.82,-56.95,32.54,65.21,43.48
