,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,1634,2332,2449,2450,3110,4254,-,-
1,Market Cap Growth,-4.79%,-4.79%,-21.25%,-42.41%,-,-,-,-
2,Enterprise Value,1131,1806,1995,2000,2686,3700,-,-
3,Last Close Price,7.22,9.90,10.30,10.24,13.00,17.78,-,-
4,PE Ratio,43.42,68.07,-,-7532.06,-,59.04,-,-
5,Forward PE,-,9.77,9.77,9.18,14.29,-,-,-
6,PS Ratio,8.67,13.59,14.69,15.42,18.88,15.26,-,-
7,PB Ratio,2.39,3.28,3.45,3.45,4.45,5.60,-,-
8,P/TBV Ratio,3.28,3.28,3.45,3.46,4.46,5.61,-,-
9,P/FCF Ratio,17.37,24.80,17.39,31.99,-230.85,-,-,-
10,P/OCF Ratio,19.50,19.50,13.58,25.84,-398.06,-,-,-
11,EV/Sales Ratio,6.59,10.53,11.97,12.59,16.30,13.27,-,-
12,EV/EBITDA Ratio,22.60,42.02,-,-132.07,-,29.74,-,-
13,EV/EBIT Ratio,32.89,52.52,-,-83.65,-,32.31,-,-
14,EV/FCF Ratio,12.03,19.20,14.17,26.12,-199.38,-,-,-
15,Debt / Equity Ratio,0.06,0.06,0.08,0.02,0.02,0.03,0.02,-
16,Debt / FCF Ratio,0.47,0.47,0.38,0.15,-0.92,-,0.44,-
17,Return on Capital Employed (ROCE),4.57%,4.57%,-,-3.33%,-,14.85%,15.47%,-
18,Earnings Yield,2.10%,1.47%,1.35%,-0.01%,-0.64%,1.69%,-,-
19,FCF Yield,5.76%,4.03%,5.75%,3.13%,-0.43%,0.19%,-,-
20,Buyback Yield / Dilution,4.83%,5.75%,4.49%,-10.88%,-5.36%,-276.13%,-,-
21,Total Shareholder Return,4.83%,5.75%,4.49%,-10.88%,-5.36%,-276.13%,-,-
