,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,508.93,518.29,430.66,399.83,375.57,239.1,-
1,Short-Term Investments,-,7.98,-,8.7,2.81,223.53,-
2,Cash & Short-Term Investments,508.93,526.27,430.66,408.53,378.38,462.63,-
3,Cash Growth,18.17%,28.82%,13.82%,-11.69%,-,-,-
4,Accounts Receivable,150.39,115.88,173.89,184.82,256.59,203.63,-
5,Other Receivables,-,-,-,5.53,-,0.04,-
6,Receivables,150.39,115.88,173.89,190.36,256.59,203.67,-
7,Inventory,1.21,4.41,3.25,3.51,4.17,3.28,-
8,Other Current Assets,50.41,21.22,34.01,16.69,20.3,15.78,-
9,Total Current Assets,710.94,667.78,641.81,619.08,659.43,685.36,-
10,"Property, Plant & Equipment",87.55,94.05,45.99,46.91,52.78,51.13,-
11,Long-Term Investments,29.6,29.6,30.03,30.03,30.2,30.2,-
12,Other Intangible Assets,0.85,0.92,0.83,0.83,0.87,0.81,-
13,Long-Term Deferred Tax Assets,3.13,4.2,4.07,5.97,3.83,2.81,-
14,Other Long-Term Assets,-,-,12.45,2.88,0.26,1.88,-
15,Total Assets,832.07,796.54,735.18,705.7,747.37,772.18,-
16,Accounts Payable,48.25,39.54,44.15,34.76,31.53,29.2,-
17,Accrued Expenses,-,6.19,-,7.95,-,15.68,-
18,Current Portion of Long-Term Debt,1.95,1.91,-,-,-,-,-
19,Current Portion of Leases,2.1,10.62,4.9,6.48,9.04,6.22,-
20,Current Income Taxes Payable,3.24,0.6,2.26,0.12,2.59,6.53,-
21,Current Unearned Revenue,0.6,52.87,0.6,10.46,0.6,10.7,-
22,Other Current Liabilities,74.86,2.61,19.14,21.48,45.46,1.47,-
23,Total Current Liabilities,131.01,114.33,71.04,81.25,89.21,69.79,-
24,Long-Term Debt,19.74,20.72,-,-,-,-,-
25,Long-Term Leases,17.63,15.31,5.74,4.51,7.42,5.35,-
26,Long-Term Unearned Revenue,1.05,1.35,1.65,1.95,2.25,2.55,-
27,Total Liabilities,169.43,151.72,78.43,87.7,98.88,77.69,-
28,Common Stock,0.15,0.15,0.16,0.16,0.16,0.13,-
29,Additional Paid-In Capital,370.13,385.57,394.49,394.49,394.51,228.69,-
30,Retained Earnings,168.63,131.66,136.74,101.63,137.04,119.24,-
31,Treasury Stock,-6.5,-1.57,-,-,-,-,-
32,Comprehensive Income & Other,130.22,129.01,125.36,121.72,116.78,346.44,-
33,Shareholders' Equity,662.64,644.83,656.75,618,648.49,694.5,-
34,Total Liabilities & Equity,832.07,796.54,735.18,705.7,747.37,772.18,-
35,Total Debt,41.42,48.56,10.64,10.99,16.46,11.57,-
36,Net Cash (Debt),467.51,477.71,420.02,397.55,361.92,451.06,-
37,Net Cash Growth,11.31%,20.16%,16.06%,-11.86%,-,-,-
38,Net Cash Per Share,2.23,2.36,1.89,1.88,1.80,2.24,-
39,Filing Date Shares Outstanding,235.61,237.77,239.23,239.23,239.23,200,53.33
40,Total Common Shares Outstanding,235.61,237.77,239.23,239.23,239.23,200,53.33
41,Working Capital,579.93,553.45,570.77,537.83,570.22,615.57,-
42,Book Value Per Share,2.81,2.71,2.75,2.58,2.71,3.47,-
43,Tangible Book Value,661.79,643.91,655.92,617.16,647.61,693.69,-
44,Tangible Book Value Per Share,2.81,2.71,2.74,2.58,2.71,3.47,-
45,Machinery,-,72.71,-,69.91,-,68.6,-
46,Construction In Progress,-,34.74,-,-,-,-,-
47,Leasehold Improvements,-,12.51,-,11.33,-,8.63,-
