,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,4512,2866,2796,2616,2357,2999,3212,2830,2824,2594,-,-,-
1,Market Cap Growth,-4.43%,-4.43%,-12.95%,-7.57%,-16.54%,15.59%,-,-,-,-,-,-,-
2,Enterprise Value,3816,2170,2153,1955,1658,2300,2542,2064,2830,2600,-,-,-
3,Last Close Price,31.80,20.20,19.71,18.44,16.36,20.82,22.30,19.65,19.18,17.62,-,-,-
4,PE Ratio,30.01,19.06,22.32,23.67,22.17,27.91,28.81,23.24,23.07,21.93,-,-,-
5,PS Ratio,3.05,1.94,2.03,2.02,1.85,2.37,2.58,2.27,2.24,2.10,-,-,-
6,PB Ratio,3.31,2.10,2.05,1.98,1.78,2.31,2.52,2.26,2.21,2.07,-,-,-
7,P/TBV Ratio,2.18,2.18,2.12,2.05,1.85,2.40,2.61,2.35,2.29,2.15,-,-,-
8,P/FCF Ratio,-,-,80.35,-222.86,-,-,-137.49,-,-,27.61,-,-,-
9,P/OCF Ratio,-,-,29.21,53.37,-,44.89,33.38,20.49,18.93,14.82,-,-,-
10,EV/Sales Ratio,2.58,1.47,1.57,1.51,1.30,1.81,2.04,1.66,2.24,2.11,-,-,-
11,EV/EBITDA Ratio,19.86,11.22,16.31,17.75,16.18,21.28,21.60,16.28,20.00,18.45,-,-,-
12,EV/EBIT Ratio,23.63,13.44,21.52,24.67,22.76,28.93,28.21,20.60,24.32,22.28,-,-,-
13,EV/FCF Ratio,-,-,61.87,-166.58,-,-,-108.79,-,-,27.67,-,-,-
14,Debt / Equity Ratio,0.01,0.01,0.01,0.05,0.05,0.07,0.07,0.03,0.03,0.01,-,-,0.26
15,Debt / EBITDA Ratio,0.07,0.04,0.06,0.39,0.56,1.58,0.61,0.29,0.28,0.14,-,-,0.82
16,Debt / FCF Ratio,-,-,0.37,-5.10,-,-,-3.69,-,-,0.13,-,-,5.78
17,Asset Turnover,-,0.90,0.83,0.69,0.72,0.75,0.79,0.70,-,-,-,-,
18,Inventory Turnover,-,-,5.82,5.53,4.74,5.31,4.92,5.52,4.81,-,-,-,-
19,Quick Ratio,-,-,2.83,2.83,2.88,2.68,2.52,2.70,2.81,2.86,-,-,-
20,Current Ratio,-,-,3.38,3.41,3.50,3.19,3.02,3.24,3.39,3.40,-,-,-
21,Return on Equity (ROE),13.38%,11.90%,11.99%,7.72%,6.36%,7.96%,11.20%,8.34%,-,-,-,-,
22,Return on Assets (ROA),-,7.01%,4.02%,2.81%,0.46%,4.18%,3.17%,3.87%,-,-,-,-,
23,Return on Capital (ROIC),11.76%,8.98%,5.04%,3.53%,0.59%,5.41%,4.12%,5.07%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,7.18%,5.87%,5.39%,5.99%,6.91%,7.82%,8.93%,9.13%,-,-,-
25,Earnings Yield,3.33%,5.25%,4.48%,4.23%,4.51%,3.58%,3.47%,4.30%,4.33%,4.56%,-,-,-
26,FCF Yield,-,1.24%,-0.45%,-3.21%,-1.65%,-0.73%,0.29%,2.26%,3.62%,-,-,-,
27,Dividend Yield,0.87%,-,-,-,-,1.37%,-,-,-,2.43%,-,-,-
28,Payout Ratio,0.00%,-,3.33%,99.28%,0.48%,1.30%,17.33%,160.37%,0.50%,0.80%,1.18%,1.50%,2.82%
29,Buyback Yield / Dilution,-0.00%,0.04%,0.94%,-0.97%,-0.00%,-9.11%,-35.28%,-31.39%,-33.36%,-,-,-,-
30,Total Shareholder Return,0.87%,0.04%,0.94%,-0.97%,-0.00%,-7.74%,-35.28%,-31.39%,-33.36%,2.43%,-,-,-
