,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,496.53,494.11,481.03,543.21,547.3,471.3,464.27,331.25,-,-,-
1,Trading Asset Securities,-,212.1,208.96,240.28,244.09,238.03,235.23,338.33,379.11,-,-,-
2,Cash & Short-Term Investments,708.63,708.63,703.07,721.31,787.3,785.33,706.53,802.59,710.37,-,-,100.23
3,Cash Growth,-9.99%,-9.77%,-0.49%,-10.13%,10.83%,-,-,700.76%,-,-,-,-
4,Accounts Receivable,-,427.11,385.81,343.4,325.48,335.98,341.85,319.74,304.23,-,-,-
5,Other Receivables,-,2.78,2.2,8.34,4.04,4.87,27.48,3.75,107.44,-,-,-
6,Receivables,-,429.89,388.01,351.74,329.52,340.86,369.32,323.48,411.67,-,-,-
7,Inventory,-,207.54,207.24,210.81,196.07,204.16,203.2,197.99,197.68,-,-,-
8,Other Current Assets,-,16.95,20.25,21.54,14.3,20.31,15.16,31.63,12.47,-,-,-
9,Total Current Assets,-,1363,1319,1305,1327,1351,1294,1356,1332,-,-,-
10,"Property, Plant & Equipment",-,386.04,370.3,370.18,368.21,354.35,338.52,300.39,289.86,-,-,-
11,Goodwill,-,0.76,0.7,0.7,0.7,-,-,-,-,-,-,-
12,Other Intangible Assets,-,44.12,44.52,44.82,44.82,45.26,45.56,45.9,46.3,-,-,-
13,Long-Term Deferred Tax Assets,-,0.55,0.44,0.32,0.27,0.22,0.2,0.11,0.02,-,-,-
14,Long-Term Deferred Charges,-,1.75,1.88,2.01,1.55,1.52,1.67,1.83,1.98,-,-,-
15,Total Assets,-,1796,1736,1723,1743,1752,1680,1704,1670,-,-,-
16,Accounts Payable,-,362.88,300.02,292.53,307.4,340.61,340.66,352.64,363.48,-,-,-
17,Accrued Expenses,-,24.21,23.18,17.54,23.55,20.24,18.46,16.77,24.36,-,-,-
18,Short-Term Debt,-,-,50.01,50.01,75.03,75.03,25.02,25.03,-,-,-,-
19,Current Portion of Leases,-,2.81,3.13,3.06,2.99,2.28,1.68,1.76,1.84,-,-,-
20,Current Income Taxes Payable,-,10.02,5.77,6.48,2.46,6.01,5.65,1.87,0.02,-,-,-
21,Current Unearned Revenue,-,2.02,2.23,2.3,4.24,2.24,2.87,1.83,1.66,-,-,-
22,Other Current Liabilities,-,0.81,1.79,0.66,0.66,0.52,4.56,0.47,0.39,-,-,-
23,Total Current Liabilities,-,402.75,386.12,372.57,416.33,446.93,398.91,400.37,391.75,-,-,-
24,Long-Term Leases,-,10.02,6.73,7.54,8.34,8.96,9.19,9.78,10.36,-,-,-
25,Long-Term Unearned Revenue,-,21.17,21.49,18.78,17.59,17.85,18.1,13.31,13.5,-,-,-
26,Long-Term Deferred Tax Liabilities,-,0.44,1.04,2.17,2.98,1.55,2.42,3.53,4.16,-,-,-
27,Total Liabilities,-,434.37,415.38,401.07,445.25,475.28,428.61,426.98,419.77,-,-,-
28,Common Stock,-,141.88,141.88,101.34,101.34,101.34,101.34,101.34,101.34,-,-,-
29,Additional Paid-In Capital,-,758.15,757.93,798.5,798.5,798.5,798.5,798.5,798.5,-,-,-
30,Retained Earnings,-,461.63,421.73,422.64,397.37,376.89,351.71,377.11,350.75,-,-,-
31,Comprehensive Income & Other,-,0.2,-0.5,-0.13,0.29,-,-,-,-,-,-,-
32,Shareholders' Equity,1362,1362,1321,1322,1298,1277,1252,1277,1251,-,-,409.96
33,Total Liabilities & Equity,-,1796,1736,1723,1743,1752,1680,1704,1670,-,-,-
34,Total Debt,12.83,12.83,59.87,60.6,86.36,86.26,35.89,36.56,12.19,-,-,105.45
35,Net Cash (Debt),695.8,695.8,643.2,660.7,700.94,699.07,670.64,766.03,698.17,-,-,-5.22
36,Net Cash Growth,-0.73%,-0.47%,-4.09%,-13.75%,0.40%,-,-,-,-,-,-,-
37,Net Cash Per Share,4.90,4.85,4.59,4.66,4.94,4.83,4.83,5.40,5.37,-,-,-0.05
38,Filing Date Shares Outstanding,141.88,141.88,141.88,141.88,141.88,141.88,141.88,141.88,141.88,107.09,105.71,106.39
39,Total Common Shares Outstanding,141.88,141.88,141.88,141.88,141.88,141.88,141.88,141.88,141.88,107.09,105.71,106.39
40,Working Capital,-,960.26,932.44,932.82,910.86,903.73,895.31,955.33,940.43,-,-,-
41,Book Value Per Share,9.60,9.60,9.31,9.32,9.15,9.00,8.82,9.00,8.81,-,-,3.85
42,Tangible Book Value,1317,1317,1276,1277,1252,1231,1206,1231,1204,-,-,363.6
43,Tangible Book Value Per Share,9.28,9.28,8.99,9.00,8.82,8.68,8.50,8.68,8.49,-,-,3.42
44,Buildings,-,-,261.74,-,223.59,-,211.55,-,195.07,-,-,-
45,Machinery,-,-,252.32,-,221.93,-,217.96,-,211.5,-,-,-
46,Construction In Progress,-,-,26.73,-,74.73,-,49.52,-,8.32,-,-,-
