,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,79,68,17,24,64,156,545,762,1189,815,824,Upgrade
1,Market Cap Growth,169.43%,179.64%,-72.86%,-84.47%,-88.19%,-79.52%,-54.21%,-6.47%,44.37%,-20.34%,-21.39%,Upgrade
2,Enterprise Value,225,132,13,15,99,201,705,916,1348,959,965,Upgrade
3,Last Close Price,0.13,0.11,0.10,0.13,0.35,0.85,3.00,4.20,6.75,4.75,4.80,Upgrade
4,PE Ratio,-,-,-,-,-,-2.64,-,-,-,-,-,Upgrade
5,PS Ratio,0.73,3.59,-,1.29,-,3.53,13.29,22.20,15.28,6.09,4.96,Upgrade
6,PB Ratio,-3.63,-3.63,-0.08,-0.13,-0.36,-1.00,-3.14,-6.31,-8.46,-9.75,-11.22,Upgrade
7,P/FCF Ratio,-,-,-,-,-,21.78,-14.76,-,-,-,1502.97,Upgrade
8,P/OCF Ratio,-,-,-,-,-,21.71,-14.81,-,-,-,34.43,Upgrade
9,EV/Sales Ratio,5.45,7.00,-,0.82,-,4.54,17.21,26.66,17.32,7.17,5.82,Upgrade
10,EV/FCF Ratio,-18.69,-,-,-,-,28.03,-19.12,-,-,-,1760.97,Upgrade
11,Debt / Equity Ratio,-0.32,-0.32,-0.36,-0.05,-0.29,-0.31,-0.31,-1.36,-1.16,-1.92,-2.05,Upgrade
12,Debt / FCF Ratio,-,-,-,-,-,6.81,-1.48,-,-,-,275.07,Upgrade
13,Earnings Yield,-29.40%,-8.13%,-,-11.86%,-,-37.84%,-16.16%,-13.87%,-8.94%,-19.38%,-19.56%,Upgrade
14,FCF Yield,-15.21%,-1.15%,-,-5.43%,-,4.59%,-6.77%,-5.93%,-1.37%,-0.02%,0.07%,Upgrade
15,Buyback Yield / Dilution,-31.48%,-62.58%,-,-0.89%,-,-2.12%,-5.29%,-3.90%,-4.38%,-4.40%,-13.95%,Upgrade
16,Total Shareholder Return,-31.48%,-62.58%,-,-0.89%,-,-2.12%,-5.29%,-3.90%,-4.38%,-4.40%,-13.95%,Upgrade
