,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,154.22,154.22,124.5,124.5
1,Cost of Revenue,68.04,68.04,72.17,72.17
2,Gross Profit,86.17,86.17,52.33,52.33
3,"Selling, General & Admin",68.09,68.09,36.44,36.44
4,Research & Development,4.88,4.88,3.4,3.4
5,Operating Expenses,75.43,75.43,40.53,40.53
6,Operating Income,10.74,10.74,11.8,11.8
7,Interest Expense,-0.58,-0.58,-0.55,-0.55
8,Interest & Investment Income,0.64,0.64,0.76,0.76
9,Earnings From Equity Investments,0.43,0.43,-,-
10,Other Non Operating Income (Expenses),-2.53,-2.53,-0.8,-0.8
11,EBT Excluding Unusual Items,8.7,8.7,11.22,11.22
12,Gain (Loss) on Sale of Investments,0.69,0.69,1.02,1.02
13,Gain (Loss) on Sale of Assets,-0.01,-0.01,-0.07,-0.07
14,Pretax Income,9.39,9.39,12.17,12.17
15,Income Tax Expense,-0.02,-0.02,2.15,2.15
16,Earnings From Continuing Operations,9.41,9.41,10.02,10.02
17,Minority Interest in Earnings,0.04,0.04,-0.26,-0.26
18,Net Income,9.45,9.45,9.77,9.77
19,Net Income to Common,9.45,9.45,9.77,9.77
20,Shares Outstanding (Basic),303,303,296,296
21,Shares Outstanding (Diluted),303,303,296,296
22,EPS (Basic),0.03,0.03,0.03,0.03
23,EPS (Diluted),0.03,0.03,0.03,0.03
24,Free Cash Flow,-28.25,-28.25,-13.4,-13.4
25,Free Cash Flow Per Share,-0.09,-0.09,-0.05,-0.05
26,Gross Margin,55.88%,55.88%,42.03%,42.03%
27,Operating Margin,6.96%,6.96%,9.48%,9.48%
28,Profit Margin,6.13%,6.13%,7.84%,7.84%
29,Free Cash Flow Margin,-18.32%,-18.32%,-10.76%,-10.76%
30,EBITDA,12.05,12.05,13.04,13.04
31,EBITDA Margin,7.81%,7.81%,10.48%,10.48%
32,D&A For EBITDA,1.31,1.31,1.24,1.24
33,EBIT,10.74,10.74,11.8,11.8
34,EBIT Margin,6.96%,6.96%,9.48%,9.48%
35,Effective Tax Rate,-,-,17.65%,17.65%
