,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,191.91,315.2,234.33,539.1,260.47,252.1,241.59,595.26,-,160.03,-,186.75,-,145.3,145.3
1,Short-Term Investments,-,-,-,-,-,3.28,4.92,6.48,-,-,-,-,6.18,-,-,-
2,Trading Asset Securities,-,141,95,165,48,300,300,373.84,10,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,332.91,332.91,410.2,399.33,587.1,563.75,557.02,621.91,605.26,-,160.03,192.93,192.93,145.3,145.3,145.3
4,Cash Growth,-43.30%,-40.95%,-26.36%,-35.79%,-3.00%,-,248.06%,222.35%,213.72%,-,10.14%,32.78%,-,-,-,-
5,Accounts Receivable,-,583.78,525.41,468.75,485.99,290.07,278.21,258.33,296.06,-,236.39,-,223.09,-,174.37,174.37
6,Other Receivables,-,17.45,15.01,18.78,15.01,12.84,8.98,8.72,16.74,-,5.68,-,7.1,-,18.46,18.46
7,Receivables,-,601.23,540.42,487.52,501,302.91,290.38,267.05,312.8,-,242.07,-,230.2,-,192.83,192.83
8,Inventory,-,142.43,100.98,73.09,32.07,100.78,85.54,101.71,105.57,-,103.16,-,42.04,-,75.14,75.14
9,Other Current Assets,-,68.43,43.76,39.6,15.49,58.89,36.14,19.94,14.07,-,31.39,-,28.94,-,20.06,20.06
10,Total Current Assets,-,1145,1095,999.55,1136,1026,969.08,1011,1038,-,536.65,-,494.11,-,433.33,433.33
11,"Property, Plant & Equipment",-,228.6,220.85,202.41,106.29,84.84,80.47,85.77,86.36,-,87.81,-,89.77,-,91.16,91.16
12,Long-Term Investments,-,2.59,2.3,2.32,60.07,59.73,57,55.26,53.9,-,51.89,-,49.98,-,47.85,47.85
13,Goodwill,-,164.99,164.99,164.99,-,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,-,187.21,189.64,192.43,167.31,174.45,176.32,177.98,179.84,-,181.81,-,185.53,-,200.48,200.48
15,Long-Term Accounts Receivable,-,-,5.79,-,8.7,3.89,3.26,3.92,5.48,-,4.92,-,10.3,-,-,-
16,Long-Term Deferred Tax Assets,-,15.78,14.61,11.17,11.67,9.31,9.68,8.01,7.97,-,6.5,-,5.41,-,5.65,5.65
17,Long-Term Deferred Charges,-,2.86,3.06,2.24,-,0.07,0.07,-,-,-,-,-,-,-,-,-
18,Other Long-Term Assets,-,5.33,-,15.07,3.32,4.53,4.57,-,-,-,2.31,-,-,-,-,-
19,Total Assets,-,1752,1697,1590,1493,1363,1300,1342,1371,-,871.89,-,835.09,-,778.47,778.47
20,Accounts Payable,-,328.32,265.57,262.24,321.11,225.89,192.88,188.88,211.19,-,151.71,-,160.08,-,115.68,115.68
21,Accrued Expenses,-,15.81,24.65,15.08,43.82,6.52,8.82,5.38,33.38,-,14.06,-,19.31,-,11.22,11.22
