,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,342.82,230.94,249.67,104.18,406.56,132.41,166.19,101.57,217.48,121.06,129.28,80.2,166.08,55.6,81.32,81.32
1,Other Revenue,-,-2.16,2.16,-,1.68,-0.56,0.56,-,0.16,-0.15,0.15,-,0.32,-0.02,0.01,0.01
2,Revenue,342.82,228.78,251.82,104.18,408.24,131.85,166.75,101.57,217.64,120.92,129.43,80.2,166.39,55.58,81.33,81.33
3,Revenue Growth (YoY),-16.03%,73.52%,51.02%,2.57%,87.58%,9.04%,28.83%,26.65%,30.80%,117.55%,59.14%,-1.39%,-,-,-,-
4,Cost of Revenue,348.92,154.22,161.68,62.37,305.93,90.84,108.28,70.56,161.93,80.79,84.09,56.95,82.06,73.07,54.93,54.93
5,Gross Profit,-6.1,74.57,90.14,41.81,102.31,41.01,58.46,31.01,55.71,40.13,45.34,23.25,84.33,-17.49,26.4,26.4
6,"Selling, General & Admin",-75.87,27.51,26.9,21.46,36.43,22.25,20.18,13.39,24.3,12.67,11.4,12.77,48.43,-21.22,10.61,10.61
7,Research & Development,-33.07,14.14,12.11,6.82,20.65,9.29,10.41,5.47,11.77,5.63,7.13,5.49,25.22,-11.41,5.71,5.71
8,Other Operating Expenses,1.25,-1.57,-0.95,1.27,2.76,-0.3,0.26,-1.49,8.92,-0.22,-1.62,-3.13,3.56,0.56,-0.28,-0.28
9,Operating Expenses,-110.17,41.11,47.61,21.44,72.74,30.37,35.5,17.27,51.6,19.52,17.94,15.03,80.57,-25.96,12.98,12.98
10,Operating Income,104.07,33.45,42.53,20.37,29.57,10.64,22.96,13.74,4.11,20.61,27.4,8.23,3.76,8.47,13.42,13.42
11,Interest Expense,-63.51,-,-2.45,-0.16,-0.86,-,-0.47,-0.24,-0.54,-0.98,-0.44,-0.3,-2.79,-4.58,-0.54,-0.54
12,Interest & Investment Income,2.01,1.13,-,62.97,4.79,7.31,5.46,2.67,3.37,0.89,1.76,1.94,8.75,1.08,2.29,2.29
13,Currency Exchange Gain (Loss),-,0.7,-0.7,-,-1.3,1.01,-1.01,-,0.49,-0.38,0.38,-,-0.27,-,-,-
14,Other Non Operating Income (Expenses),9.13,-1.17,1.22,-1,1.73,-1.93,-0.33,0.15,-2.1,0.69,0.77,0.49,-2.88,3.39,-0.02,-0.02
15,EBT Excluding Unusual Items,51.71,34.11,40.6,82.18,33.93,17.03,26.61,16.32,5.33,20.84,29.86,10.35,6.56,8.36,15.15,15.15
16,Gain (Loss) on Sale of Assets,0.29,-0.22,-0.07,-,1.09,0.44,-0.54,-,-0.12,0.11,-0.11,-,-0.19,-,-,-
17,Asset Writedown,1.56,-1.56,0.56,-0.56,-2.89,2.89,-,-,1.36,-1.36,-0.09,0.09,-,0.17,-0.08,-0.08
18,Other Unusual Items,0.15,-0.23,-2.01,2.09,7.68,0.09,-0.09,-,11.89,0,-0,-,8.45,-,-,-
19,Pretax Income,53.72,32.09,39.09,83.71,39.81,20.46,25.98,16.32,18.46,19.6,29.66,10.44,14.82,8.53,15.07,15.07
20,Income Tax Expense,9.79,2.85,1.78,2.96,2.9,1.26,1.54,1.81,0.92,2.39,3.33,0.74,1.55,0.51,1.42,1.42
21,Earnings From Continuing Operations,43.93,29.24,37.31,80.75,36.91,19.19,24.44,14.51,17.54,17.2,26.32,9.71,13.26,8.01,13.64,13.64
22,Minority Interest in Earnings,4.03,-1.34,-1.36,-1.33,-0.85,-1.36,-1.42,-1.11,-0.85,-1.14,-1.31,-1.24,-3.94,2.35,-1.17,-1.17
23,Net Income,47.97,27.9,35.94,79.42,36.07,17.84,23.02,13.4,16.69,16.06,25.01,8.46,9.33,10.36,12.47,12.47
24,Net Income to Common,47.97,27.9,35.94,79.42,36.07,17.84,23.02,13.4,16.69,16.06,25.01,8.46,9.33,10.36,12.47,12.47
25,Net Income Growth,32.99%,56.40%,56.13%,492.69%,116.15%,11.07%,-7.97%,58.32%,78.89%,55.01%,100.59%,-32.13%,-,-,-,-
26,Shares Outstanding (Basic),96,94,96,95,95,94,96,96,79,70,72,71,71,-,71,71
27,Shares Outstanding (Diluted),96,94,96,496,95,94,96,122,79,70,72,71,71,-,71,71
28,Shares Change (YoY),1.24%,0.06%,0.17%,307.47%,20.25%,34.41%,33.44%,72.71%,10.79%,-,1.13%,-0.83%,-,-,-,-
29,EPS (Basic),0.50,0.30,0.37,0.84,0.38,0.19,0.24,0.14,0.21,0.23,0.35,0.12,0.13,-,0.18,0.18
