,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3100,2587,2891,2656,3186,3672,2834,2936,2887,2098,-,-,-,-,-,-,-
1,Market Cap Growth,-29.54%,-29.54%,2.01%,-9.54%,10.38%,75.05%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2910,2397,2612,2346,2664,3150,2318,2374,2795,2006,-,-,-,-,-,-,-
3,Last Close Price,32.52,27.14,30.33,27.31,32.94,37.96,29.30,30.35,29.35,21.33,-,-,-,-,-,-,-
4,PE Ratio,16.18,13.53,16.12,15.69,20.38,40.65,39.95,42.44,40.56,31.67,-,-,-,-,-,-,-
5,Forward PE,13.46,11.63,13.47,12.93,20.00,25.18,21.58,25.05,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.34,2.79,2.91,2.96,3.93,4.54,4.59,4.84,5.07,3.83,-,-,-,-,-,-,-
7,PB Ratio,2.97,2.38,2.66,2.41,3.04,3.78,3.03,3.22,3.10,2.29,-,-,-,-,-,-,-
8,P/TBV Ratio,3.74,3.74,4.18,3.76,4.90,4.80,3.95,4.23,4.04,3.00,-,-,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-94.94,-,86.47,-,45.46,41.18,95.35,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,-,68.09,-,54.54,42.21,40.46,38.78,79.70,-,-,-,-,-,-,-
11,EV/Sales Ratio,3.14,2.58,2.63,2.62,3.29,3.90,3.75,3.91,4.91,3.66,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,13.55,11.03,18.30,19.57,27.55,34.98,35.89,31.81,34.85,26.83,-,-,-,-,-,-,-
13,EV/EBIT Ratio,14.52,11.96,20.75,22.75,31.89,40.95,45.05,38.65,42.43,33.23,-,-,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-83.87,-,74.18,-,36.76,39.87,91.18,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.09,0.09,0.09,0.08,0.05,-,-,-,0.02,0.02,-,0.05,0.06,0.06,0.10,0.10,0.10
16,Debt / EBITDA Ratio,0.47,0.23,0.67,0.46,0.52,-,-,-,0.30,0.69,-,0.19,0.57,0.91,0.77,0.56,0.56
17,Debt / FCF Ratio,-,-,-,-3.21,-,-,-,-,0.30,0.96,-,-1.18,-,-,-,1.00,2.01
18,Asset Turnover,-,0.53,0.61,0.27,1.14,0.40,0.50,0.30,-,-,-,-,-,-,0.42,-,
19,Inventory Turnover,-,-,5.07,7.43,4.74,18.42,3.90,4.63,2.72,-,-,-,-,-,-,2.92,-
20,Quick Ratio,-,-,1.62,1.89,1.97,2.49,2.55,2.81,2.91,2.63,-,1.48,-,1.59,-,1.44,1.44
21,Current Ratio,-,-,1.98,2.17,2.22,2.60,3.01,3.23,3.31,2.97,-,1.98,-,1.86,-,1.85,1.85
22,Return on Equity (ROE),16.16%,10.68%,13.88%,32.01%,15.50%,8.32%,10.61%,6.28%,-,-,22.23%,8.52%,12.06%,7.56%,12.88%,-,
23,Return on Assets (ROA),-,4.85%,6.47%,3.30%,5.18%,2.00%,4.34%,2.53%,-,-,-,-,-,-,4.31%,-,
24,Return on Capital (ROIC),21.92%,7.03%,9.28%,4.92%,7.76%,2.88%,6.16%,3.63%,-,-,13.72%,4.26%,1.98%,4.55%,7.21%,-,
25,Return on Capital Employed (ROCE),-,-,10.72%,8.64%,7.33%,7.28%,5.03%,6.14%,6.36%,5.90%,-,7.97%,-,6.86%,-,4.93%,2.47%
26,Earnings Yield,6.17%,7.39%,6.20%,6.37%,4.91%,2.46%,2.50%,2.36%,2.47%,3.16%,-,-,-,-,-,-,-
27,FCF Yield,-,-2.24%,-1.05%,-0.86%,1.16%,1.90%,2.20%,2.43%,1.05%,-,-,-,-,-,-,-,
28,Dividend Yield,1.49%,-,-,-,-,1.32%,-,-,-,2.39%,-,-,-,-,-,-,-
29,Payout Ratio,0.00%,-,171.60%,5.01%,-,0.03%,-,210.31%,2.05%,1.87%,1.99%,1.42%,4.16%,-,-,5.29%,5.29%
30,Buyback Yield / Dilution,-0.06%,-1.24%,-0.06%,-0.17%,-307.47%,-20.25%,-34.41%,-33.44%,-72.71%,-10.79%,-,-1.13%,0.83%,-,-,-,-
31,Total Shareholder Return,1.43%,-1.24%,-0.06%,-0.17%,-307.47%,-18.93%,-34.41%,-33.44%,-72.71%,-8.40%,-,-1.13%,0.83%,-,-,-,-
