,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,2855058,2021001,1801263,1678427,1701724,1582070,1037973,978643,953430,784069,793126,613070,641554,323084,329814,329136,219323,244579,159690,210243,Upgrade
1,Short-Term Investments,655477,577610,347252,332667,345970,728978,204227,190210,190210,-,-,299260,73390,24921,38558,71558,46920,10390,10538,61404,Upgrade
2,Trading Asset Securities,-,12789,12789,12519,12519,12230,-,-,360455,-,-,-,-,-,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,3510534,2611399,2161303,2023612,2060212,2323278,1242199,1168853,1504095,784069,793126,912330,714943,348005,368373,400695,266243,254969,170228,271647,Upgrade
4,Cash Growth,70.40%,12.40%,73.99%,73.13%,36.97%,196.31%,56.62%,28.12%,110.38%,125.30%,115.31%,127.69%,168.53%,36.49%,116.40%,47.51%,28.32%,11.22%,-11.14%,31.82%,Upgrade
5,Accounts Receivable,1760974,1428923,1210973,1077572,1247793,1120712,363075,348921,305835,415849,414114,414135,340796,423057,564812,639789,727905,1525033,1579520,1620107,Upgrade
6,Other Receivables,3330028,1218814,3887529,888428,3347245,1869678,1050490,1108596,1089055,1751406,1210815,760358,898573,132271,128291,108658,107587,106231,121725,119710,Upgrade
7,Receivables,5120802,2670536,5689921,2533405,5136442,3008188,1428864,1472816,1410189,2182594,1697803,1244808,1272719,567879,705564,778873,868118,1664599,1731581,1773267,Upgrade
8,Inventory,3100866,3113915,2744651,2504245,2487165,2948067,95935,57490,98279,109924,107048,61234,78003,92487,93132,107291,124428,114244,108349,34687,Upgrade
9,Prepaid Expenses,69740,71967,52280,56895,45893,40379,2402,3692,4619,2648,1048,220.77,1023,626.02,905.98,1224,1211,1220,1094,106296,Upgrade
10,Other Current Assets,1084204,3321498,590871,2672638,570342,633735,148719,148356,122626,221656,255753,166708,134155,135795,170609,159617,202839,315718,304696,194630,Upgrade
11,Total Current Assets,12886146,11789315,11239027,9790796,10300054,8953648,2918120,2851208,3139808,3300891,2854777,2385301,2200843,1144792,1338584,1447699,1462839,2350750,2315948,2380528,Upgrade
12,"Property, Plant & Equipment",8182052,8208833,8217480,8233162,8299520,8414614,5862869,5929827,5988715,6074001,5961030,6075614,6250587,6348817,6556457,6586308,6626349,7198803,7347871,7436773,Upgrade
13,Long-Term Investments,1017141,1063780,1063996,1085135,1075610,1027469,764704,747784,361059,261524,515475,523757,352909,351040,348887,350285,350744,349129,373001,370193,Upgrade
14,Goodwill,2140928,2230770,2267762,2343432,2414733,2452243,92203,94671,97187,-,-,-,-,682.02,713.5,744.98,776.46,807.94,839.41,870.89,Upgrade
15,Other Intangible Assets,844072,747958,752879,751587,757999,728732,140256,143506,146258,149483,152497,118046,162366,126743,129267,131846,134427,123885,126181,128735,Upgrade
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,-,89904,-,-,-,-,89904,89904,Upgrade
17,Long-Term Deferred Tax Assets,37571,38522,47245,53444,46321,23848,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
18,Other Long-Term Assets,4045023,3599540,3731569,4146479,3854762,3488828,1893088,1833124,1899345,1812192,1797157,1754073,1758791,1780878,1583089,1581337,1583334,870712,802475,618699,Upgrade
19,Total Assets,29183150,28055252,27320194,26404035,26748999,25089382,11671241,11600121,11632372,11598091,11280936,10856790,10725496,9842855,9956996,10098220,10158471,10894086,11056220,11025702,Upgrade
20,Accounts Payable,1305614,1169386,1764674,729677,1721674,815883,431646,392667,1223472,386112,920774,979987,417292,437655,464122,467394,490684,456106,467860,492671,Upgrade
21,Accrued Expenses,594793,322406,244898,222438,337347,300560,119619,65540,63674,116047,75227,41945,93841,168015,159808,144147,186080,124336,132511,126118,Upgrade
22,Short-Term Debt,3935223,3782856,2919913,3092973,2921751,3115572,3500,303396,3304,262938,85000,85000,101731,122047,106967,85224,97779,97089,91935,51737,Upgrade
23,Current Portion of Long-Term Debt,-,-,430168,-,398304,-,316195,-,277021,-,245194,-,207755,-,-,-,-,-,-,-,Upgrade
24,Current Income Taxes Payable,177342,148611,118658,106054,87704,78630,112944,137001,101728,65091,47212,34416,17441,18399,32039,19948,20373,34979,63188,60602,Upgrade
25,Current Unearned Revenue,60486,31955,25264,11932,23335,17241,1770,1047,1101,-,202174,-,-,-,-,-,-,-,-,-,Upgrade
26,Other Current Liabilities,2736903,2469196,2410619,3185211,2712993,2286724,1337586,1321677,538282,1320286,234207,160990,426179,489493,478077,489302,399947,1097594,1054142,950801,Upgrade
27,Total Current Liabilities,8810360,7924410,7914194,7348285,8203107,6614611,2323260,2221327,2208583,2150474,1809787,1302338,1264240,1235609,1241013,1206014,1194863,1810104,1809636,1681930,Upgrade
28,Long-Term Debt,6299428,5459349,5313104,5476022,4903655,5186738,4417653,4484601,4553817,4603514,4696844,5008651,4928983,5190336,5242975,5368640,5411540,5450850,5486215,5515437,Upgrade
29,Long-Term Unearned Revenue,44268,47292,51833,52414,56401,53474,883.84,2130,596.27,607.49,731.8,857.63,967.01,1363,1433,1490,1191,1075,757.51,799.14,Upgrade
30,Long-Term Deferred Tax Liabilities,578051,580660,583654,589999,589999,607755,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
31,Other Long-Term Liabilities,1888533,1856292,1796788,1591957,1682536,1404768,1042368,1017856,995908,913105,851857,601330,813677,600939,584192,585631,590051,522757,561216,615645,Upgrade
32,Total Liabilities,17620640,15868004,15659573,15058677,15435698,13867346,7784165,7725915,7758905,7667700,7359220,6913177,7007867,7028248,7069612,7161776,7197645,7784787,7857825,7813812,Upgrade
33,Common Stock,8925120,8925120,8925120,8925120,8925120,8925120,3486320,3486320,3486320,3486320,3486320,3486320,3486320,2686320,2686320,2686320,2686320,2686320,2686320,2686320,Upgrade
34,Additional Paid-In Capital,-,-,-,-,-,-,84082,84082,84146,84435,84435,84435,84542,84728,84728,84755,84824,84829,84842,84874,Upgrade
35,Retained Earnings,353950,615951,416010,390939,364914,340580,331397,318549,317729,374306,365284,390588,177926,68878,132584,180039,202874,349618,436875,448600,Upgrade
36,Comprehensive Income & Other,-790361,-782647,-782552,-790347,-790283,-852805,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
37,Total Common Equity,8488709,8758424,8558577,8525712,8499751,8412895,3901799,3888951,3888195,3945061,3936039,3961343,3748787,2839926,2903631,2951114,2974018,3120767,3208037,3219794,Upgrade
38,Minority Interest,3073801,3428824,3102043,2819646,2813550,2809141,-14722,-14746,-14728,-14669,-14323,-17730,-31158,-25319,-16247,-14670,-13192,-11467,-9642,-7904,Upgrade
39,Shareholders' Equity,11562511,12187248,11660620,11345358,11313301,11222036,3887077,3874206,3873467,3930392,3921716,3943613,3717629,2814607,2887384,2936444,2960826,3109300,3198395,3211890,Upgrade
40,Total Liabilities & Equity,29183150,28055252,27320194,26404035,26748999,25089382,11671241,11600121,11632372,11598091,11280936,10856790,10725496,9842855,9956996,10098220,10158471,10894086,11056220,11025702,Upgrade
41,Total Debt,10234651,9242205,8663185,8568995,8223710,8302311,4737348,4787997,4834142,4866451,5027038,5093651,5238469,5312383,5349942,5453864,5509319,5547940,5578150,5567174,Upgrade
42,Net Cash (Debt),-6724116,-6630806,-6501882,-6545382,-6163498,-5979033,-3495149,-3619144,-3330047,-4082382,-4233912,-4181321,-4523526,-4964378,-4981569,-5053169,-5243076,-5292971,-5407922,-5295527,Upgrade
43,Net Cash Per Share,-7533.92,-7429.37,-7284.92,-7333.85,-6453.91,-11282.78,-9860.47,-10381.87,-9524.74,-11709.72,-2537.07,-11993.73,-16053.61,-18480.22,-19735.01,-18810.75,-20769.80,-20988.48,-21360.85,-21184.73,Upgrade
44,Filing Date Shares Outstanding,892.51,892.51,892.51,892.51,892.51,892.51,348.63,348.63,348.63,348.63,348.63,348.63,348.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,Upgrade
45,Total Common Shares Outstanding,892.51,892.51,892.51,892.51,892.51,892.51,348.63,348.63,348.63,348.63,348.63,348.63,348.63,268.63,268.63,268.63,268.63,268.63,268.63,268.63,Upgrade
46,Working Capital,4075786,3864905,3324833,2442510,2096947,2339036,594860,629881,931225,1150418,1044990,1082962,936602,-90817,97571,241685,267976,540646,506312,698597,Upgrade
47,Book Value Per Share,9511.03,9813.23,9589.31,9552.49,9523.40,9426.09,11191.74,11154.89,11152.72,11315.83,11289.95,11362.54,10752.85,10571.81,10808.96,10985.71,11070.98,11617.26,11942.13,11985.89,Upgrade
48,Tangible Book Value,5503709,5779696,5537936,5430693,5327019,5231920,3669340,3650774,3644750,3795578,3783542,3843297,3586421,2712501,2773651,2818523,2838814,2996074,3081016,3090189,Upgrade
49,Tangible Book Value Per Share,6166.54,6475.76,6204.89,6084.73,5968.57,5862.02,10524.97,10471.71,10454.44,10887.06,10852.54,11023.94,10287.13,10097.46,10325.10,10492.14,10567.67,11153.08,11469.28,11503.43,Upgrade
50,Buildings,1323508,1237208,1210965,1148900,1060003,959889,1913,1913,1788,1856,-,15422,24048,44229,44229,44229,44229,44229,35844,36025,Upgrade
51,Machinery,811840,702125,668074,630140,617719,652742,35473,35473,34793,27134,-,25710,165039,172463,175286,176417,174278,173442,173442,175967,Upgrade
52,Construction In Progress,1894846,1900922,1842946,1830899,1879563,1997567,333138,331202,315891,321974,312397,321220,368423,358331,574664,543355,522256,1545176,1692656,1734426,Upgrade
