,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Operating Revenue,10897777,8031351,6514684,5204221,7800919,2555986,315015,309380,309998,303571,219817,239775,244558,161990,226940,236908,215088,192440,176313,166684,Upgrade
1,Other Revenue,-,-,-,-,449.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Revenue,10897777,8031351,6514684,5204221,7801369,2555986,315015,309380,309998,303571,219817,239775,244558,161990,226940,236908,215088,192440,176313,166684,Upgrade
3,Revenue Growth (YoY),39.69%,214.22%,1968.05%,1582.15%,2416.59%,741.97%,43.31%,29.03%,26.76%,87.40%,-3.14%,1.21%,13.70%,-15.82%,28.71%,42.13%,-14.07%,-25.29%,-37.21%,-47.67%,Upgrade
4,Cost of Revenue,9905482,7349958,5963228,4671174,7283048,2285142,192997,188773,243467,181939,113313,144392,171082,128382,144806,146098,250978,190542,104228,119600,Upgrade
5,Gross Profit,992295,681393,551456,533047,518321,270844,122019,120606,66531,121632,106504,95384,73477,33608,82133,90809,-35890,1898,72086,47084,Upgrade
6,"Selling, General & Admin",877569,644841,689631,421147,614542,187364,54663,60131,111484,70691,46789,38698,38235,45448,52357,29862,72671,25650,23559,27392,Upgrade
7,Operating Expenses,877569,644841,689631,421147,614542,187364,54663,60131,111484,70691,46789,38698,38235,45448,52357,29862,72671,25650,23559,27392,Upgrade
8,Operating Income,114726,36552,-138176,111900,-96221,83480,67356,60475,-44952,50941,59715,56686,35241,-11839,29776,60948,-108561,-23753,48527,19692,Upgrade
9,Interest Expense,-159029,-150338,-159233,-135192,-111329,-118162,-81754,-74453,-216429,-76149,-192269,-73947,-76862,-65250,-82754,-83606,-68221,-59911,-57927,-58332,Upgrade
10,Interest & Investment Income,353729,47765,-,400015,15219,48197,4120,53566,-,44968,-,119835,1741,3396,2409,1788,-,7790,2263,2136,Upgrade
11,Earnings From Equity Investments,-18070,12161,-25276,5758,-4164,-7409,-3469,-3586,411.07,551.63,287.21,10850,1015,2152,3457,-459.42,1616,-15784,2562,642.33,Upgrade
12,Other Non Operating Income (Expenses),-65116,104243,403142,-347292,-10985,8292,26058,-28638,-246.3,750.66,473.02,-238.44,-46.21,-1266,573.76,-266.99,-37341,5944,-7856,-1128,Upgrade
13,EBT Excluding Unusual Items,226240,50383,80457,35188,-207481,14398,12311,7365,-261217,21061,-131794,113185,-38911,-72807,-46538,-21597,-212507,-85713,-12432,-36990,Upgrade
14,Gain (Loss) on Sale of Investments,-,-,-,-,229254,-,-,-,307356,-,142391,-,230034,-,-,-,47309,-,-,53309,Upgrade
15,Pretax Income,226240,50383,80457,35188,21773,14398,12311,7365,46139,21061,10597,113185,191122,-72807,-46538,-21597,-165198,-85713,-12432,16320,Upgrade
16,Income Tax Expense,69589,14042,21462,3067,-5229,2227,-993.22,3492,13710,11546,-3309,25190,549.7,40.07,2495,2942,-11505,-5206,2218,10914,Upgrade
17,Earnings From Continuing Operations,156651,36341,58995,32121,27002,12171,13304,3872,32429,9515,13906,87996,190572,-72847,-49033,-24539,-153692,-80507,-14649,5406,Upgrade
18,Minority Interest in Earnings,-69233,-18510,-54846,-6096,-3918,-4779,-661.33,205.73,29.1,346.36,289.26,54.99,5304,9071,1578,1477,1725,1825,1738,3093,Upgrade
19,Net Income,87418,17831,4150,26025,23084,7392,12643,4078,32458,9861,14195,88051,195877,-63776,-47456,-23061,-151967,-78682,-12912,8499,Upgrade
20,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,615.9,-,-,-,-,-,-,-,Upgrade
21,Net Income to Common,87418,17831,4150,26025,23084,7392,12643,4078,32458,9861,14195,88051,195261,-63776,-47456,-23061,-151967,-78682,-12912,8499,Upgrade
22,Net Income Growth,278.70%,141.24%,-67.18%,538.19%,-28.88%,-25.05%,-10.94%,-95.37%,-83.43%,-,-,-,-,-,-,-,-,-,-,-,Upgrade
23,Shares Outstanding (Basic),893,893,893,892,490,530,354,349,350,349,349,349,282,269,252,269,252,252,253,250,Upgrade
24,Shares Outstanding (Diluted),893,893,893,892,955,530,354,349,350,349,1669,349,282,269,252,269,252,252,253,250,Upgrade
25,Shares Change (YoY),-6.54%,68.42%,151.79%,156.02%,173.15%,52.00%,-78.76%,-0.01%,24.08%,29.78%,561.12%,29.78%,11.62%,6.52%,-0.29%,7.47%,-0.28%,0.13%,3.34%,-2.04%,Upgrade
26,EPS (Basic),97.95,19.98,4.65,29.16,47.09,13.95,35.67,11.70,92.84,28.29,40.72,252.56,692.96,-237.41,-188.00,-85.85,-602.00,-312.00,-51.00,34.00,Upgrade
