,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,561.38,557.7,494.5,364.05,385.02,524.21,578.12,502.77,536.44,607.79,606.09,606.61,606.61,619.51,633.73
1,Other Revenue,-14.41,14.41,-,30.6,-18.22,18.22,-,51.71,-27.43,27.43,-,20.96,20.96,6.91,7.14
2,Revenue,546.97,572.12,494.5,394.65,366.79,542.43,578.12,554.48,509,635.22,606.09,627.57,627.57,626.42,640.87
3,Revenue Growth (YoY),49.12%,5.47%,-14.46%,-28.82%,-27.94%,-14.61%,-4.61%,-11.65%,-18.89%,1.40%,-5.43%,-,-,-,-
4,Cost of Revenue,308.39,326.85,296.34,232.17,234.59,311.17,395.95,394.64,329.61,372.12,353.75,371.59,371.59,327.85,361
5,Gross Profit,238.57,245.26,198.16,162.48,132.2,231.27,182.16,159.84,179.4,263.1,252.34,255.98,255.98,298.58,279.87
6,"Selling, General & Admin",48.14,44.44,31.02,42.53,47.16,41.5,38.02,50.68,46.3,41.62,36.27,37.79,37.79,33.37,31.25
7,Research & Development,27.67,22.27,22.77,49.29,24.25,22.35,16.07,28.77,23.61,21.53,15.56,17.29,17.29,11.84,12.53
8,Other Operating Expenses,-25.53,14,-8.26,45.08,-21.25,-0.97,-3.05,55.65,-3.42,-16.82,-13.45,23.79,23.79,-17.13,-7.67
9,Operating Expenses,49.55,80.98,47.89,141.67,44.38,61.7,51.57,133.93,62.11,46.83,39.59,79.99,79.99,27.91,40.4
10,Operating Income,189.03,164.28,150.27,20.82,87.82,169.57,130.59,25.91,117.28,216.27,212.74,175.99,175.99,270.67,239.47
11,Interest Expense,-41.02,-2.06,-,-2.1,-32.84,-0.52,-,-6.93,-,-4.5,-3.05,-4.3,-4.3,-3.7,-2.6
12,Interest & Investment Income,2.06,20.08,24.59,75.04,0.52,21.82,12.51,20.09,6.88,-,3.46,-,-,3.95,2.61
13,Currency Exchange Gain (Loss),-35.66,35.66,-,31.24,-56.59,56.59,-,82.37,-48.24,48.24,-,-5.97,-5.97,-15.69,0.68
14,Other Non Operating Income (Expenses),83.5,-1.39,0.88,-100.34,100.32,12.78,-12.45,-97.69,97.62,1.08,-2.74,-0.35,-0.35,-1.57,0.67
15,EBT Excluding Unusual Items,197.91,216.57,175.74,24.67,99.23,260.24,130.65,23.76,173.54,261.09,210.41,165.36,165.36,253.67,240.82
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,4.33,-,-3.3,-3.3,-,-
17,Gain (Loss) on Sale of Assets,0.14,-0.14,-,-0.09,0.05,-0.05,-,-1.07,0.69,-0.69,-,-0.92,-0.92,-0.3,-
18,Asset Writedown,-5.19,-0.04,-,0.72,-0.91,-,-,0.11,-0.97,0.34,-0.34,-,-,-,-
19,Other Unusual Items,-17.94,17.94,-,50.66,-,-,-,54.57,-,-,-,28.45,28.45,-,-
20,Pretax Income,174.92,234.33,175.74,75.96,98.37,260.19,130.65,77.36,173.26,265.08,210.07,189.59,189.59,253.37,240.82
21,Income Tax Expense,25.61,36.71,28.19,13.01,15.42,38.83,22.05,6.42,23.33,41.98,31.92,27.51,27.51,39.4,35.05
22,Net Income,149.31,197.62,147.55,62.95,82.95,221.36,108.6,70.93,149.93,223.1,178.15,162.08,162.08,213.97,205.77
23,Net Income to Common,149.31,197.62,147.55,62.95,82.95,221.36,108.6,70.93,149.93,223.1,178.15,162.08,162.08,213.97,205.77
24,Net Income Growth,80.01%,-10.72%,35.87%,-11.26%,-44.68%,-0.78%,-39.04%,-56.23%,-7.49%,4.27%,-13.42%,-,-,-,-
25,Shares Outstanding (Basic),439,440,434,428,438,445,434,441,420,391,396,395,395,389,396
26,Shares Outstanding (Diluted),439,440,434,428,438,445,434,441,420,391,396,395,395,389,396
27,Shares Change (YoY),0.24%,-1.26%,-0.10%,-2.85%,4.21%,13.97%,9.73%,11.68%,6.41%,0.52%,0.05%,-,-,-,-
28,EPS (Basic),0.34,0.45,0.34,0.15,0.19,0.50,0.25,0.16,0.36,0.57,0.45,0.41,0.41,0.55,0.52
29,EPS (Diluted),0.34,0.45,0.34,0.15,0.19,0.50,0.25,0.16,0.36,0.57,0.45,0.41,0.41,0.55,0.52
30,EPS Growth,79.58%,-9.58%,36.00%,-8.66%,-46.91%,-12.94%,-44.44%,-60.81%,-13.06%,3.73%,-13.46%,-,-,-,-
31,Free Cash Flow,-205.35,-99.42,-21.45,-41.74,39.99,73.87,121.49,60.88,119.28,84.12,81.83,104.05,104.05,207.79,187.24
32,Free Cash Flow Per Share,-0.47,-0.23,-0.05,-0.10,0.09,0.17,0.28,0.14,0.28,0.22,0.21,0.26,0.26,0.53,0.47
33,Dividend Per Share,-,-,-,0.500,-,-,-,0.710,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-29.58%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,43.62%,42.87%,40.07%,41.17%,36.04%,42.63%,31.51%,28.83%,35.24%,41.42%,41.63%,40.79%,40.79%,47.66%,43.67%
36,Operating Margin,34.56%,28.72%,30.39%,5.27%,23.94%,31.26%,22.59%,4.67%,23.04%,34.05%,35.10%,28.04%,28.04%,43.21%,37.37%
37,Profit Margin,27.30%,34.54%,29.84%,15.95%,22.61%,40.81%,18.78%,12.79%,29.46%,35.12%,29.39%,25.83%,25.83%,34.16%,32.11%
38,Free Cash Flow Margin,-37.54%,-17.38%,-4.34%,-10.58%,10.90%,13.62%,21.02%,10.98%,23.43%,13.24%,13.50%,16.58%,16.58%,33.17%,29.22%
39,EBITDA,222.93,200.77,184.18,54.72,118.72,202.97,161.49,56.81,148.67,247.66,242.8,203.98,203.98,319.52,242.09
40,EBITDA Margin,40.76%,35.09%,37.25%,13.87%,32.37%,37.42%,27.93%,10.24%,29.21%,38.99%,40.06%,32.50%,32.50%,51.01%,37.78%
41,D&A For EBITDA,33.91,36.48,33.91,33.91,30.9,33.4,30.9,30.9,31.38,31.38,30.06,27.99,27.99,48.85,2.62
42,EBIT,189.03,164.28,150.27,20.82,87.82,169.57,130.59,25.91,117.28,216.27,212.74,175.99,175.99,270.67,239.47
43,EBIT Margin,34.56%,28.72%,30.39%,5.27%,23.94%,31.26%,22.59%,4.67%,23.04%,34.05%,35.10%,28.04%,28.04%,43.21%,37.37%
44,Effective Tax Rate,14.64%,15.67%,16.04%,17.13%,15.68%,14.92%,16.88%,8.30%,13.46%,15.84%,15.19%,14.51%,14.51%,15.55%,14.56%
45,Revenue as Reported,546.97,572.12,494.5,394.65,366.79,542.43,578.12,554.48,509,635.22,606.09,627.57,627.57,1267,-
