,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1625,1961,2380,2308,2400,2363,2382,2070,-,746.17,241.59,717.08,717.08,-,-
1,Trading Asset Securities,120,-,-,-,-,-,30,230,-,14.16,515.55,-,-,-,-
2,Cash & Short-Term Investments,1745,1961,2380,2308,2400,2363,2412,2300,-,760.33,757.14,717.08,717.08,-,1019
3,Cash Growth,-27.29%,-17.02%,-1.35%,0.35%,-,210.83%,218.61%,220.73%,-,-,-25.72%,-,-,-,-
4,Accounts Receivable,368.69,349.27,351.22,284.34,225.06,343.51,369.29,357.31,-,443.34,395.37,418.96,418.96,-,-
5,Other Receivables,2.07,2.06,2.29,1.7,2.19,2.2,2.45,2.03,-,12.02,5.74,2.23,2.23,-,-
6,Receivables,370.76,351.33,353.52,286.05,227.25,345.71,371.75,359.35,-,455.35,401.11,421.19,421.19,-,-
7,Inventory,494.19,475.29,434.43,478.97,357.24,397.34,373.12,470.63,-,526.07,440.48,405.54,405.54,-,-
8,Other Current Assets,97.94,65.34,68.82,48.47,45.52,19.82,50.79,36.4,-,22.47,40.81,35.58,35.58,-,-
9,Total Current Assets,2708,2853,3237,3121,3030,3126,3208,3166,-,1764,1640,1579,1579,-,-
10,"Property, Plant & Equipment",2180,1841,1635,1618,1430,1350,1310,1311,-,1202,1191,1183,1183,-,-
11,Long-Term Investments,0.03,0.03,0.03,0.03,0.05,0.04,0.14,0.4,-,-,-,-,-,-,-
12,Other Intangible Assets,189.57,190.43,191.45,192.31,193.01,194.84,109.12,109.81,-,110.89,111.56,111.8,111.8,-,-
13,Long-Term Deferred Tax Assets,78.99,80.96,80.2,81.13,62.63,64.77,57.11,58.6,-,60.01,60.54,61.46,61.46,-,-
14,Long-Term Deferred Charges,9.95,10.3,10.65,10.99,11.34,11.69,12.03,12.38,-,3.66,4.23,4.04,4.04,-,-
15,Other Long-Term Assets,105.95,126.51,95.9,66.05,99.57,61.67,44.54,21.95,-,21.29,13.41,12.45,12.45,-,-
16,Total Assets,5272,5103,5250,5090,4826,4809,4741,4680,-,3162,3020,2952,2952,-,-
17,Accounts Payable,166.51,129.71,117.86,138.07,88.64,70.06,98.84,108.55,-,166.68,152.89,121.11,121.11,-,-
18,Accrued Expenses,77.9,67.65,37.08,115.86,69.23,65.48,36.51,112.97,-,61.29,37.16,100.66,100.66,-,-
19,Short-Term Debt,1,20.01,220.01,100.07,100,100.07,-,-,-,150.13,260.25,300.3,300.3,-,-
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,33.04,17.31,14.02,14.02,-,-
21,Current Portion of Leases,2.9,2.9,2.98,3.12,2.01,2.56,3.1,3.42,-,3.71,-,3.33,3.33,-,-
22,Current Income Taxes Payable,23.59,37.37,43.85,30.68,20.21,44.92,9,0.5,-,37.9,44.89,49.01,49.01,-,-
23,Current Unearned Revenue,21.05,19.87,23.15,21.1,14.78,14.19,16.92,23.34,-,13.22,26.86,19.71,19.71,-,-
24,Other Current Liabilities,53.27,55.73,63.97,52.42,23.66,83.2,53.57,62.4,-,55.56,29.98,68.92,68.92,-,-
25,Total Current Liabilities,346.22,333.25,508.89,461.33,318.53,380.48,217.93,311.18,-,521.53,569.34,677.06,677.06,-,-
26,Long-Term Debt,100.03,65.23,-,-,-,-,-,-,-,-,26.04,26.04,26.04,-,-
27,Long-Term Leases,2.99,3.78,4.48,5.1,3.51,3.82,4.14,4.65,-,5.93,7.23,7.98,7.98,-,-
28,Long-Term Unearned Revenue,366.46,372.57,381.68,390.79,336.4,342.99,349.57,306.16,-,319.33,328.05,332.49,332.49,-,-
29,Total Liabilities,815.71,774.83,895.05,857.21,658.44,727.29,571.64,621.98,-,846.79,930.67,1044,1044,-,-
30,Common Stock,437.78,437.78,437.78,437.78,437.78,437.78,437.78,437.78,-,394,394,394,394,-,-
31,Additional Paid-In Capital,1994,1992,1989,1987,1984,1982,1979,1977,-,498.54,496.06,493.58,493.58,-,-
32,Retained Earnings,2085,1935,1956,1808,1745,1662,1752,1643,-,1422,1199,1021,1021,-,-
33,Treasury Stock,-60.01,-37.06,-28.42,-,-,-,-,-,-,-,-,-,-,-,-
34,Shareholders' Equity,4457,4328,4355,4233,4168,4082,4169,4058,-,2315,2089,1909,1909,-,1155
35,Total Liabilities & Equity,5272,5103,5250,5090,4826,4809,4741,4680,-,3162,3020,2952,2952,-,-
36,Total Debt,106.93,91.92,227.47,108.29,105.52,106.45,7.24,8.07,-,192.82,310.82,351.68,351.68,-,345.37
37,Net Cash (Debt),1638,1869,2152,2200,2294,2257,2405,2292,-,567.51,446.32,365.41,365.41,-,673.97
38,Net Cash Growth,-28.60%,-17.18%,-10.51%,-4.03%,-,297.68%,438.88%,527.19%,-,-,-33.78%,-,-,-,-
39,Net Cash Per Share,3.73,4.25,4.96,5.13,5.24,5.07,5.54,5.20,-,1.45,1.13,0.93,0.93,-,1.70
40,Filing Date Shares Outstanding,438.94,436.05,433.97,436.41,437.78,437.78,437.78,437.78,420.2,394,394,394,394.91,388.84,395.71
41,Total Common Shares Outstanding,438.94,436.05,433.97,437.78,437.78,437.78,437.78,437.78,420.2,394,394,394,394.91,388.84,395.71
42,Working Capital,2362,2520,2728,2660,2711,2746,2990,2855,-,1243,1070,902.34,902.34,-,-
43,Book Value Per Share,10.15,9.93,10.03,9.67,9.52,9.32,9.52,9.27,-,5.88,5.30,4.84,4.83,-,2.93
44,Tangible Book Value,4267,4137,4163,4041,3975,3887,4060,3948,-,2204,1978,1797,1797,-,1083
45,Tangible Book Value Per Share,9.72,9.49,9.59,9.23,9.08,8.88,9.27,9.02,-,5.59,5.02,4.56,4.55,-,2.75
46,Buildings,-,685.13,-,655.11,-,615.26,-,596.5,-,558.99,551.38,552.3,552.3,-,-
47,Machinery,-,1319,-,1257,-,1209,-,1189,-,1077,1065,1056,1056,-,-
48,Construction In Progress,-,638.54,-,435.37,-,190.74,-,122.64,-,103.94,80.98,51.69,51.69,-,-
