,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,11268,12746,10487,10034,10524,12551,13729,14372,12748,13085,-,-,-,-,-,-
1,Market Cap Growth,1.55%,1.55%,-23.61%,-30.19%,-17.45%,-4.08%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9630,10877,8335,7740,8230,10294,11324,12123,10499,12518,-,-,-,-,-,-
3,Last Close Price,25.84,29.23,24.03,22.46,23.56,28.10,30.73,31.39,27.84,28.58,-,-,-,-,-,-
4,PE Ratio,20.18,22.87,21.36,19.49,22.12,25.94,24.92,26.01,20.49,18.35,-,-,-,-,-,-
5,PS Ratio,5.60,6.35,5.74,5.58,5.59,6.15,6.29,6.31,5.53,5.50,-,-,-,-,-,-
6,PB Ratio,2.55,2.86,2.42,2.30,2.49,3.01,3.36,3.45,3.14,-,-,-,-,-,-,-
7,P/TBV Ratio,2.99,2.99,2.53,2.41,2.60,3.16,3.53,3.54,3.23,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,42.37,36.56,37.26,36.83,33.61,-,-,-,-,-,-
9,P/OCF Ratio,21.82,21.82,20.05,15.63,14.43,17.89,18.07,21.90,21.02,19.74,-,-,-,-,-,-
10,EV/Sales Ratio,4.80,5.42,4.56,4.30,4.37,5.04,5.18,5.32,4.56,5.26,-,-,-,-,-,-
11,EV/EBITDA Ratio,14.33,16.41,14.93,13.81,15.30,19.06,19.87,19.72,15.09,14.85,-,-,-,-,-,-
12,EV/EBIT Ratio,18.36,20.74,19.69,18.06,20.13,24.87,25.54,24.74,18.35,17.33,-,-,-,-,-,-
13,EV/FCF Ratio,-26.17,-,-,-,-,34.75,30.15,31.42,30.33,32.16,-,-,-,-,-,-
14,Debt / Equity Ratio,0.02,0.02,0.02,0.05,0.03,0.03,0.03,0.00,0.00,-,0.08,0.15,0.18,0.18,-,0.30
15,Debt / EBITDA Ratio,0.16,0.12,0.11,0.31,0.47,0.22,0.13,0.01,0.03,-,0.19,0.32,0.43,0.43,-,0.36
16,Debt / FCF Ratio,-,-,-,-,-,0.36,0.28,0.02,0.02,-,0.52,0.62,0.58,0.70,-,1.84
17,Asset Turnover,0.42,0.44,0.38,0.32,0.30,0.45,0.49,-,-,0.82,0.81,0.85,-,-,-,
18,Inventory Turnover,2.73,2.54,2.87,2.60,2.22,2.49,3.23,3.75,-,-,3.08,3.35,3.67,-,-,-
19,Quick Ratio,6.11,6.11,6.94,5.37,5.62,8.25,7.12,12.78,8.55,-,2.33,2.03,1.68,1.68,-,-
20,Current Ratio,7.82,7.82,8.56,6.36,6.77,9.51,8.22,14.72,10.18,-,3.38,2.88,2.33,2.33,-,-
21,Return on Equity (ROE),13.60%,18.21%,13.75%,5.99%,8.04%,21.46%,10.56%,-,-,40.52%,35.65%,33.97%,-,-,-,
22,Return on Assets (ROA),9.11%,7.93%,7.27%,1.05%,4.56%,8.88%,6.93%,-,-,17.49%,17.81%,14.90%,-,-,-,
23,Return on Capital (ROIC),10.52%,9.12%,8.42%,1.21%,5.19%,10.14%,7.92%,-,-,22.03%,22.82%,19.46%,-,-,-,
24,Return on Capital Employed (ROCE),10.65%,10.65%,8.87%,9.04%,8.83%,9.18%,10.01%,10.84%,13.10%,-,29.58%,34.09%,37.89%,30.16%,-,-
25,Earnings Yield,4.95%,4.37%,4.68%,5.13%,4.52%,3.85%,4.01%,3.84%,4.88%,5.45%,-,-,-,-,-,-
26,FCF Yield,-3.27%,-2.89%,-1.17%,0.50%,1.84%,2.36%,2.74%,2.68%,2.72%,2.97%,-,-,-,-,-,-
27,Dividend Yield,1.94%,-,-,-,2.12%,-,-,-,2.55%,-,-,-,-,-,-,-
28,Payout Ratio,44.11%,8.49%,104.36%,0.57%,41.56%,1.38%,128.80%,-,0.34%,0.85%,1.05%,1.67%,1.89%,1.89%,370.98%,38.19%
29,Buyback Yield / Dilution,1.00%,-0.24%,1.26%,0.10%,2.85%,-4.21%,-13.97%,-9.73%,-11.68%,-6.41%,-0.52%,-0.05%,-,-,-,-
30,Total Shareholder Return,2.93%,-0.24%,1.26%,0.10%,4.97%,-4.21%,-13.97%,-9.73%,-9.13%,-6.41%,-0.52%,-0.05%,-,-,-,-
