,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,1138,1496,1447,1962,2698,3287,3630,5347,5592,5837,5984,Upgrade
1,Market Cap Growth,-10.17%,-23.75%,-46.36%,-40.30%,-25.68%,-38.53%,-35.09%,-8.40%,-6.56%,4.39%,10.91%,Upgrade
2,Enterprise Value,52961,59433,71661,69571,73004,74028,69846,65573,47129,46417,42381,Upgrade
3,Last Close Price,0.23,0.29,0.28,0.38,0.49,0.60,0.61,0.90,0.88,0.92,0.84,Upgrade
4,PE Ratio,-,-,9.85,11.07,7.24,5.46,5.28,4.86,6.71,3.84,2.98,Upgrade
5,Forward PE,-,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,6.04,Upgrade
6,PS Ratio,0.05,0.06,0.05,0.07,0.08,0.09,0.11,0.19,0.25,0.27,0.27,Upgrade
7,PB Ratio,0.13,0.04,0.04,0.05,0.07,0.09,0.09,0.14,0.15,0.18,0.19,Upgrade
8,P/TBV Ratio,0.15,0.15,0.13,0.19,0.25,0.29,0.31,0.48,0.50,0.60,0.57,Upgrade
9,P/FCF Ratio,-,-0.56,-,0.19,0.47,-,-,-,0.61,-,1.68,Upgrade
10,P/OCF Ratio,-,-0.56,-,0.19,0.46,-,-,-,0.61,-,1.63,Upgrade
11,EV/Sales Ratio,2.41,2.28,2.26,2.49,2.16,1.95,2.20,2.34,2.09,2.17,1.95,Upgrade
12,EV/EBITDA Ratio,-,44.20,22.88,21.13,20.86,14.42,14.69,12.19,9.82,7.42,6.58,Upgrade
13,EV/EBIT Ratio,-,-,24.62,22.52,22.19,15.09,15.41,12.71,10.33,7.72,6.79,Upgrade
14,EV/FCF Ratio,-,-22.12,-,6.62,12.61,-,-,-,5.18,-,11.87,Upgrade
15,Debt / Equity Ratio,1.10,1.21,1.07,1.47,1.12,1.56,1.42,1.43,1.16,0.89,0.91,Upgrade
16,Debt / FCF Ratio,-,-16.86,-,5.33,7.13,-,-,-,4.73,-,8.24,Upgrade
17,Return on Capital Employed (ROCE),-,-,4.23%,4.94%,4.35%,6.02%,5.85%,10.26%,9.57%,12.67%,12.04%,Upgrade
18,Earnings Yield,-173.07%,-19.99%,10.16%,9.03%,13.81%,18.31%,18.96%,20.58%,14.89%,26.05%,33.54%,Upgrade
19,FCF Yield,-179.60%,-43.13%,535.34%,214.58%,-131.67%,-207.15%,127.87%,162.62%,7.23%,59.65%,Upgrade,
20,Buyback Yield / Dilution,-0.00%,-,-,-,-,-,-,-,-,-,13.83%,Upgrade
21,Total Shareholder Return,5.09%,-,-,-,-,-,-,-,-,-,13.83%,Upgrade
