,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,104988,104988,75328,-,26615,49296,-,21224,69555,-,6271,-,18597,28441,30917,-,39035,-,37026,26779,Upgrade
1,Short-Term Investments,16001,16001,65001,-,73001,73001,-,76959,76959,-,76959,-,77148,75648,75648,-,74075,-,76075,74486,Upgrade
2,Cash & Short-Term Investments,120989,120989,140329,99616,99616,122297,98183,98183,146514,83229,83229,-,95745,104089,106565,113110,113110,-,113101,101265,Upgrade
3,Cash Growth,21.46%,-1.07%,42.93%,1.46%,-32.01%,46.94%,17.97%,-,53.02%,-20.04%,-21.90%,-,-15.35%,-,-5.78%,11.70%,-37.37%,-,-44.86%,-45.68%,Upgrade
4,Accounts Receivable,360143,360143,326049,-,377317,359875,-,361917,470901,-,416374,-,496077,424940,482747,-,569547,-,616894,589378,Upgrade
5,Other Receivables,203949,203949,210794,-,182366,207251,-,183766,173032,-,144180,-,44643,41993,46392,-,32333,-,24605,29228,Upgrade
6,Receivables,585905,585905,536843,-,559684,567125,-,545684,643933,-,560554,-,540719,466933,529139,-,601880,-,641499,618606,Upgrade
7,Inventory,327921,327921,377207,-,326135,304631,-,472310,373152,-,254666,-,186226,207968,234868,-,157499,-,139250,185990,Upgrade
8,Prepaid Expenses,228.17,228.17,101.71,-,80.12,94.99,-,248.2,109.45,-,27.57,-,-,-,-,-,-,-,-,-,Upgrade
9,Other Current Assets,111375,111375,105961,-,210144,228234,-,244012,198946,-,73721,-,18818,34474,31347,-,18668,-,17159,42167,Upgrade
10,Total Current Assets,1146419,1146419,1160441,-,1195659,1222382,-,1360436,1362655,-,972198,-,841508,813463,901920,-,891156,-,911009,948028,Upgrade
11,"Property, Plant & Equipment",192456,192456,216513,-,208127,217442,-,231372,231313,-,217187,-,137010,137877,145757,-,143278,-,183505,199100,Upgrade
12,Long-Term Investments,25690,25690,690,-,690,690,-,1990,1990,-,1990,-,1990,8397,1990,-,1990,-,1990,1990,Upgrade
