,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021"
0,Market Capitalization,62,336,336,336,466,2200,-
1,Market Cap Growth,0%,0%,-27.90%,-84.73%,-,-,-
2,Enterprise Value,-12,202,134,134,264,2101,-
3,Last Close Price,0.31,1.68,1.68,1.68,2.33,11.00,-
4,PE Ratio,-,-13.87,-,70.96,-,70.95,-
5,PS Ratio,0.13,0.73,0.68,0.67,0.94,4.92,-
6,PB Ratio,0.20,0.94,0.92,0.89,1.24,5.48,-
7,P/TBV Ratio,1.26,1.26,1.25,1.13,1.59,7.25,-
8,P/FCF Ratio,-,-,4.59,5.45,-,-,-
9,P/OCF Ratio,-,-,3.76,5.16,-,-,-
10,EV/Sales Ratio,0.44,0.44,0.27,0.27,0.53,4.70,-
11,EV/EBITDA Ratio,18.41,17.56,-,3.03,4.74,23.45,-
12,EV/EBIT Ratio,-,-475.17,-,4.10,6.10,27.43,-
13,EV/FCF Ratio,0.35,-,1.83,2.17,-,-,-
14,Debt / Equity Ratio,0.05,0.05,0.05,0.07,0.07,0.06,-
15,Debt / FCF Ratio,-,-,0.27,0.40,-,-,-
16,Return on Capital Employed (ROCE),-,-0.11%,-,8.42%,11.17%,18.43%,-
17,Earnings Yield,-39.08%,-7.21%,-3.27%,1.41%,0.77%,1.41%,-
18,FCF Yield,-53.61%,-9.89%,21.78%,18.36%,-8.25%,-2.40%,-
19,Buyback Yield / Dilution,0.12%,-,0.24%,-14.20%,-33.65%,-,-
20,Total Shareholder Return,0.12%,-,0.24%,-14.20%,-33.65%,-,-
