,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Jun '21 Jun 30, 2021"
0,Revenue,212.12,216.12,233.15,229.3,207.81,173.94
1,Revenue Growth (YoY),-9.02%,-5.75%,12.19%,31.82%,-,-
2,Cost of Revenue,154.94,161.87,161.73,154.28,139.96,113.94
3,Gross Profit,57.18,54.25,71.42,75.02,67.85,60
4,"Selling, General & Admin",33.9,25.51,34.12,32.06,28.79,32.29
5,Other Operating Expenses,12.46,-10.24,7.97,-4.89,1.7,-0.31
6,Operating Expenses,46.36,65.47,42.09,74.2,30.48,31.98
7,Operating Income,10.82,-11.22,29.33,0.82,37.37,28.02
8,Interest Expense,-0.53,-0.94,-0.65,-0.68,-0.63,-0.29
9,Interest & Investment Income,0.69,0.79,0.18,0.08,0.2,0.17
10,Earnings From Equity Investments,0.64,1.23,0.35,0.48,0.57,0.42
11,Other Non Operating Income (Expenses),-,-13.19,-,-22.12,-,-
12,EBT Excluding Unusual Items,11.62,-23.33,29.22,-21.43,37.52,28.32
13,Gain (Loss) on Sale of Investments,-,-,-,-0.06,-,-
14,Gain (Loss) on Sale of Assets,-,1.04,-,-,-,0.42
15,Other Unusual Items,-,-,-,11.2,-11.2,-
16,Pretax Income,11.62,-22.29,29.22,-10.28,26.32,28.73
17,Income Tax Expense,3.9,-1.58,8.25,-2.04,8.13,11.43
18,Earnings From Continuing Operations,7.72,-20.7,20.97,-8.24,18.19,17.3
19,Minority Interest in Earnings,-6.65,-2.92,-7.33,-1.02,-5.75,-3.28
20,Net Income,1.07,-23.62,13.64,-9.26,12.45,14.02
21,Net Income to Common,1.07,-23.62,13.64,-9.26,12.45,14.02
22,Net Income Growth,-92.13%,-,9.59%,-,-,-
23,Shares Outstanding (Basic),200,200,200,200,175,150
24,Shares Outstanding (Diluted),200,200,200,200,175,150
25,Shares Change (YoY),-,-0.24%,14.20%,33.65%,-,-
26,EPS (Basic),0.01,-0.12,0.07,-0.05,0.07,0.09
27,EPS (Diluted),0.01,-0.12,0.07,-0.05,0.07,0.09
28,EPS Growth,-92.13%,-,-4.04%,-,-,-
29,Free Cash Flow,-39.43,8.5,57.94,-0.84,-33.17,-11.96
30,Free Cash Flow Per Share,-0.20,0.04,0.29,-0.00,-0.19,-0.08
31,Operating Margin,5.10%,-5.19%,12.58%,0.36%,17.98%,16.11%
32,Profit Margin,0.51%,-10.93%,5.85%,-4.04%,5.99%,8.06%
33,Free Cash Flow Margin,-18.59%,3.93%,24.85%,-0.37%,-15.96%,-6.87%
34,EBITDA,16.19,-5.51,35.48,5.37,43.83,32.67
35,D&A For EBITDA,5.37,5.71,6.14,4.55,6.46,4.65
36,EBIT,10.82,-11.22,29.33,0.82,37.37,28.02
