,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 11, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,5078,4177,3796,4122,4198,3034,3116,3472,3225,-,-,-,-,-,-,-
1,Market Cap Growth,37.66%,37.66%,21.82%,18.72%,30.17%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4411,3452,2994,3348,3424,2309,2358,2767,2545,-,-,-,-,-,-,-
3,Last Close Price,38.14,31.36,28.15,30.21,30.77,22.24,22.84,25.12,23.33,-,-,-,-,-,-,-
4,PE Ratio,66.09,54.26,42.34,42.17,44.03,29.33,25.62,23.96,20.35,-,-,-,-,-,-,-
5,PS Ratio,6.77,5.55,5.02,5.54,5.80,4.03,3.95,4.29,3.56,-,-,-,-,-,-,-
6,PB Ratio,4.59,3.79,3.50,3.53,3.65,2.69,2.85,3.14,2.97,-,-,-,-,-,-,-
7,P/TBV Ratio,3.97,3.97,3.68,3.59,3.73,2.74,2.90,3.20,3.00,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,43.01,-,32.22,22.72,-,187.82,-14917.50,-,-,-,-,-,-,-
9,P/OCF Ratio,19.27,19.27,13.77,22.16,21.77,15.36,58.81,74.02,123.11,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.87,4.59,3.96,4.50,4.73,3.07,2.99,3.42,2.81,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,55.80,43.69,35.86,35.95,37.98,22.20,18.43,18.18,14.48,-,-,-,-,-,-,-
12,EV/EBIT Ratio,68.39,51.59,41.84,41.00,43.43,24.86,20.20,19.66,15.50,-,-,-,-,-,-,-
13,EV/FCF Ratio,-394.55,-,33.92,-,26.28,17.29,-,149.70,-11775.40,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,0.00
15,Debt / EBITDA Ratio,0.04,0.02,0.11,0.03,0.04,0.02,0.05,0.06,0.03,0.01,0.01,0.01,0.01,-,-,0.01
16,Debt / FCF Ratio,-,-,0.05,-,0.03,0.03,-,0.25,-18.32,-,-,0.02,0.02,-,-,0.10
17,Asset Turnover,0.57,0.46,0.40,0.50,0.60,0.46,0.37,0.61,0.88,-,-,-,-,-,-,
18,Inventory Turnover,12.20,14.11,13.63,11.86,15.50,14.59,12.62,9.92,12.45,11.35,-,-,-,-,-,-
19,Quick Ratio,2.35,2.35,2.61,3.06,3.08,3.21,3.61,3.58,3.24,2.99,1.80,-,1.67,-,-,-
20,Current Ratio,2.50,2.50,2.73,3.18,3.18,3.33,3.74,3.70,3.36,3.16,1.97,-,1.82,-,-,-
21,Return on Equity (ROE),7.48%,4.87%,6.77%,6.75%,11.97%,8.36%,6.80%,10.40%,27.10%,40.86%,30.19%,-,-,-,-,
22,Return on Assets (ROA),4.70%,0.83%,3.01%,2.22%,5.62%,2.61%,2.74%,4.66%,12.27%,-,-,-,-,-,-,
23,Return on Capital (ROIC),6.58%,1.13%,4.10%,3.03%,7.52%,3.44%,3.69%,6.47%,18.61%,21.58%,23.18%,-,-,-,-,
24,Return on Capital Employed (ROCE),5.82%,6.04%,6.58%,6.98%,6.85%,8.22%,10.63%,12.66%,15.06%,16.03%,31.73%,-,29.72%,-,-,-
25,Earnings Yield,1.52%,1.84%,2.36%,2.37%,2.27%,3.41%,3.90%,4.17%,4.91%,-,-,-,-,-,-,-
26,FCF Yield,-0.22%,-0.27%,2.33%,1.57%,3.10%,4.40%,0.74%,0.53%,-0.01%,-,-,-,-,-,-,-
27,Dividend Yield,0.92%,-,-,-,1.16%,-,-,-,1.09%,-,-,-,-,-,-,-
28,Payout Ratio,62.57%,15.77%,300.81%,-,-,-,149.69%,-,-,-,55.76%,-,-,14.22%,45.65%,45.65%
29,Buyback Yield / Dilution,0.99%,2.50%,-0.84%,2.47%,1.29%,-34.29%,-31.46%,-34.91%,-33.69%,0.20%,1.56%,-0.43%,-,-,-,-
30,Total Shareholder Return,1.91%,2.50%,-0.84%,2.47%,2.45%,-34.29%,-31.46%,-34.91%,-32.59%,0.20%,1.56%,-0.43%,-,-,-,-
