,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,616.03,555.07,419.91,231.55,640.34,201.43,171.26,520.15,680.7,194.5,-,194.13,-,-,-
1,Trading Asset Securities,51.51,172.48,383.55,583.07,135.72,526.84,591.49,188.29,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,667.54,727.55,803.46,814.63,776.06,728.28,762.74,708.44,680.7,194.5,194.13,194.13,-,-,131.69
3,Cash Growth,-13.98%,-0.10%,5.34%,14.99%,14.01%,274.43%,292.90%,264.93%,-,-,47.42%,-,-,-,-
4,Accounts Receivable,395.29,370.93,462.88,518.25,537.41,517.11,517.81,592.32,619.16,452.65,-,417.14,-,-,-
5,Other Receivables,0.53,0.24,0.63,0.43,0.64,0.12,0.51,0.53,0.47,0.03,-,0.59,-,-,-
6,Receivables,395.82,371.17,463.51,518.68,538.05,517.22,518.32,592.85,619.63,452.68,-,417.73,-,-,-
7,Inventory,52.58,41.71,47.51,37.54,47.17,43.38,40.52,46.34,64.85,61.36,-,55.46,-,-,-
8,Other Current Assets,15.41,6.79,3.26,3.44,3,1.35,1.09,2.21,5.08,2.49,-,0.77,-,-,-
9,Total Current Assets,1131,1147,1318,1374,1364,1290,1323,1350,1370,711.04,-,668.09,-,-,-
10,"Property, Plant & Equipment",298.18,248.62,180.43,156.91,145.62,117.49,116.41,112.52,109.13,108.28,-,106.41,-,-,-
11,Long-Term Investments,11.34,10.75,10.07,10.02,-,-,-,-,-,-,-,-,-,-,-
12,Other Intangible Assets,55.25,55.81,22.16,22.17,20.54,20.68,22.31,12.4,12.52,12.73,-,13.14,-,-,-
13,Long-Term Deferred Tax Assets,10.22,6.96,5.9,5.9,4.25,4.04,4.25,4.25,4.25,4.2,-,4.25,-,-,-
14,Long-Term Deferred Charges,3.94,2.76,2.96,3.15,4.85,3.41,3.6,3.79,-,4.1,-,-,-,-,-
15,Other Long-Term Assets,50,37.03,45.14,10.55,0.13,6.77,0.49,9.96,-,1.19,-,4.09,-,-,-
16,Total Assets,1560,1509,1584,1583,1540,1443,1470,1493,1496,841.53,-,795.98,-,-,-
17,Accounts Payable,432.36,382.48,391.9,406.09,388.1,326.47,337.04,378.51,413.73,340.47,-,342.46,-,-,-
18,Accrued Expenses,12.59,11.19,16.02,14.49,10.86,9.36,13.89,13.53,9.66,9.16,-,14.35,-,-,-
19,Current Portion of Leases,2.11,2.07,1.89,2.98,2.92,1.94,-,2.24,0.28,0.98,-,0.89,-,-,-
20,Current Income Taxes Payable,4.69,0.21,1.52,3.05,7.47,2.62,6.28,3.26,10.04,6,-,4.8,-,-,-
21,Current Unearned Revenue,0.22,0.25,0.79,0.92,0.08,0.03,0.04,0.13,0.09,0.09,-,0.04,-,-,-
22,Other Current Liabilities,0.6,24.71,1.81,4.68,0.5,4.46,0.22,4.28,0.5,3.43,-,4.09,-,-,-
23,Total Current Liabilities,452.57,420.91,413.93,432.22,409.92,344.88,357.47,401.96,434.29,360.13,-,366.63,-,-,-
24,Long-Term Leases,1.08,2.21,0.48,0.38,0.46,1.65,4.68,1.72,1.21,0.74,-,1.21,-,-,-
25,Long-Term Unearned Revenue,2.7,0.77,0.85,0.89,0.95,1.01,1.05,1.19,1.27,1.36,-,1.51,-,-,-
26,Long-Term Deferred Tax Liabilities,0.51,0.52,0.58,0.58,0.63,0.59,0.63,0.63,-,-,-,-,-,-,-
27,Total Liabilities,456.86,424.41,415.83,434.06,411.96,348.13,363.82,405.5,436.78,362.22,-,369.35,-,-,-
28,Common Stock,134.85,134.85,96.32,96.32,96.32,96.32,68.8,68.8,68.8,51.6,-,51.6,-,-,-
