,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,222.4,174.63,158.12,195.33,222.58,167.02,136.83,226.22,258.61,186.88,233.08,219.72,204.53,161.87,161.87
1,Other Revenue,-4.19,4.19,-,1.52,-0.31,0.31,-,0.5,-0.19,0.19,-,1.93,-0.81,0.41,0.41
2,Revenue,218.21,178.82,158.12,196.85,222.26,167.33,136.83,226.72,258.42,187.08,233.08,221.65,203.72,162.28,162.28
3,Revenue Growth (YoY),-1.82%,6.87%,15.56%,-13.17%,-13.99%,-10.56%,-41.29%,2.29%,26.85%,15.28%,43.63%,-,-,-,-
4,Cost of Revenue,166.25,152.03,126.11,164.17,165.09,132.37,107.72,173.02,178.98,134.78,174.98,169.96,144.7,121.06,121.06
5,Gross Profit,51.96,26.79,32.02,32.68,57.17,34.96,29.11,53.7,79.44,52.3,58.1,51.69,59.02,41.22,41.22
6,"Selling, General & Admin",9.92,10.71,9.94,11.97,12.65,8.47,10.08,13.99,9.73,8.96,7.07,9.62,9.02,7.57,7.57
7,Research & Development,13.13,11.67,9.7,7.85,7.73,7.78,7.14,11.11,8.36,6.43,6.4,7.23,5.94,5.85,5.85
8,Other Operating Expenses,-3.25,1.66,-0.03,-2.8,-0.26,0.8,-0.12,1.72,0.91,0.15,2.57,1.08,0.46,0.85,0.85
9,Operating Expenses,23.08,21.67,12.96,18.83,23.63,19.74,12.85,25.83,22.06,13.03,18.34,17.83,19.18,14.27,14.27
10,Operating Income,28.88,5.12,19.06,13.84,33.54,15.21,16.26,27.87,57.38,39.27,39.75,33.86,39.85,26.95,26.95
11,Interest Expense,-0.11,-0.17,-0.09,-0.41,-,-0.32,-0.06,-0.26,-0.05,-0.14,-0.06,-0.11,-0.08,-0.06,-0.06
12,Interest & Investment Income,4.07,4.45,3.8,0.69,12.67,2.52,2.11,1.96,0.2,0.21,0.14,0.16,0.15,0.19,0.19
13,Currency Exchange Gain (Loss),-1.47,1.47,-,5.93,-5.55,5.55,-,15.25,-11.83,11.83,-,-3.05,0.99,-0.49,-0.49
14,Other Non Operating Income (Expenses),-0.17,-0.08,-0.04,-5.73,5.55,1.21,-1.38,-17.29,17.19,0.72,-0.9,0.41,-0.54,-0.05,-0.05
15,EBT Excluding Unusual Items,31.2,10.8,22.73,14.32,46.21,24.18,16.92,27.54,62.9,51.89,38.93,31.27,40.37,26.54,26.54
16,Gain (Loss) on Sale of Investments,-0.91,-1.02,0.47,2.18,-6.12,2.81,3.19,1.49,-,-0.18,-0.46,-0.4,-0.31,-0.36,-0.36
17,Gain (Loss) on Sale of Assets,0.02,0.1,-,0.01,-,-0.25,-,-0.91,-,-,-,-1.86,-0.19,-,-
18,Asset Writedown,-4.88,0.56,-0.56,1.92,-1.92,-0.96,0.96,2.98,-2.98,0.6,-0.6,-1.33,-1.97,-,-
19,Other Unusual Items,-3.45,3.5,-0.05,2.13,-,-,-,0.52,-,-,-,0.58,-,-,-
20,Pretax Income,21.97,13.94,22.59,20.56,38.17,25.77,21.07,31.61,59.92,52.31,37.87,28.26,37.89,26.17,26.17
21,Income Tax Expense,1.52,0.21,2.98,1.36,4.93,2.79,2.44,3.71,7.8,6.04,5.68,4.21,4.21,3.16,3.16
22,Earnings From Continuing Operations,20.45,13.73,19.62,19.21,33.24,22.98,18.64,27.89,52.12,46.27,32.2,24.05,33.69,23.01,23.01
23,Minority Interest in Earnings,0.8,1.16,1.42,0.58,0.7,-,-,-,-,-,-,-,-,-,-
24,Net Income,21.26,14.9,21.04,19.78,33.93,22.98,18.64,27.89,52.12,46.27,32.2,24.05,33.69,23.01,23.01
25,Net Income to Common,21.26,14.9,21.04,19.78,33.93,22.98,18.64,27.89,52.12,46.27,32.2,24.05,33.69,23.01,23.01
26,Net Income Growth,-37.36%,-35.18%,12.91%,-29.08%,-34.89%,-50.34%,-42.12%,15.98%,54.72%,101.08%,39.90%,-,-,-,-
27,Shares Outstanding (Basic),133,132,134,132,136,131,137,134,101,100,102,100,102,101,101
28,Shares Outstanding (Diluted),133,132,134,132,136,131,137,134,101,100,102,100,102,101,101
29,Shares Change (YoY),-2.50%,0.84%,-2.47%,-1.29%,34.29%,31.46%,34.91%,33.69%,-0.20%,-1.56%,0.43%,-,-,-,-
30,EPS (Basic),0.16,0.11,0.16,0.15,0.25,0.18,0.14,0.21,0.51,0.46,0.32,0.24,0.33,0.23,0.23
31,EPS (Diluted),0.16,0.11,0.16,0.15,0.25,0.18,0.14,0.21,0.51,0.46,0.32,0.24,0.33,0.23,0.23
32,EPS Growth,-35.75%,-35.72%,15.77%,-28.15%,-51.52%,-62.22%,-57.10%,-13.24%,55.03%,104.26%,39.31%,-,-,-,-
33,Free Cash Flow,-54.18,14.8,-14.57,42.78,45.26,-8.68,50.94,46.04,-65.12,-13.37,32.24,44.88,28.01,11.05,11.05
34,Free Cash Flow Per Share,-0.41,0.11,-0.11,0.32,0.33,-0.07,0.37,0.34,-0.64,-0.13,0.32,0.45,0.28,0.11,0.11
35,Dividend Per Share,-,-,-,0.357,-,-,-,0.255,-,-,-,0.255,-,-,-
36,Dividend Growth,-,-,-,39.98%,-,-,-,0%,-,-,-,-,-,-,-
37,Gross Margin,23.81%,14.98%,20.25%,16.60%,25.72%,20.89%,21.28%,23.68%,30.74%,27.96%,24.93%,23.32%,28.97%,25.40%,25.40%
38,Operating Margin,13.23%,2.86%,12.05%,7.03%,15.09%,9.09%,11.88%,12.29%,22.20%,20.99%,17.06%,15.28%,19.56%,16.61%,16.61%
39,Profit Margin,9.74%,8.33%,13.31%,10.05%,15.27%,13.73%,13.62%,12.30%,20.17%,24.73%,13.81%,10.85%,16.54%,14.18%,14.18%
40,Free Cash Flow Margin,-24.83%,8.27%,-9.22%,21.73%,20.36%,-5.19%,37.23%,20.31%,-25.20%,-7.15%,13.83%,20.25%,13.75%,6.81%,6.81%
41,EBITDA,31.88,8.19,22.07,16.85,36.39,17.83,19.11,30.72,60.26,42.11,42.64,36.74,42.71,29.81,29.81
42,EBITDA Margin,14.61%,4.58%,13.95%,8.56%,16.37%,10.65%,13.96%,13.55%,23.32%,22.51%,18.29%,16.58%,20.96%,18.37%,18.37%
43,D&A For EBITDA,3.01,3.07,3.01,3.01,2.85,2.62,2.85,2.85,2.88,2.85,2.88,2.88,2.86,2.86,2.86
44,EBIT,28.88,5.12,19.06,13.84,33.54,15.21,16.26,27.87,57.38,39.27,39.75,33.86,39.85,26.95,26.95
45,EBIT Margin,13.23%,2.86%,12.05%,7.03%,15.09%,9.09%,11.88%,12.29%,22.20%,20.99%,17.06%,15.28%,19.56%,16.61%,16.61%
46,Effective Tax Rate,6.91%,1.47%,13.17%,6.59%,12.92%,10.83%,11.58%,11.75%,13.01%,11.54%,14.99%,14.90%,11.10%,12.07%,12.07%
47,Revenue as Reported,218.21,178.82,158.12,196.85,222.26,167.33,136.83,226.72,258.42,187.08,233.08,221.65,203.72,162.28,162.28
