,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Cash & Equivalents,5851,856.16,1466,1466,6227,5918,1186,225.91,1098,-,5234,-,1065,3259,1526,1165,-,2906,901.79,1078,Upgrade
1,Short-Term Investments,31500,23000,19000,19000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
2,Cash & Short-Term Investments,37351,23856,20466,20466,6227,5918,1186,225.91,1098,-,5234,-,1065,3259,1526,1165,-,2906,901.79,1078,Upgrade
3,Cash Growth,499.80%,303.13%,1625.21%,8959.09%,467.35%,-,-77.34%,-,3.03%,-,242.91%,-,-,12.16%,69.27%,8.09%,-,0.82%,-51.79%,18.93%,Upgrade
4,Accounts Receivable,12052,18655,12029,12029,11476,12677,14202,9501,11621,-,11883,-,12575,16775,13967,18317,-,28052,30105,25975,Upgrade
5,Other Receivables,746.2,690.63,716.2,716.2,530.76,534.34,72.52,394.23,252.07,-,665.12,-,377.92,480.7,234.93,628.53,-,704.49,825.41,970.57,Upgrade
6,Receivables,12798,19346,12745,12745,12007,13212,14274,9895,11873,-,12548,-,12953,17255,14202,18945,-,28756,30931,26945,Upgrade
7,Inventory,44879,49641,49470,49470,49145,57765,57531,68191,68234,-,50090,-,53657,48156,47840,52162,-,52094,49826,53396,Upgrade
8,Prepaid Expenses,17.25,39.64,74.94,74.94,138.83,112.65,11.18,84.82,101.79,-,-,-,-,-,-,-,-,-,-,34.55,Upgrade
9,Other Current Assets,1254,4017,3055,3055,2453,2710,1484,1531,6116,-,1478,-,2160,2805,248.16,291.36,-,561.99,-,327.6,Upgrade
10,Total Current Assets,96300,96900,85810,85810,69971,79717,74487,79927,87423,-,69350,-,69835,71475,63817,72563,-,84318,81659,81781,Upgrade
11,"Property, Plant & Equipment",18637,20433,21731,21731,24087,25399,26778,27508,29188,-,32127,-,32274,31301,32933,34649,-,38387,40265,42234,Upgrade
12,Other Intangible Assets,1000,1000,1000,1000,1000,1000,1000,1000,1000,-,1021,-,1053,1068,1084,1100,-,1131,1147,1163,Upgrade
13,Other Long-Term Assets,630.19,350.19,377.74,377.74,447.44,181.1,248.74,140.57,157.76,-,95.29,-,-,-,-,31.52,-,127.03,195.95,279.72,Upgrade
14,Total Assets,116567,118684,108919,108919,95505,106297,102514,108575,117768,-,102594,-,103162,103845,97834,108344,-,123963,123267,125457,Upgrade
15,Accounts Payable,4941,2643,3268,3268,5149,19690,5134,2480,8756,-,5514,-,2176,4633,3868,3232,-,20153,14293,11401,Upgrade
16,Accrued Expenses,2881,2591,6023,6023,3925,3132,4054,5140,5432,-,4888,-,4941,5088,5258,5010,-,4677,5203,3096,Upgrade
17,Short-Term Debt,27427,29880,15083,15083,4404,385.09,9607,18992,16031,-,8098,-,15605,11244,5920,18123,-,17584,553.09,32495,Upgrade
18,Current Income Taxes Payable,336.41,759.81,1092,1092,121.78,149.82,285.54,492.56,158.98,-,20.87,-,449.15,652.13,271.2,811.05,-,318.03,107.81,576.79,Upgrade
19,Other Current Liabilities,392.17,4416,3914,3914,4845,3144,3773,2069,8666,-,2155,-,2583,2269,3832,3571,-,2370,24771,1919,Upgrade
20,Total Current Liabilities,35978,40290,29381,29381,18445,26501,22854,29174,39044,-,20675,-,25755,23886,19149,30747,-,45103,44928,49488,Upgrade
21,Long-Term Debt,-,-,-,-,-,-,706.94,1478,1709,-,2480,-,-,-,-,-,-,-,-,-,Upgrade
22,Other Long-Term Liabilities,181.22,170.93,170.93,170.93,160.93,160.93,92.55,90.37,90.37,-,90.37,-,90.37,95.37,15,15,-,15,15,15,Upgrade
23,Total Liabilities,36159,40461,29552,29552,18606,26662,23654,30742,40844,-,23246,-,25845,23981,19164,30762,-,45118,44943,49503,Upgrade
24,Common Stock,67455,67455,67455,67455,67455,67455,67455,67455,67455,-,67455,-,67455,67455,67455,67455,-,67455,67455,67455,Upgrade
25,Retained Earnings,12953,10767,11912,11912,9444,12180,11405,10378,9470,-,11893,-,9862,12409,11216,10127,-,11390,10869,8499,Upgrade
26,Shareholders' Equity,80408,78222,79367,79367,76899,79635,78860,77833,76924,-,79348,-,77317,79863,78670,77582,-,78845,78324,75954,Upgrade
27,Total Liabilities & Equity,116567,118684,108919,108919,95505,106297,102514,108575,117768,-,102594,-,103162,103845,97834,108344,-,123963,123267,125457,Upgrade
28,Total Debt,27427,29880,15083,15083,4404,385.09,10314,20470,17740,-,10578,-,15605,11244,5920,18123,-,17584,553.09,32495,Upgrade
29,Net Cash (Debt),9924,-6024,5383,5383,1823,5533,-9128,-20244,-16642,-,-5344,-,-14539,-7984,-4393,-16958,-,-14678,348.7,-31417,Upgrade
30,Net Cash Growth,444.34%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
