,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019",+20 Quarters
0,Market Capitalization,275890,290056,371001,296801,317712,236092,249583,114673,77573,70153,87017,60709,80946,60709,64757,59360,53964,47218,47218,47218,47218,Upgrade
1,Market Cap Growth,152.94%,22.86%,48.65%,158.82%,309.57%,236.54%,186.82%,88.89%,-4.17%,15.56%,34.38%,2.27%,50.00%,28.57%,37.14%,25.71%,14.29%,-15.66%,-15.66%,-39.13%,-30.00%,Upgrade
2,Enterprise Value,265966,296080,365619,294536,315889,230559,269827,134917,94215,84720,92360,75249,95485,68694,69150,76319,68642,61897,46870,78636,70230,Upgrade
3,Last Close Price,40900.00,43000.00,54418.63,43534.90,46602.14,34147.73,36099.02,16586.04,11219.97,10146.75,11956.58,8341.80,11122.40,8341.80,8429.61,7727.14,7024.67,5707.55,5707.55,5707.55,5707.55,Upgrade
4,PE Ratio,52.91,-,56.51,68.85,78.93,63.82,80.76,33.24,23.39,19.79,19.16,13.18,16.87,11.75,13.13,13.16,10.63,10.21,11.16,10.52,15.04,Upgrade
5,PS Ratio,1.52,1.77,2.20,1.87,1.93,1.37,1.40,0.63,0.40,0.36,0.48,0.34,0.47,0.37,0.40,0.36,0.29,0.23,0.22,0.22,0.23,Upgrade
6,PB Ratio,3.43,3.61,4.74,3.74,4.00,3.07,3.13,1.45,1.00,0.91,-,0.77,-,0.79,0.81,0.75,0.70,-,0.60,0.60,0.62,Upgrade
7,P/TBV Ratio,3.65,3.65,4.80,3.79,4.05,3.11,3.17,1.47,1.01,0.92,-,0.78,-,0.80,0.82,0.77,0.71,-,0.61,0.61,0.63,Upgrade
8,P/FCF Ratio,38.59,-,-,16.75,22.78,-,17.31,-,-,-,-,-,-,-,-,4.09,-,2.37,-,0.87,-,Upgrade
9,P/OCF Ratio,31.81,-,-,16.64,22.60,-,17.31,-,-,-,-,-,-,-,-,4.05,-,2.37,-,0.83,-,Upgrade
10,EV/Sales Ratio,1.46,1.80,2.17,1.86,1.92,1.34,1.52,0.74,0.49,0.44,0.51,0.42,0.56,0.42,0.42,0.46,0.36,0.30,0.22,0.36,0.34,Upgrade
11,EV/EBITDA Ratio,25.52,26.96,27.95,27.54,28.62,20.50,24.32,11.49,8.72,7.93,7.85,6.22,7.66,5.15,5.05,5.71,4.53,4.07,3.12,4.89,4.71,Upgrade
12,EV/EBIT Ratio,49.07,-,47.53,57.19,60.88,45.23,57.96,26.95,22.93,21.02,17.70,13.91,17.19,11.13,11.14,13.10,9.14,8.41,6.71,9.77,10.12,Upgrade
13,EV/FCF Ratio,37.20,-,-,16.62,22.65,-,18.72,-,-,-,-,-,-,-,-,5.26,-,3.11,-,1.45,-,Upgrade
14,Debt / Equity Ratio,0.34,0.34,0.38,0.19,0.19,0.06,0.00,0.13,0.26,0.23,-,0.13,-,0.20,0.14,0.08,0.23,-,0.22,0.01,0.43,Upgrade
15,Debt / EBITDA Ratio,2.63,26.35,1.57,1.24,1.30,0.47,0.04,0.76,1.64,2.01,-,1.07,-,1.19,0.84,0.52,1.17,-,1.44,0.03,2.08,Upgrade
16,Debt / FCF Ratio,3.84,-,-,0.85,1.08,-,0.03,-,-,-,-,-,-,-,-,0.41,-,-,-,0.01,-,Upgrade
17,Asset Turnover,-,1.78,1.33,1.38,1.83,-,1.59,1.52,-,-,-,-,1.46,1.82,1.66,-,-,1.51,2.17,-,Upgrade,
18,Inventory Turnover,3.29,-,3.38,2.50,2.42,2.97,-,2.24,2.15,-,-,-,-,2.50,3.21,2.87,-,-,3.13,4.41,-,Upgrade
19,Quick Ratio,1.39,1.39,1.07,1.13,1.13,0.99,0.72,0.68,0.35,0.33,-,0.86,-,0.54,0.86,0.82,0.65,-,0.70,0.71,0.57,Upgrade
20,Current Ratio,2.68,2.68,2.41,2.92,2.92,3.79,3.01,3.26,2.74,2.24,-,3.35,-,2.71,2.99,3.33,2.36,-,1.87,1.82,1.65,Upgrade
21,Return on Equity (ROE),-,15.38%,6.62%,6.32%,5.05%,-,5.24%,4.69%,-,-,-,-,7.01%,6.04%,5.57%,-,-,3.96%,8.57%,-,Upgrade,
22,Return on Assets (ROA),-,7.76%,3.84%,3.73%,2.39%,-,4.05%,3.17%,-,-,-,-,4.13%,3.80%,2.32%,-,-,2.33%,5.31%,-,Upgrade,
23,Return on Capital (ROIC),-,8.72%,4.43%,4.34%,2.99%,-,4.56%,3.71%,-,-,-,-,4.65%,4.36%,2.66%,-,-,3.29%,7.05%,-,Upgrade,
24,Return on Capital Employed (ROCE),6.73%,-,9.81%,6.48%,6.52%,6.61%,5.83%,6.29%,5.17%,5.12%,-,6.60%,-,7.98%,7.76%,7.41%,9.68%,-,8.86%,10.28%,9.14%,Upgrade
25,Earnings Yield,1.89%,1.73%,1.77%,1.45%,1.27%,1.57%,1.24%,3.01%,4.28%,5.05%,5.22%,7.59%,5.93%,8.51%,7.62%,7.60%,9.41%,9.80%,8.96%,9.50%,6.65%,Upgrade
26,FCF Yield,2.59%,-,-2.25%,5.97%,4.39%,4.21%,5.78%,-,-12.20%,-,-14.90%,-,6.25%,9.22%,18.93%,24.44%,-,42.17%,56.07%,114.57%,-,Upgrade
27,Dividend Yield,1.36%,-,-,1.28%,-,-,-,-,-,-,-,-,-,-,-,6.47%,-,-,-,-,-,Upgrade
28,Payout Ratio,71.92%,-,-,128.41%,136.67%,-,-,-,371.40%,-,-,-,-,245.00%,-,-,-,-,-,-,-,Upgrade
29,Buyback Yield / Dilution,0.07%,-0.09%,-0.11%,0.36%,-0.20%,0.89%,0.16%,-0.51%,0.02%,-0.59%,0.18%,0.56%,0.16%,0.20%,0.01%,-0.23%,0.16%,-0.28%,-0.18%,0.39%,-,Upgrade
30,Total Shareholder Return,1.43%,-0.09%,-0.11%,1.64%,-0.20%,0.89%,0.16%,-0.51%,0.02%,-0.59%,0.18%,0.56%,0.16%,0.20%,0.01%,6.24%,0.16%,-0.28%,-0.18%,0.39%,-,Upgrade
