,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,32107,17332,10310,12543,16236,17129,24273,29951,32259,28589,24579,Upgrade
1,Market Cap Growth,38.19%,38.19%,-36.50%,-26.78%,-33.11%,-42.81%,-24.75%,4.76%,31.25%,34.00%,-10.68%,Upgrade
2,Enterprise Value,49001,33439,25303,26061,29027,28733,35398,40145,42460,37321,33235,Upgrade
3,Last Close Price,7.91,4.27,2.47,3.00,3.74,3.95,5.32,6.56,6.88,6.10,5.12,Upgrade
4,PE Ratio,33.60,18.13,11.36,13.82,17.93,19.70,28.66,37.00,40.95,73.56,-,Upgrade
5,Forward PE,28.62,16.87,10.47,12.04,16.40,18.35,23.83,30.61,36.09,36.10,33.12,Upgrade
6,PS Ratio,11.25,6.07,3.86,4.96,6.92,7.79,11.64,15.39,17.21,30.97,-,Upgrade
7,PB Ratio,6.23,3.36,2.01,2.70,3.49,4.09,5.29,7.32,7.25,7.10,5.68,Upgrade
8,P/TBV Ratio,3.37,3.37,2.02,2.70,3.49,4.10,5.30,7.35,7.27,7.12,5.70,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,49.75,-,Upgrade
10,P/OCF Ratio,-,-,6.49,7.12,11.02,12.24,18.26,23.51,25.47,49.75,-,Upgrade
11,EV/Sales Ratio,17.17,11.72,9.46,10.31,12.37,13.07,16.97,20.63,22.66,40.43,-,Upgrade
12,EV/EBITDA Ratio,26.10,20.16,15.52,16.75,19.85,20.72,27.04,32.55,36.37,56.38,-,Upgrade
13,EV/EBIT Ratio,35.12,23.97,19.99,21.18,24.79,26.26,33.98,40.39,44.21,79.41,-,Upgrade
14,EV/FCF Ratio,-,-,-,-,-,-,-,-,-,64.95,-,Upgrade
15,Debt / Equity Ratio,3.38,3.38,3.24,3.31,2.95,3.11,2.59,2.80,2.37,2.60,2.11,Upgrade
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,18.25,-,Upgrade
17,Return on Capital Employed (ROCE),6.07%,6.07%,5.72%,7.10%,6.25%,7.19%,7.19%,7.19%,6.27%,3.17%,-,Upgrade
18,Earnings Yield,2.98%,5.51%,8.80%,7.24%,5.58%,5.08%,3.49%,2.70%,2.44%,1.36%,-,Upgrade
19,FCF Yield,-,-13.47%,-6.85%,-2.91%,-3.57%,-1.71%,-3.88%,-1.71%,2.01%,-,Upgrade,
20,Buyback Yield / Dilution,-,-,-,0.07%,0.11%,0.03%,-0.19%,-,-0.09%,-,Upgrade,
21,Total Shareholder Return,1.42%,-,-,-,0.07%,0.11%,0.03%,-0.19%,-,-0.09%,-,Upgrade
