,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,3156,2263,2976,2105,2360,1601,2485,1812,2315,963.96
1,Revenue Growth (YoY),6.08%,7.48%,26.08%,31.47%,-5.02%,-11.61%,7.35%,87.93%,8.39%,-27.57%
2,Cost of Revenue,1100,739.86,1028,714.33,833.8,567.62,910.88,639.36,889.51,448.98
3,Gross Profit,2056,1523,1948,1391,1526,1034,1574,1172,1425,514.98
4,"Selling, General & Admin",1292,1161,1172,1112,1028,901.24,987.38,940.82,816.62,634.16
5,Other Operating Expenses,-65.85,-41.15,-26.49,-55.8,-10.01,-25.18,-19.54,-5.37,-30.81,-11.95
6,Operating Expenses,1227,1124,1146,1054,1018,881.23,967.84,932.83,785.81,628.41
7,Operating Income,829.66,398.67,801.95,336.7,507.8,152.33,605.96,239.37,639.34,-113.43
8,Interest Expense,-16.1,-17.57,-20.22,-22.67,-22.67,-21.31,-17.08,-20.26,-9.14,-8.97
9,Interest & Investment Income,23.73,26.14,22.94,18.15,17.49,18.33,18.75,16.01,10.42,8.45
10,Earnings From Equity Investments,-0.23,-1.35,-,-,-,-,-,-,-,-
11,Currency Exchange Gain (Loss),2.97,10.35,3.12,2.43,4.78,1.74,3.59,3.08,2.62,-1.46
12,Other Non Operating Income (Expenses),-,-2.07,-,1.96,-,2.1,-2.51,2.45,-3.26,-1.17
13,EBT Excluding Unusual Items,840.03,414.16,807.79,336.57,507.4,153.18,608.71,240.64,639.99,-116.57
14,Gain (Loss) on Sale of Investments,-3,-13.06,0.27,3.47,7.32,7.85,6.37,2.63,2.87,3.93
15,Gain (Loss) on Sale of Assets,-0.36,-0.38,-0.25,-0.02,-0.18,-0.36,-0.48,-0.36,-0.28,0.56
16,Asset Writedown,-,4.14,-,-3.91,-,-,-,-,-,-0.89
17,Other Unusual Items,-,0.44,-,0.17,-,0.36,-,1.11,-,-
18,Pretax Income,836.67,405.3,807.81,336.28,514.55,161.03,614.6,244.01,642.58,-112.98
19,Income Tax Expense,232.69,131.27,233.7,86.7,142.84,45.99,170.77,60.35,179.04,-29.8
20,Earnings From Continuing Operations,603.98,274.03,574.11,249.57,371.71,115.04,443.83,183.66,463.53,-83.19
21,Minority Interest in Earnings,-4.44,0.94,0.01,0,0.01,0,0,0,0,0.01
22,Net Income,599.55,274.97,574.12,249.58,371.72,115.04,443.84,183.67,463.54,-83.18
23,Net Income to Common,599.55,274.97,574.12,249.58,371.72,115.04,443.84,183.67,463.54,-83.18
24,Net Income Growth,4.43%,10.17%,54.45%,116.94%,-16.25%,-37.36%,-4.25%,-,7.83%,-
25,Shares Outstanding (Basic),513,509,505,502,500,498,498,497,499,507
26,Shares Outstanding (Diluted),519,522,516,513,504,506,506,505,500,514
27,Shares Change (YoY),0.59%,1.80%,2.24%,1.28%,-0.37%,0.30%,1.36%,-1.81%,-2.71%,-0.02%
28,EPS (Basic),1.17,0.54,1.14,0.50,0.74,0.23,0.89,0.37,0.93,-0.16
29,EPS (Diluted),1.16,0.53,1.11,0.48,0.74,0.22,0.88,0.36,0.93,-0.17
30,EPS Growth,4.50%,10.64%,50.00%,119.23%,-15.91%,-39.40%,-5.18%,-,10.48%,-
31,Free Cash Flow,726.22,453.26,1014,469.28,321.11,23.25,695.19,166.77,1046,-18.54
32,Free Cash Flow Per Share,1.40,0.87,1.97,0.92,0.64,0.05,1.37,0.33,2.09,-0.04
33,Dividend Per Share,0.430,0.810,0.420,0.630,0.270,0.490,0.320,0.610,0.330,-
34,Dividend Growth,2.38%,28.57%,55.56%,28.57%,-15.63%,-19.67%,-3.03%,-,-,-
35,Operating Margin,26.28%,17.62%,26.95%,15.99%,21.52%,9.51%,24.39%,13.21%,27.62%,-11.77%
36,Profit Margin,18.99%,12.15%,19.29%,11.86%,15.75%,7.18%,17.86%,10.14%,20.03%,-8.63%
37,Free Cash Flow Margin,23.01%,20.03%,34.09%,22.29%,13.61%,1.45%,27.98%,9.21%,45.18%,-1.92%
38,EBITDA,894.6,455.42,865,398.47,563.1,204.8,646.31,278.49,668.85,-84.82
39,D&A For EBITDA,64.94,56.75,63.05,61.77,55.29,52.46,40.34,39.12,29.51,28.61
40,EBIT,829.66,398.67,801.95,336.7,507.8,152.33,605.96,239.37,639.34,-113.43
