,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,739.7,698.65,1093,525.15,657.79,591.75,853.18,549.01,893.3,336.67
1,Short-Term Investments,967.44,826.74,502.27,611.03,349.93,491.62,506.38,836.31,611.98,341.12
2,Trading Asset Securities,152.46,20.48,40.28,-,60.14,-,30.1,131.06,91.66,263.09
3,Cash & Short-Term Investments,1860,1546,1636,1136,1068,1083,1390,1516,1597,940.89
4,Cash Growth,13.68%,36.06%,53.19%,4.88%,-23.16%,-28.56%,-12.98%,61.17%,58.41%,40.98%
5,Accounts Receivable,229.76,124.07,332.77,126.91,171.7,106.04,202.24,121.73,204.37,97.41
6,Other Receivables,33.51,26.95,1.16,13.89,3.66,5.46,3.8,1.24,6.23,23.3
7,Receivables,263.27,151.02,333.93,140.79,175.37,111.5,306.96,122.97,210.59,120.71
8,Inventory,991.44,720.11,750.93,790.33,917.55,828.82,760.64,706.84,772.68,904.12
9,Prepaid Expenses,21.58,31.4,21.52,18.88,24.2,18.17,23.51,36.6,11.52,12.25
10,Restricted Cash,3.43,3.43,3.01,1.39,-,-,-,-,5.44,5.46
11,Other Current Assets,147.41,142.65,107.78,135.07,124.53,137.83,136.18,106.16,108.28,122.71
12,Total Current Assets,3287,2594,2853,2223,2310,2180,2617,2489,2705,2106
13,"Property, Plant & Equipment",1122,1069,1148,1233,1253,1171,1132,1038,910.81,520.26
14,Long-Term Investments,214.78,256.88,212.01,210.91,203.78,168.84,100.44,54.71,-,-
15,Goodwill,51.35,51.35,-,-,-,-,-,-,-,-
16,Other Intangible Assets,76.54,74.79,21.55,20.46,19.31,18.71,16.39,15.7,15.31,13.6
17,Long-Term Deferred Tax Assets,276.9,260.93,270.88,254.4,250.73,242.85,233.74,200.74,207.07,185.82
18,Other Long-Term Assets,67.86,64.6,24.41,16.84,17.63,15.68,23.54,20.17,9.07,8.39
19,Total Assets,5096,4372,4529,4066,4159,3900,4123,3819,3848,2834
20,Accounts Payable,421.23,266.32,347.7,242.14,285.26,297.92,362.63,262.38,286.38,185.84
21,Accrued Expenses,382.23,445.72,336.64,355.25,276.01,274.94,336.8,336.07,351.47,194.52
22,Short-Term Debt,49.73,-,-,99.51,198.54,148.87,148.95,243.62,192.98,187.68
23,Current Portion of Leases,252.64,220.67,239.19,254.63,272.47,220.07,179.98,154.77,145.8,117.18
24,Current Income Taxes Payable,102.92,16.27,87.74,6.97,32.52,63.62,158.13,38.11,170.8,6.22
25,Current Unearned Revenue,438.94,458.13,360.86,368.88,313.58,300.25,284.61,309.78,272.34,326.54
26,Other Current Liabilities,570.92,339.16,420.84,288.41,435.65,443.12,470.45,291.26,371.63,238.81
27,Total Current Liabilities,2219,1746,1793,1616,1814,1749,1942,1636,1791,1257
28,Long-Term Leases,386.74,380.08,441.56,462.71,501.86,449.31,466.83,444.6,340.19,69.97
29,Long-Term Deferred Tax Liabilities,35.7,34.42,22.99,5.32,14.92,12.2,17.83,16.4,18.12,14.56
30,Other Long-Term Liabilities,-,-,-,0.5,1.96,4.58,2.35,5.41,8.42,6.98
31,Total Liabilities,2641,2161,2258,2084,2333,2215,2429,2102,2158,1348
32,Common Stock,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62,4.62
33,Additional Paid-In Capital,501.03,510.01,509.35,507.82,508.32,508.25,509.65,668.31,667.08,665.52
34,Retained Earnings,1818,1633,1762,1510,1393,1281,1318,1173,1151,921.15
35,Treasury Stock,-21.94,-87.22,-88.46,-137.54,-145.94,-180.24,-174.61,-164.43,-169.97,-172.41
36,Comprehensive Income & Other,106.29,109.08,84.75,96.48,66.21,71.6,36.96,35.27,37.23,67.05
37,Total Common Equity,2408,2169,2272,1982,1827,1685,1695,1716,1690,1486
38,Minority Interest,46.77,42.33,-0.05,-0.04,-0.04,-0.03,-0.02,-0.02,-0.02,-0.02
39,Shareholders' Equity,2455,2212,2272,1982,1827,1685,1695,1716,1690,1486
40,Total Liabilities & Equity,5096,4372,4529,4066,4159,3900,4123,3819,3848,2834
41,Total Debt,689.12,600.75,680.74,816.85,972.87,818.25,795.76,842.99,678.96,374.83
42,Net Cash (Debt),1170,945.11,955.06,319.33,94.99,265.12,593.9,673.4,917.99,566.05
43,Net Cash Growth,22.56%,195.97%,905.48%,20.45%,-84.01%,-60.63%,-35.30%,18.96%,33.84%,-15.18%
44,Net Cash Per Share,2.26,1.81,1.85,0.62,0.19,0.52,1.17,1.33,1.84,1.10
45,Filing Date Shares Outstanding,515.99,508.86,507.87,502.01,501.03,497.28,498.02,498.5,510.42,499.83
46,Total Common Shares Outstanding,515.99,508.86,507.87,502.01,501.03,497.28,498.02,498.5,510.42,499.83
47,Working Capital,1068,848.2,1060,606.86,495.47,430.9,675.39,852.98,914.06,849.35
48,Book Value Per Share,4.67,4.26,4.47,3.95,3.65,3.39,3.40,3.44,3.31,2.97
49,Tangible Book Value,2280,2043,2250,1961,1807,1666,1678,1701,1674,1472
50,Tangible Book Value Per Share,4.42,4.02,4.43,3.91,3.61,3.35,3.37,3.41,3.28,2.95
51,Buildings,242.77,242.62,232.94,232.94,215.54,215.54,207.7,206.19,203.86,203.86
52,Machinery,198.01,181.94,180.69,175.44,171.51,163.54,151.13,132.88,123.26,107.41
53,Construction In Progress,-,-,-,-,-,-,-,0.1,-,34.07
54,Leasehold Improvements,409.8,342.72,345.12,344.35,323.21,297.04,297.04,253.26,225.4,135.32
