,Fiscal Quarter,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+8 Quarters
,Period Ending,"Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+8 Quarters
0,Operating Revenue,40194,40194,-51249,66938,37536,52116,47930,72965,43434,53314,48155,62391,40772,46643,49554,68985,41253,45132,33533,55446,Upgrade
1,Other Revenue,-,-,-,-,-,-,-,-,-0,-,0,-,-,-,1.24,-,-,-,-,-,Upgrade
2,Revenue,40194,40194,-51249,66938,37536,52116,47930,72965,43434,53314,48155,62391,40772,46643,49555,68985,41253,45132,33533,55446,Upgrade
3,Revenue Growth (YoY),7.08%,-22.88%,-,-8.26%,-13.58%,-2.25%,-0.47%,16.95%,6.53%,14.30%,-2.83%,-9.56%,-1.17%,3.35%,47.78%,24.42%,6.61%,15.44%,-53.58%,-33.98%,Upgrade
4,Cost of Revenue,25501,25501,-7252,26336,24893,30595,27978,29525,25973,30285,26197,29202,28211,31053,34255,35924,39066,29696,25263,25076,Upgrade
5,Gross Profit,14693,14693,-43997,40602,12643,21520,19952,43440,17461,23029,21958,33188,12561,15590,15301,33061,2186,15436,8270,30370,Upgrade
6,"Selling, General & Admin",37985,37985,21530,26485,26444,21584,23735,27512,21651,21325,21833,22907,26539,19231,29771,34648,41048,24686,22892,26813,Upgrade
7,Operating Expenses,37985,37985,21530,26485,26444,21584,23735,27512,21651,21325,21833,22907,26539,19231,29771,34648,41048,24686,22892,26813,Upgrade
8,Operating Income,-23292,-23292,-65527,14117,-13801,-63.62,-3783,15927,-4190,1704,125.15,10281,-13978,-3641,-14471,-1587,-38862,-9250,-14621,3557,Upgrade
9,Interest Expense,-9516,-9516,-18231,-2911,-920.97,-428.25,-76.09,-51.57,-131.88,-,-1088,-49.87,-56918,-2294,-16044,-11902,-8966,-1978,-3316,-920.81,Upgrade
10,Interest & Investment Income,5296,5296,-,12380,9913,6025,10363,2670,10258,11008,12235,-,-,5342,29461,1174,-,487.9,-,1672,Upgrade
11,Earnings From Equity Investments,-149.06,-149.06,-2263,-,-1394,-,-1967,-,-659.82,-,-107.72,-,-632.75,-,-853.71,-,-,-,-,-,Upgrade
12,Currency Exchange Gain (Loss),-79.29,-79.29,3.59,-,-212.76,22.86,16.01,-,-144.76,-,-,-,-412.93,-,-,-,-2178,-,-229.04,-,Upgrade
13,Other Non Operating Income (Expenses),75.72,75.72,4303,-4597,3238,41.8,67.98,50.98,1471,22.32,-1129,465.14,1681,-141.39,-3228,-111.77,10742,2003,-8.12,-904.49,Upgrade
14,EBT Excluding Unusual Items,-27666,-27666,-81714,18989,-3177,5598,4620,18597,6602,12735,10035,10696,-70261,-733.85,-5135,-12426,-39264,-8737,-18174,3404,Upgrade
15,Gain (Loss) on Sale of Investments,-840.21,-840.21,-3242,-,-,-,-,-,-264.46,-,-,-,-510,-,-,-,-12001,-,-11977,-,Upgrade
16,Gain (Loss) on Sale of Assets,-,-,-,-,-,-,-,-,-,-,-,-,13365,-,-,-,-249.56,-,-,-,Upgrade
