,Fiscal Quarter,Q4 2015,Q3 2015,Q2 2015,Q1 2015,Q4 2014,Q3 2014,Q2 2014,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012,Q4 2011,Q3 2011,Q2 2011,Q1 2011,+8 Quarters
,Period Ending,"Dec '15 Dec 31, 2015","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012","Dec '11 Dec 31, 2011","Sep '11 Sep 30, 2011","Jun '11 Jun 30, 2011","Mar '11 Mar 31, 2011",+8 Quarters
0,Cash & Equivalents,11368,11368,9850,20901,14117,18382,16789,18310,12373,22252,50302,239741,20010,10514,12303,22578,14254,7526,17255,26227,Upgrade
1,Short-Term Investments,667,667,14000,252802,23975,204497,220527,215514,229107,221390,198490,55732,50631,36541,12933,11191,12652,20440,24003,35595,Upgrade
2,Cash & Short-Term Investments,12035,12035,23850,273703,38092,222878,237316,233824,241480,243642,248793,295474,70641,47056,25237,33769,26906,27966,41258,61822,Upgrade
3,Cash Growth,-68.41%,-94.60%,-89.95%,17.05%,-84.23%,-8.52%,-4.61%,-20.86%,241.84%,417.78%,885.84%,774.99%,162.55%,68.26%,-38.83%,-45.38%,-58.81%,-51.67%,-59.28%,-7.36%,Upgrade
4,Accounts Receivable,3854,3854,1872,75751,69630,4512,4780,15818,6015,74571,77702,80069,78880,74820,74478,12683,13137,77305,72413,80891,Upgrade
5,Other Receivables,78828,78828,74163,70940,64520,50197,44373,36872,34365,21859,20393,14589,12568,10037,9997,9235,1945,19001,24350,36174,Upgrade
6,Receivables,311360,311360,296471,146691,362917,54709,49153,52690,40379,96430,98095,94658,91449,84857,84475,21918,15082,96306,96764,117065,Upgrade
7,Inventory,10047,10047,10500,42116,9650,40774,39429,39247,40624,40193,39536,38128,38335,36724,43538,41767,41200,65445,57401,46952,Upgrade
8,Prepaid Expenses,311.6,311.6,100.17,1242,269.76,1123,1365,1037,1097,1279,751.27,803.57,577.6,690.71,1415,2199,2357,2833,2203,2259,Upgrade
9,Other Current Assets,14729,14729,17601,12337,14706,52692,23387,21016,20803,21470,19570,20197,19804,21870,40861,121992,123282,137289,132488,147900,Upgrade
10,Total Current Assets,348483,348483,348522,476089,425635,372177,350651,347814,344383,403014,406745,449260,220806,191197,195526,221645,208826,329838,330114,375998,Upgrade
11,"Property, Plant & Equipment",522332,522332,528460,485338,509405,445789,447005,421417,421250,402946,409118,374616,371921,387158,669765,645339,643096,600376,571731,547600,Upgrade
12,Long-Term Investments,115512,115512,117491,123016,119472,120866,127866,147568,147568,148340,148098,155238,153529,128752,106138,34869,30985,30985,30985,29845,Upgrade
13,Goodwill,52848,52848,99208,104823,110439,116054,121670,127285,132901,138516,144132,149748,155363,160979,166594,172210,177825,183620,189241,194862,Upgrade
14,Other Intangible Assets,256549,256549,260606,262635,264664,266377,268442,270622,270038,271948,273900,275479,277410,277233,337864,340607,342890,287991,289935,291838,Upgrade
15,Long-Term Accounts Receivable,-,-,8500,-,-,67550,67550,67550,67550,-,-,-,-,-,-,-,67550,-,-,-,Upgrade
16,Long-Term Deferred Charges,-,-,-,1991,-,-,-,-,-,-,-,-,-,-,-,-,14057,-,-,-,Upgrade
17,Other Long-Term Assets,16061,16061,5160,6114,2917,7457,7164,7472,6717,7219,2016,2198,2225,1824,30025,103225,26021,40987,39374,33599,Upgrade
18,Total Assets,1311785,1311785,1367947,1460007,1432532,1396271,1390348,1389728,1390408,1371984,1384009,1406538,1181255,1147144,1505913,1517894,1511251,1473797,1451381,1473742,Upgrade
19,Accounts Payable,6802,6802,5584,6857,5826,8699,6744,9794,4842,8236,7014,9326,10426,11704,36972,45261,42126,47490,28974,27767,Upgrade
20,Accrued Expenses,41067,41067,39690,50537,35200,65396,67409,56386,65106,55092,56602,58325,38017,39476,51787,55922,39947,25613,33523,32036,Upgrade
21,Short-Term Debt,54382,54382,57313,57487,57487,172216,57487,70915,70915,72915,70915,114095,110895,67185,100942,40280,41917,81068,107555,84720,Upgrade
22,Current Portion of Long-Term Debt,1814,1814,1753,1290,1720,424.22,116583,93966,93610,-,-,1185,1580,395.13,49191,85416,63736,-,413.83,-,Upgrade
23,Current Income Taxes Payable,276.86,276.86,847.69,1.95,425.68,875.82,1295,2046,1400,1119,1160,1363,1980,17224,17909,14027,13193,11356,11237,12924,Upgrade
24,Current Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.34,Upgrade
25,Other Current Liabilities,38986,38986,34585,23014,25330,21288,20746,19707,29363,19617,37458,4868,32537,2187,36728,28477,41698,16941,3055,12779,Upgrade
26,Total Current Liabilities,143327,143327,139773,139187,125989,268899,270264,255928,265235,156980,173148,189162,195435,138171,293530,269383,242617,182469,184758,170231,Upgrade
27,Long-Term Debt,253063,253063,253451,256154,250481,357.29,57279,71320,69108,159192,159192,161509,161507,145413,252430,247596,261238,293881,263181,252945,Upgrade
28,Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17471,15582,10847,7472,4631,Upgrade
29,Long-Term Deferred Tax Liabilities,56221,56221,56511,56257,56402,67149,56691,53018,56981,57345,61434,63144,62206,62680,77251,78022,78177,64224,64610,64996,Upgrade
30,Other Long-Term Liabilities,-,-,-,0,-,56547,-,-,-,0,-,0,-,-,-,-,-,0,-,0,Upgrade
31,Total Liabilities,452612,452612,449734,451598,432872,392952,384234,380266,391324,373517,393775,413815,419148,346263,623210,612472,597614,551421,520021,492804,Upgrade
32,Common Stock,905000,905000,905000,905000,905000,905000,905000,905000,905000,905000,905000,905000,605000,605000,605000,605000,605000,605000,605000,605000,Upgrade
33,Additional Paid-In Capital,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,24455,99455,99455,99455,99455,99455,99455,99455,99455,Upgrade
34,Retained Earnings,-211715,-211715,-154259,-77131,-84060,-80487,-82180,-81474,-89671,-91741,-103472,-106987,-110285,-76617,-51889,-61470,-41191,-24063,-11543,17269,Upgrade
35,Comprehensive Income & Other,-,-,-,-,-,-,-,-,-,-,-,-,-,329.47,112.88,329.47,169.16,329.47,-671.81,1115,Upgrade
36,Total Common Equity,717740,717740,775196,852324,845395,848968,847275,847981,839784,837714,825983,822468,594170,628168,652679,643314,663434,680721,692240,722839,Upgrade
37,Minority Interest,141433,141433,143017,156084,154264,154351,158839,161480,159301,160753,164251,170256,167937,172713,230024,262108,250203,241654,239120,258100,Upgrade
38,Shareholders' Equity,859173,859173,918212,1008408,999659,1003319,1006114,1009461,999085,998467,990235,992724,762107,800880,882703,905422,913637,922376,931360,980938,Upgrade
39,Total Liabilities & Equity,1311785,1311785,1367947,1460007,1432532,1396271,1390348,1389728,1390408,1371984,1384009,1406538,1181255,1147144,1505913,1517894,1511251,1473797,1451381,1473742,Upgrade
